diasuransikan	di @@asuransi @@kan
tinggalnya	tinggal @@nya
antikomunis	anti @@komunis
internasional	internasional
mentransformasikan	men @@transformasi @@kan
terakumulasi	ter @@akumulasi
penjahit	pen @@jahit
pertanggungjawabannya	per @@tanggungjawab @@an @@nya
diakibatkannya	di @@akibat @@kan @@nya
kompensasi	kompensasi
pengaturan	pen @@atur @@an
warisnya	waris @@nya
penyimpanan	pen @@simpan @@an
kontraktor	kontraktor
membayangi	men @@bayang @@i
sanksi	sanksi
tersingkat	ter @@singkat
dipuji	di @@puji
pemalsuan	pen @@palsu @@an
cukurnya	cukur @@nya
kuil	kuil
momen	momen
salehnya	saleh @@nya
malapetaka	malapetaka
tutur	tutur
prospeknya	prospek @@nya
lesu	lesu
antarvariabel	antar @@variabel
menyeberang	men @@seberang
semata	se @@mata
meletakkan	men @@letak @@kan
tindak	tindak
seyakin	se @@yakin
menjanda	men @@janda
pertanyaan	per @@tanya @@an
diraup	di @@raup
tikus	tikus
keluhannya	keluh @@an @@nya
dihafalkan	di @@hafal @@kan
tantangannya	tantang @@an @@nya
membesarkan	men @@besar @@kan
wawasannya	wawasan @@nya
curah	curah
kontes	kontes
diprotes	di @@protes
terpadu	ter @@padu
pemiliknya	pen @@milik @@nya
merisaukan	men @@risau @@kan
menatapnya	men @@tatap @@nya
diskon	diskon
merumuskannya	men @@rumus @@kan @@nya
infrastrukturnya	infrastruktur @@nya
dicerai	di @@cerai
tersentuh	ter @@sentuh
baterai	baterai
lembut	lembut
persatuan	per @@satu @@an
distributor	distributor
tiruan	tiru @@an
dilanjutkan	di @@lanjut @@kan
menggosok	men @@gosok
berdusta	ber @@dusta
menguraikan	men @@urai @@kan
berafiliasi	ber @@afiliasi
sesat	sesat
delima	delima
didoakan	di @@doa @@kan
penggunanya	pen @@guna @@nya
sangkaan	sangka @@an
kaosnya	kaos @@nya
naiknya	naik @@nya
belanjaan	belanja @@an
busuknya	busuk @@nya
pemeran	pen @@peran
fiskal	fiskal
fajar	fajar
akut	akut
tangganya	tangga @@nya
tindih	tindih
hubunganmu	hubung @@an @@mu
batin	batin
pengesahan	pen @@sah @@an
tundukkan	tunduk @@kan
zat	zat
licik	licik
kepindahan	ke @@pindah @@an
emosinya	emosi @@nya
dihapuskan	di @@hapus @@kan
penggerak	pen @@gerak
pra	pra
menyembah	men @@sembah
frekuensinya	frekuensi @@nya
kombinasi	kombinasi
mulutnya	mulut @@nya
terserak	ter @@serak
muridnya	murid @@nya
teraman	ter @@aman
dipikirkannya	di @@pikir @@kan @@nya
menginginkanku	men @@ingin @@kan @@ku
rekonsiliasi	rekonsiliasi
dihiasi	di @@hias @@i
mempersulit	men @@sulit
otak	otak
berderet	ber @@deret
klaim	klaim
celaka	celaka
memusnahkan	men @@musnah @@kan
hanyut	hanyut
limpahan	limpah @@an
penerjemahan	pen @@terjemah @@an
imbalan	imbalan
luas	luas
sempurna	sempurna
uraian	urai @@an
menyimpan	men @@simpan
tunggal	tunggal
selain	se @@lain
mengorelasikan	men @@korelasi @@kan
memboikotnya	men @@boikot @@nya
tuhanku	tuhan @@ku
beasiswa	beasiswa
pungut	pungut
gadai	gadai
membebani	men @@beban @@i
wasit	wasit
ekspansi	ekspansi
membenarkan	men @@benar @@kan
disuapi	di @@suap @@i
sumatera	sumatera
antarruangan	antar @@ruang @@an
bayinya	bayi @@nya
komersil	komersil
berpacu	ber @@pacu
didedikasikan	di @@dedikasi @@kan
dicantumkan	di @@cantum @@kan
berkarat	ber @@karat
dirumahmu	di @@rumah @@mu
ditempuhnya	di @@tempuh @@nya
penafsir	pen @@tafsir
meluruskannya	men @@lurus @@kan @@nya
mengenalkan	men @@kenal @@kan
didapat	di @@dapat
pencocokan	pen @@cocok @@an
disucikan	di @@suci @@kan
patroli	patroli
mewaspadai	men @@waspada @@i
khotbahnya	khotbah @@nya
madu	madu
kimiawi	kimiawi
kebun	kebun
bersalin	ber @@salin
tinju	tinju
belanja	belanja
saran	saran
diangkutnya	di @@angkut @@nya
menyepakati	men @@sepakat @@i
logis	logis
antariksa	antariksa
oposisi	oposisi
lunas	lunas
mencairkannya	men @@cair @@kan @@nya
melangkahi	men @@langkah @@i
segel	segel
tanah	tanah
dites	di @@tes
memeliharamu	men @@pelihara @@mu
bumbu	bumbu
membeberkan	men @@beber @@kan
luntur	luntur
sukarelawan	sukarela @@wan
ditoleransi	di @@toleransi
tepatnya	tepat @@nya
berawal	ber @@awal
melanggarnya	men @@langgar @@nya
menang	menang
menindaklanjutinya	men @@tindaklanjut @@i @@nya
bermitra	ber @@mitra
mejanya	meja @@nya
amarah	amarah
kandungannya	kandung @@an @@nya
tolong	tolong
melihatnya	men @@lihat @@nya
berkeluh	ber @@keluh
seprovinsi	se @@provinsi
bermuatan	ber @@muat @@an
dijangkau	di @@jangkau
tertanam	ter @@tanam
meresponnya	men @@respon @@nya
mengorganisasikan	men @@organisasi @@kan
rokok	rokok
penganiaya	pen @@aniaya
nonkayu	non @@kayu
dicacah	di @@cacah
lubangnya	lubang @@nya
menggetarkan	men @@getar @@kan
dipekerjakan	di @@pekerja @@kan
disiarkan	di @@siar @@kan
mendatang	men @@datang
aspirasi	aspirasi
konsekuensinya	konsekuensi @@nya
pengangkat	pen @@angkat
monumennya	monumen @@nya
kecaman	kecam @@an
pengumpul	pen @@kumpul
memperberat	men @@berat
mendaftarkan	men @@daftar @@kan
pikirkan	pikir @@kan
mengkomunikasikannya	men @@komunikasi @@kan @@nya
membatasinya	men @@batas @@i @@nya
kalung	kalung
konsistennya	konsisten @@nya
hurufnya	huruf @@nya
kamus	kamus
terbawah	ter @@bawah
disahkan	di @@sah @@kan
melalaikan	men @@lalai @@kan
pengaturnya	pen @@atur @@nya
muram	muram
pemandangan	pen @@pandang @@an
gawangnya	gawang @@nya
jalanya	jala @@nya
banyaknya	banyak @@nya
total	total
dikenal	di @@kenal
bara	bara
menerobos	men @@terobos
terstruktur	ter @@struktur
manja	manja
siaga	siaga
diakomodasikan	di @@akomodasi @@kan
kumuhnya	kumuh @@nya
direnovasinya	di @@renovasi @@nya
kapalnya	kapal @@nya
mensyukuri	men @@syukuri
permasyarakatan	per @@masyarakat @@an
menggugah	men @@gugah
sengsara	sengsara
karet	karet
mempermasalahkan	men @@masalah @@kan
ditanyakan	di @@tanya @@kan
tetangganya	tetangga @@nya
meringkaskan	men @@ringkas @@kan
drastis	drastis
pemesanan	pen @@pesan @@an
persetujuan	per @@setuju @@an
mengkhawatirkan	men @@khawatir @@kan
penyiangan	pen @@siang @@an
diusir	di @@usir
dusta	dusta
jendela	jendela
bernoda	ber @@noda
memadai	memadai
terpesona	ter @@pesona
subjek	subjek
unit	unit
pilih	pilih
seumur	se @@umur
menguburkan	men @@kubur @@kan
muda	muda
famili	famili
mengamanatkan	men @@amanat @@kan
penajaman	pen @@tajam @@an
lambannya	lamban @@nya
butuhkan	butuh @@kan
pengumumannya	pen @@umum @@an @@nya
artinya	arti @@nya
flint	flint
dituangkan	di @@tuang @@kan
pertemanan	per @@teman @@an
bergemar	ber @@gemar
komandan	komandan
pengucapan	pen @@ucap @@an
membuatkan	men @@buat @@kan
berserakan	ber @@serak @@an
berawak	ber @@awak
berkabut	ber @@kabut
pimpinan	pimpin @@an
saudaranya	saudara @@nya
rumit	rumit
ingatannya	ingat @@an @@nya
bertanah	ber @@tanah
tewasnya	tewas @@nya
bantahan	bantah @@an
emisi	emisi
mempesona	men @@pesona
dicarinya	di @@cari @@nya
utusannya	utus @@an @@nya
pendukungnya	pen @@dukung @@nya
mikroskop	mikroskop
kas	kas
gugatan	gugat @@an
terbanyak	ter @@banyak
merambat	men @@rambat
mengadu	men @@adu
rak	rak
khasiatnya	khasiat @@nya
sulam	sulam
memenangi	men @@menang @@i
terikat	ter @@ikat
prihatin	prihatin
membagikan	men @@bagi @@kan
mendefinisikannya	men @@definisi @@kan @@nya
warisan	waris @@an
salah	salah
pesan	pesan
terseret	ter @@seret
menebarkan	men @@tebar @@kan
jamak	jamak
kawasan	kawasan
memedomani	men @@pedoman @@i
warisannya	waris @@an @@nya
perunggu	perunggu
pengungkapan	pen @@ungkap @@an
negeri	negeri
suruh	suruh
komisaris	komisaris
bulanannya	bulan @@an @@nya
pertobatan	per @@tobat @@an
menjurus	men @@jurus
menghindari	men @@hindar @@i
terpadat	ter @@padat
timbangan	timbang @@an
pelaksananya	pen @@laksana @@nya
terhenti	ter @@henti
membajak	men @@bajak
dicurigai	di @@curiga @@i
membungkus	men @@bungkus
aktivitas	aktivitas
posyandu	posyandu
dilunasi	di @@lunas @@i
swalayan	swalayan
dicuri	di @@curi
mengairi	men @@air @@i
disodorkan	di @@sodor @@kan
memayungi	men @@payung @@i
keterampilan	keterampilan
ditahun	di @@tahun
dongeng	dongeng
sup	sup
asetnya	aset @@nya
sorotan	sorot @@an
mewakilkan	men @@wakil @@kan
pembuktian	pen @@bukti @@an
penalti	penalti
laporkan	lapor @@kan
mengindikasikan	men @@indikasi @@kan
hantu	hantu
konsumsi	konsumsi
menggelisahkan	men @@gelisah @@kan
negara	negara
menyiangi	men @@siang @@i
bernomor	ber @@nomor
diteliti	di @@teliti
memotong	men @@potong
menghalau	men @@halau
lipatan	lipat @@an
menyiratkan	men @@sirat @@kan
norwegia	norwegia
belakangku	belakang @@ku
mempengaruhi	men @@pengaruh @@i
kelapa	kelapa
penuntasan	pen @@tuntas @@an
lereng	lereng
kiri	kiri
antartempat	antar @@tempat
antarpemerintah	antar @@pen @@perintah
diangkut	di @@angkut
diperbesar	di @@per @@besar
mengajarkan	men @@ajar @@kan
mendaftarkannya	men @@daftar @@kan @@nya
mulanya	mula @@nya
terkungkung	ter @@kungkung
bilang	bilang
halaman	halaman
imbangannya	imbang @@an @@nya
kartu	kartu
produk	produk
ungkapkan	ungkap @@kan
lahirnya	lahir @@nya
pbb	pbb
truknya	truk @@nya
diperbuatnya	di @@per @@buat @@nya
pendidikannya	pen @@didik @@an @@nya
alatnya	alat @@nya
kepala	kepala
jabar	jabar
kliring	kliring
tewas	tewas
cakupannya	cakup @@an @@nya
plastiknya	plastik @@nya
mengasumsikan	men @@asumsi @@kan
kutukan	kutuk @@an
tetapnya	tetap @@nya
menghiburnya	men @@hibur @@nya
simpan	simpan
dituntaskan	di @@tuntas @@kan
cobakan	coba @@kan
menyimaknya	men @@simak @@nya
kubu	kubu
peredam	pen @@redam
belenggu	belenggu
pangkal	pangkal
ditepati	di @@tepat @@i
nonmakanan	non @@makan @@an
berkilauan	ber @@kilau @@an
perkara	perkara
zamannya	zaman @@nya
katak	katak
dikhawatirkan	di @@khawatir @@kan
berimplikasi	ber @@implikasi
mematikan	men @@mati @@kan
berniat	ber @@niat
cukai	cuka @@i
sentral	sentral
kendalanya	kendala @@nya
terdekat	ter @@dekat
jatah	jatah
andalan	andal @@an
nondepartemen	non @@departemen
dokumentasi	dokumentasi
ancaman	ancam @@an
militan	militan
asal	asal
ikutannya	ikut @@an @@nya
ingat	ingat
lupa	lupa
buahnya	buah @@nya
konotasi	konotasi
pengerukan	pen @@keruk @@an
terumbu	terumbu
buruan	buru @@an
pempublikasian	pen @@publikasi @@an
sepatu	sepatu
sikat	sikat
ditanam	di @@tanam
karya	karya
menukar	men @@tukar
pencanangan	pen @@canang @@an
merendahkan	men @@rendah @@kan
berbaring	ber @@baring
persahabatan	per @@sahabat @@an
berkompeten	ber @@kompeten
cercaan	cerca @@an
diabaikan	di @@abai @@kan
penekan	pen @@tekan
melumpuhkannya	men @@lumpuh @@kan @@nya
penderita	pen @@derita
ditopang	di @@topang
permainan	per @@main @@an
pengambil	pen @@ambil
palang	palang
ditampilkan	di @@tampil @@kan
berteriak	ber @@teriak
bergegas	ber @@gegas
mengulurkan	men @@ulur @@kan
keliru	keliru
menerjang	men @@terjang
natur	natur
periklanan	per @@iklan @@an
budimu	budi @@mu
subkontraknya	subkontrak @@nya
kokpit	kokpit
selektifnya	selektif @@nya
khawatir	khawatir
berpikirnya	ber @@pikir @@nya
menghafal	men @@hafal
pembeli	pen @@beli
terkelompok	ter @@kelompok
tambang	tambang
bergembira	ber @@gembira
bajakan	bajak @@an
memuji	men @@puji
produksinya	produksi @@nya
dikeraskan	di @@keras @@kan
terbebas	ter @@bebas
percayai	percaya @@i
mengaudit	men @@audit
berkonsultasi	ber @@konsultasi
sudut	sudut
lembar	lembar
pertandingan	per @@tanding @@an
mengenai	men @@kena @@i
tradisionalnya	tradisional @@nya
muhammad	muhammad
khotbah	khotbah
ketidakberanian	ke @@tidak @@berani @@an
beralih	ber @@alih
pelat	pelat
teluk	teluk
detektif	detektif
berkhotbah	ber @@khotbah
ampuh	ampuh
terpahat	ter @@pahat
motornya	motor @@nya
berikut	ber @@ikut
bahasanya	bahasa @@nya
karakteristik	karakteristik
permata	permata
seefektif	se @@efektif
kuabaikan	ku @@abai @@kan
digariskan	di @@garis @@kan
mengenalinya	men @@kenal @@i @@nya
terjangkaunya	ter @@jangkau @@nya
berdiam	ber @@diam
genangan	genang @@an
menjaganya	men @@jaga @@nya
peternakannya	peternakan @@nya
piring	piring
ciptanya	cipta @@nya
saham	saham
tebalnya	tebal @@nya
prakteknya	praktek @@nya
bersaing	ber @@saing
dialokasikan	di @@alokasi @@kan
langganan	langgan @@an
transportasi	transportasi
mengalir	men @@alir
projek	projek
aktifitasnya	aktifitas @@nya
keseharian	keseharian
tukang	tukang
pasif	pasif
dipalsukan	di @@palsu @@kan
doakan	doa @@kan
sekretariat	sekretariat
posisi	posisi
dikutip	di @@kutip
tetes	tetes
lautan	laut @@an
semacam	se @@macam
pengadu	pen @@adu
tebal	tebal
gabungan	gabung @@an
sedia	sedia
mengasuransi	men @@asuransi
merasuk	men @@rasuk
mengefisienkan	men @@efisien @@kan
memonitor	men @@monitor
impor	impor
mengemudikan	men @@kemudi @@kan
purnama	purnama
mengantarnya	men @@antar @@nya
penyampaian	pen @@sampai @@an
pengepakan	pen @@kepak @@an
diakumulasikan	di @@akumulasi @@kan
berkelahi	ber @@kelahi
dibaca	di @@baca
jungkir	jungkir
fasilitatornya	fasilitator @@nya
imigran	imigran
mengubah	men @@ubah
beraib	ber @@aib
pemantauan	pen @@pantau @@an
anda	anda
ular	ular
gejolak	gejolak
tuliskan	tulis @@kan
pembayar	pen @@bayar
membebaskan	men @@bebas @@kan
esok	esok
pendamaian	pen @@damai @@an
lengkung	lengkung
faktor	faktor
memandunya	men @@pandu @@nya
fisika	fisika
memobilisasi	men @@mobilisasi
didesentralisasikan	di @@desentralisasi @@kan
melewati	men @@lewat @@i
mengesahkan	men @@sah @@kan
terperdaya	ter @@perdaya
bos	bos
akunting	akunting
pengangsuran	pen @@angsur @@an
terlarut	ter @@larut
rekaan	reka @@an
mayoritas	mayoritas
penyusun	pen @@susun
tahun	tahun
tenar	tenar
memediasi	men @@mediasi
berotoritas	ber @@otoritas
yakub	yakub
bakan	bak @@an
menganalisis	men @@analisis
lihat	lihat
sehebat	se @@hebat
video	video
unggulannya	unggul @@an @@nya
mengasari	men @@kasar @@i
lambang	lambang
memandu	men @@pandu
menghadang	men @@hadang
hebat	hebat
terjaga	ter @@jaga
pengurusannya	pen @@urus @@an @@nya
susahnya	susah @@nya
memperluas	men @@luas
berhentinya	ber @@henti @@nya
merekatkan	men @@rekat @@kan
beralkohol	ber @@alkohol
menyampaikannya	men @@sampai @@kan @@nya
berselisih	ber @@selisih
mentah	mentah
membagikannya	men @@bagi @@kan @@nya
demam	demam
mendukung	men @@dukung
mengantar	men @@antar
tujuannya	tuju @@an @@nya
diterimanya	di @@terima @@nya
terlantar	terlantar
menyuruh	men @@suruh
susah	susah
jadwalnya	jadwal @@nya
implikasinya	implikasi @@nya
pengetahuan	pengetahuan
serigala	serigala
bertanggung	ber @@tanggung
menyikat	men @@sikat
mendoakannya	men @@doa @@kan @@nya
pangeran	pangeran
pengeluarannya	pen @@keluar @@an @@nya
menyerahkannya	men @@serah @@kan @@nya
dipimpin	di @@pimpin
mendekat	men @@dekat
menyusun	men @@susun
diacuhkan	di @@acuh @@kan
nada	nada
merelokasi	men @@relokasi
mengontak	men @@kontak
penakluk	pen @@takluk
penopang	pen @@topang
maksimal	maksimal
sukarnya	sukar @@nya
bruto	bruto
lemaknya	lemak @@nya
persawahan	per @@sawah @@an
diolesi	di @@oles @@i
tingkatnya	tingkat @@nya
penitipan	pen @@titip @@an
dipanen	di @@panen
bersembunyi	ber @@sembunyi
beraturan	ber @@atur @@an
kisahnya	kisah @@nya
menewaskan	men @@tewas @@kan
lomba	lomba
dideritanya	di @@derita @@nya
pembentuk	pen @@bentuk
dikalahkan	di @@kalah @@kan
biolanya	biola @@nya
menandai	men @@tanda @@i
menginvestasikannya	men @@investasi @@kan @@nya
selangit	se @@langit
ketidakseriusan	ke @@tidak @@serius @@an
pembuatannya	pen @@buat @@an @@nya
dititipkan	di @@titip @@kan
asalan	asal @@an
dimaksudkan	di @@maksud @@kan
dikompilasi	di @@kompilasi
memodernisasi	men @@modernisasi
menggunakannya	men @@guna @@kan @@nya
sambungan	sambung @@an
kakeknya	kakek @@nya
berkolaborasi	ber @@kolaborasi
kubuang	ku @@buang
berbeban	ber @@beban
fokus	fokus
berharap	ber @@harap
inflasi	inflasi
tertuang	ter @@tuang
berlangsungnya	ber @@langsung @@nya
terhalangi	ter @@halang @@i
kadaluarsa	kadaluarsa
menuliskan	men @@tulis @@kan
motor	motor
menyentuhnya	men @@sentuh @@nya
padinya	padi @@nya
tercengang	ter @@cengang
beritakan	berita @@kan
memposisikan	men @@posisi @@kan
terbenamnya	ter @@benam @@nya
jerat	jerat
penalarannya	pen @@nalar @@an @@nya
menggemakan	men @@gema @@kan
kedipan	kedip @@an
mengelabui	men @@kelabui
ditelusuri	di @@telusuri
sintetis	sintetis
menjawab	men @@jawab
sindikat	sindikat
ringkasan	ringkas @@an
mengabulkan	men @@kabul @@kan
mulianya	mulia @@nya
majikan	majikan
dikaruniakan	di @@karunia @@kan
pertalian	per @@tali @@an
komitmennya	komitmen @@nya
seluas	se @@luas
memisahkan	men @@pisah @@kan
kerasnya	keras @@nya
persemaian	per @@semai @@an
diselesaikan	di @@selesai @@kan
terjembatani	ter @@jembatan @@i
berpemerintahan	ber @@pen @@perintah @@an
penghilangan	pen @@hilang @@an
ambruknya	ambruk @@nya
permukaan	per @@muka @@an
pembagian	pen @@bagi @@an
maksudkan	maksud @@kan
berpesta	ber @@pesta
kelamin	kelamin
lerengan	lereng @@an
ditransaksikan	di @@transaksi @@kan
pelayarannya	pen @@layar @@an @@nya
bertumpu	ber @@tumpu
penipu	pen @@tipu
keledai	keledai
dikumandangkan	di @@kumandang @@kan
habis	habis
mengunci	men @@kunci
postingan	posting @@an
diturunkan	di @@turun @@kan
meninggal	men @@tinggal
akhirat	akhirat
mengingatnya	men @@ingat @@nya
tanam	tanam
ketidaktransparanan	ke @@tidak @@transparan @@an
topik	topik
vulkanik	vulkanik
arah	arah
rakyat	rakyat
lemah	lemah
umumnya	umum @@nya
review	review
lumpuh	lumpuh
berair	ber @@air
mendekatinya	men @@dekat @@i @@nya
sekarat	se @@karat
dipersoalkan	di @@per @@soal @@kan
rajaku	raja @@aku
cina	cina
kutuk	kutuk
tergoda	ter @@goda
antarkegiatan	antar @@ke @@giat @@an
ajaran	ajar @@an
berfokus	ber @@fokus
kelanjutannya	ke @@lanjut @@an @@nya
disampaikannya	di @@sampai @@kan @@nya
meluangkan	men @@luang @@kan
menyatakan	men @@nyata @@kan
giat	giat
pegangannya	pegang @@an @@nya
mencontohkan	men @@contoh @@kan
dirumahkan	di @@rumah @@kan
mertua	mertua
sepuasnya	se @@puas @@nya
gelarnya	gelar @@nya
keturunan	ke @@turun @@an
cirinya	ciri @@nya
diputuskan	di @@putus @@kan
menyombongkan	men @@sombong @@kan
hangat	hangat
depkeu	depkeu
senada	se @@nada
tercantum	ter @@cantum
berdana	ber @@dana
meter	meter
perbanyakan	per @@banyak @@an
kepalaku	kepala @@aku
bertambahnya	ber @@tambah @@nya
menegangkan	men @@tegang @@kan
telur	telur
terganggu	ter @@ganggu
menggunung	men @@gunung
antikekerasan	anti @@ke @@keras @@an
diolah	di @@olah
mukamu	muka @@kamu
didampinginya	di @@damping @@i @@nya
ilmiah	ilmiah
terguncang	ter @@guncang
pengendalian	pen @@kendali @@an
persaingan	per @@saing @@an
kelimpahan	ke @@limpah @@an
sabuk	sabuk
komitenya	komite @@nya
bidikan	bidik @@an
pt	pt
hadirat	hadirat
jeratan	jerat @@an
janjinya	janji @@nya
memajang	men @@pajang
pemutusan	pen @@putus @@an
ditunjuk	di @@tunjuk
letaknya	letak @@nya
pemasok	pen @@pasok
pelestarian	pen @@lestari @@an
nonharga	non @@harga
bersalah	ber @@salah
cacat	cacat
melonjak	men @@lonjak
kamera	kamera
bangunan	bangun @@an
menguntungkan	men @@untung @@kan
pertukaran	per @@tukar @@an
adonan	adon @@an
standarisasi	standarisasi
menemani	men @@teman @@i
dikerjasamakan	di @@kerjasama @@kan
pertengkaran	per @@tengkar @@an
ide	ide
penenun	pen @@tenun
mengadakan	men @@ada @@kan
kecolongan	kecolongan
pil	pil
mengatur	men @@atur
bayangkan	bayang @@kan
semapan	se @@mapan
menyelami	men @@selam @@i
lantai	lantai
tepian	tepi @@an
belakangmu	belakang @@mu
pegangan	pegang @@an
mengumandangkan	men @@kumandang @@kan
menghadap	men @@hadap
menyusu	men @@susu
ruh	ruh
operator	operator
berorientasi	ber @@orientasi
membantu	men @@bantu
beracun	ber @@racun
berteduh	ber @@teduh
tinggi	tinggi
operasi	operasi
mencermatinya	men @@cermat @@i @@nya
awak	awak
menghindar	men @@hindar
dianutnya	di @@anut @@nya
pengupahan	pen @@upah @@an
pelabuhan	pen @@labuh @@an
dasarnya	dasar @@nya
pengarung	pen @@karung
pengekspor	pen @@ekspor
pengeras	pen @@keras
perzinaan	per @@zina @@an
ramainya	ramai @@nya
rapat	rapat
menghilangkannya	men @@hilang @@kan @@nya
santapan	santap @@an
telaknya	telak @@nya
populer	populer
ketetapan	ke @@tetap @@an
bergulir	ber @@gulir
pikun	pikun
bercanda	ber @@canda
bersifat	ber @@sifat
detak	detak
profesionalisme	profesionalisme
berlebihan	ber @@lebih @@an
menjerit	men @@jerit
pipi	pipi
mencair	men @@cair
utama	utama
karyawannya	karya @@wan @@nya
memikulmu	men @@pikul @@mu
ruangnya	ruang @@nya
mengambil	men @@ambil
menopang	men @@topang
warganegara	warganegara
keramik	keramik
donasi	donasi
intensif	intensif
didesain	di @@desain
timbul	timbul
penundaan	pen @@tunda @@an
mengalokasi	men @@alokasi
minum	minum
kusampaikan	ku @@sampai @@kan
penyembuhan	pen @@sembuh @@an
menggelitik	men @@gelitik
diungkapkan	di @@ungkap @@kan
bala	bala
upahnya	upah @@nya
menyarankan	men @@saran @@kan
penerimaannya	pen @@terima @@an @@nya
krisis	krisis
ditutup	di @@tutup
disempurnakan	di @@sempurna @@kan
memberdayakan	men @@ber @@daya @@kan
berantai	ber @@rantai
dipetik	di @@petik
penasehat	pen @@nasehat
antri	antri
singa	singa
memeriksanya	men @@periksa @@nya
ketidakstabilan	ke @@tidak @@stabil @@an
seksual	seksual
anu	anu
liriknya	lirik @@nya
selatan	selatan
konstan	konstan
sesama	se @@sama
dll	dll
besi	besi
logo	logo
serangga	serangga
datar	datar
meminjamnya	men @@pinjam @@nya
islami	islam @@i
memasang	men @@pasang
menarifkan	men @@tarif @@kan
lingkup	lingkup
dipertegas	di @@per @@tegas
dilemahkan	di @@lemah @@kan
pengaksesan	pen @@akses @@an
konservasi	konservasi
mengeluhkan	men @@keluh @@kan
melembaga	men @@lembaga
ditakuti	di @@takut @@i
perintah	perintah
kristus	kristus
melacak	men @@lacak
harumnya	harum @@nya
berakal	ber @@akal
kenalan	kenal @@an
lemahnya	lemah @@nya
ngomongnya	ngomong @@nya
unik	unik
partikel	partikel
mainanmu	main @@an @@mu
tulus	tulus
modern	modern
memprakirakan	men @@prakira @@kan
korban	korban
mengingat	men @@ingat
proyek	proyek
antusias	antusias
menyeluruh	menyeluruh
pemerasan	pen @@peras @@an
berseru	ber @@seru
ketua	ketua
gading	gading
garam	garam
merespons	men @@respons
percetakan	per @@cetak @@an
terasing	ter @@asing
buta	buta
kuajarkan	ku @@ajar @@kan
desentralisasi	desentralisasi
sejalan	se @@jalan
divalidasi	di @@validasi
operatornya	operator @@nya
rambut	rambut
otonomi	otonomi
karir	karir
disadarkan	di @@sadar @@kan
sekeliling	se @@keliling
menyanyi	men @@nyanyi
tebusannya	tebus @@an @@nya
pemuatan	pen @@muat @@an
dimonitor	di @@monitor
luasan	luas @@an
pemodal	pen @@modal
perguruan	per @@guru @@an
penguatan	pen @@kuat @@an
diseberangi	di @@seberang @@i
ambilkan	ambil @@kan
payahmu	payah @@mu
wewenangnya	wewenang @@nya
memodifikasi	men @@modifikasi
raih	raih
permusuhan	per @@musuh @@an
gosip	gosip
pembukaan	pen @@buka @@an
santai	santai
orangtuanya	orangtua @@nya
memperbaikinya	men @@baik @@i @@nya
pelemparan	pen @@lempar @@an
bilangan	bilang @@an
segar	segar
keikutsertaannya	ke @@ikutserta @@an @@nya
memperhadapkan	men @@hadap @@kan
mendampinginya	men @@damping @@i @@nya
variasi	variasi
relokasi	relokasi
keperluan	ke @@perlu @@an
turunkan	turun @@kan
memuncak	men @@puncak
menjenguk	men @@jenguk
masuknya	masuk @@nya
pengumpulan	pen @@kumpul @@an
etis	etis
madunya	madu @@nya
perakitan	pen @@rakit @@an
dihakimi	di @@hakim @@i
baik	baik
putranya	putra @@nya
usang	usang
direpotkan	di @@repot @@kan
dibuat	di @@buat
berbentuk	ber @@bentuk
besoknya	besok @@nya
penjahitan	pen @@jahit @@an
dilibatkan	di @@libat @@kan
infrastruktur	infrastruktur
pasien	pasien
tuntutan	tuntut @@an
bergema	ber @@gema
omzet	omzet
omzetnya	omzet @@nya
obyek	obyek
menerangkan	men @@terang @@kan
politikus	politikus
tali	tali
hadapanku	hadap @@an @@ku
diperoleh	di @@peroleh
meremajakannya	men @@remaja @@kan @@nya
semburan	sembur @@an
bisbol	bisbol
spesial	spesial
simpulkan	simpul @@kan
bertambah	ber @@tambah
dielakkan	di @@elak @@kan
melupakanku	men @@lupa @@kan @@ku
dimasukinya	di @@masuk @@i @@nya
stratanya	strata @@nya
terpilih	ter @@pilih
wisma	wisma
memangkas	men @@pangkas
pendangkalan	pen @@dangkal @@an
halangan	halang @@an
ketidakpahaman	ke @@tidak @@paham @@an
taurat	taurat
jelas	jelas
mengenang	men @@kenang
memasukkan	men @@masuk @@kan
capaian	capai @@an
mampukan	mampu @@kan
harian	hari @@an
lantang	lantang
memukau	men @@pukau
memanjang	men @@panjang
berintegritas	ber @@integritas
pemenang	pen @@menang
kandungan	kandung @@an
pertumbuhannya	per @@tumbuh @@an @@nya
sejenisnya	se @@jenis @@nya
ditukar	di @@tukar
sendirinya	sendiri @@nya
pedihnya	pedih @@nya
ijon	ijon
waktuku	waktu @@ku
memiliki	men @@milik @@i
persis	persis
seleksi	seleksi
dicetak	di @@cetak
berterimakasih	ber @@terimakasih
tebus	tebus
diterus	di @@terus
remajanya	remaja @@nya
program	program
wakil	wakil
antarindustri	antar @@industri
berselang	ber @@selang
ingatan	ingat @@an
putusan	putus @@an
diperlebar	di @@per @@lebar
napas	napas
tuaku	tua @@aku
besok	besok
sibuknya	sibuk @@nya
mengasah	men @@asah
kritik	kritik
melibatkan	men @@libat @@kan
darah	darah
sorot	sorot
desanya	desa @@nya
mendampingi	men @@damping @@i
kayu	kayu
sejawatnya	se @@jawat @@nya
kabel	kabel
mogok	mogok
peringkat	peringkat
garis	garis
berdinding	ber @@dinding
dieliminasi	di @@eliminasi
klasiknya	klasik @@nya
