menguraikan	men urai kan
pembiusan	pen bius an
mapan	mapan
dijumpainya	di jumpa i nya
diukur	di ukur
pemilihannya	pen pilih an nya
kaosnya	kaos nya
ketuanya	ketua nya
menghentikannya	men henti kan nya
kehadirannya	ke hadir an nya
terganggu	ter ganggu
memandangi	men pandang i
rincian	rinci an
tolak	tolak
bertempat	ber tempat
pelajari	pelajar i
berkilauan	ber kilau an
layak	layak
berbenturan	ber bentur an
diproses	di proses
dadaku	dada aku
slogan	slogan
pertukaran	per tukar an
terjebak	ter jebak
akurasinya	akurasi nya
direstrukturisasi	di restrukturisasi
renggang	renggang
lirik	lirik
kecewa	kecewa
disepakati	di sepakat i
mendokumentasi	men dokumentasi
bersihkan	bersih kan
capaian	capai an
mengklaim	men klaim
pendapatan	pen dapat an
menamainya	men nama i nya
diberitakannya	di berita kan nya
maju	maju
dahaga	dahaga
pemeringkatan	pen peringkat an
permennya	permen nya
tunggakan	tunggak an
girangnya	girang nya
inisiatifnya	inisiatif nya
sekiranya	sekira nya
dikejar	di kejar
konser	konser
teriakku	teriak ku
penggunanya	pen guna nya
menduga	men duga
prinsip	prinsip
perdesaan	per desa an
contohnya	contoh nya
menyemprotkan	men semprot kan
mempekerjakan	men pekerja kan
1990an	1990 an
cemerlang	cemerlang
potongan	potong an
membicarakannya	men bicara kan nya
menghormati	men hormat i
terorganisasi	ter organisasi
terjaminnya	ter jamin nya
dagangannya	dagang an nya
konsumsinya	konsumsi nya
berdirinya	ber diri nya
pengemis	pen kemis
tersita	ter sita
ciptakan	cipta kan
diimunisasi	di imunisasi
dipunyai	di punya i
setuju	setuju
merancangkan	men rancang kan
kawasan	kawasan
perbuatan	per buat an
upacara	upacara
memperkirakan	men kira kan
penyusunannya	pen susun an nya
bubungan	bubung an
dijahit	di jahit
akasia	akasia
dicontoh	di contoh
pemeluk	pen peluk
kompleks	kompleks
langit	langit
bandara	bandara
ayatnya	ayat nya
menanam	men tanam
pengasapan	pen asap an
pedang	pedang
meninjau	men tinjau
antikemiskinan	anti ke miskin an
suntik	suntik
menandakan	men tanda kan
perkebunan	per kebun an
ketidaksanggupan	ke tidak sanggup an
koneksi	koneksi
mengupas	men kupas
pelajaran	pelajar an
teologiku	teologi ku
bertubuh	ber tubuh
ditempelkan	di tempel kan
tuntasnya	tuntas nya
memprediksikan	men prediksi kan
figur	figur
ketidaktepatan	ke tidak tepat an
mesra	mesra
sistemnya	sistem nya
tersingkat	ter singkat
informasinya	informasi nya
perpindahan	per pindah an
terjadi	ter jadi
perlindungan	per lindung an
pemutar	pen putar
evaluasinya	evaluasi nya
produser	produser
menginduk	men induk
peneguhan	pen teguh an
keluarkan	keluar kan
mengulang	men ulang
dusta	dusta
arus	arus
siap	siap
menyandarkan	men sandar kan
rukun	rukun
telepon	telepon
pikirannya	pikir an nya
korelasi	korelasi
dimaksudkan	di maksud kan
evolusi	evolusi
perenungannya	pen renung an nya
temanku	teman ku
ketidakpastian	ke tidak pasti an
mengabaikan	men abai kan
daratnya	darat nya
perkiraan	per kira an
pencabutan	pen cabut an
memobilisasi	men mobilisasi
menahannya	men tahan nya
diresmikan	di resmi kan
petinju	pen tinju
kakak	kakak
antri	antri
mamalia	mamalia
tergoda	ter goda
mendesak	men desak
sanggup	sanggup
mencirikan	men ciri kan
gagal	gagal
menghadapi	men hadap i
pengendali	pen kendali
teman	teman
dipengaruhi	di pengaruh i
tebangan	tebang an
pasang	pasang
polandia	polandia
diplomatik	diplomatik
separuh	se paruh
sinyal	sinyal
verifikasi	verifikasi
menutup	men tutup
disurvei	di survei
berkulit	ber kulit
pakunya	paku nya
mengetahuinya	men ketahui nya
penuhi	penuh i
truknya	truk nya
residual	residual
berbeban	ber beban
natalnya	natal nya
menyatakan	men nyata kan
balok	balok
dihadirkan	di hadir kan
ungkapan	ungkap an
menghangatkan	men hangat kan
meminati	men minat i
informasi	informasi
pendaftar	pen daftar
buahnya	buah nya
ukuran	ukur an
mengambilnya	men ambil nya
merelokasi	men relokasi
pergolakan	per golak an
kecaman	kecam an
mengudara	men udara
bertepuk	ber tepuk
membosankan	men bosan kan
dibenci	di benci
letaknya	letak nya
kamarmu	kamar mu
persimpangan	per simpang an
kucingnya	kucing nya
terpenuhi	men penuh i
madunya	madu nya
berinvestasi	ber investasi
terungkapkan	ter ungkap kan
dampingannya	damping an nya
ketidakefektifan	ke tidak efektif an
menabrak	men tabrak
kontes	kontes
perbuatanmu	per buat an mu
bergiat	ber giat
kebutuhanmu	ke butuh an mu
ketanggapan	ke tanggap an
rakyat	rakyat
pencair	pen cair
direncanakan	di rencana kan
umatnya	umat nya
berhembus	ber hembus
berkenan	ber kenan
administrasinya	administrasi nya
kafein	kafein
mengingatkannya	men ingat kan nya
tanamnya	tanam nya
kualifikasi	kualifikasi
penghimpunan	pen himpun an
perikanannya	per ikan an nya
sepoi	sepoi
untung	untung
bepergian	bepergian
hancurnya	hancur nya
menuntutnya	men tuntut nya
menggelapkan	men gelap kan
inisiatif	inisiatif
tarik	tarik
menantang	men tantang
buruknya	buruk nya
terkecil	ter kecil
menyusu	men susu
pemberdayaannya	pemberdayaan nya
lingkar	lingkar
membuang	men buang
kemarau	kemarau
pengirimannya	pen kirim an nya
perkara	perkara
menetap	men tetap
lintasan	lintas an
tinggal	tinggal
kaisar	kaisar
belasan	belas an
optimal	optimal
penerapannya	pen terap an nya
pembedaan	pen beda an
pas	pas
memandunya	men pandu nya
gelapnya	gelap nya
konstruksi	konstruksi
interiornya	interior nya
biologis	biologis
sadari	sadar i
pengarung	pen karung
irak	irak
sayapnya	sayap nya
terbentur	ter bentur
bongkar	bongkar
komplek	komplek
menempati	men tempat i
terbitkan	terbit kan
produktif	produktif
membunuh	men bunuh
tafsirannya	tafsir an nya
menyeberanginya	men seberang i nya
modal	modal
diimplementasikan	di implementasi kan
dilansir	di lansir
mengirimnya	men kirim nya
dilaluinya	di lalu i nya
berserah	ber serah
sesuatu	sesuatu
konsorsium	konsorsium
relasi	relasi
urgensi	urgensi
transaksinya	transaksi nya
didaftar	di daftar
menggaji	men gaji
dibantu	di bantu
syairnya	syair nya
mula	mula
puncak	puncak
memfasilitasi	men fasilitas i
agen	agen
zakat	zakat
tatapan	tatap an
menakutkan	men takut kan
aib	aib
bawahnya	bawah nya
mendukakan	men duka kan
menyenangkan	men senang kan
menganut	men anut
disangka	di sangka
menyalahgunakan	men salahguna kan
dilangsungkan	di langsung kan
yahudi	yahudi
setara	setara
menata	men tata
setianya	setia nya
pra	pra
mengakses	men akses
mengupayakan	men upaya kan
selepas	se lepas
menjurus	men jurus
terakomodasinya	ter akomodasi nya
memprioritaskan	men prioritas kan
menghantarkan	men hantar kan
deregulasi	deregulasi
berpesta	ber pesta
muslimah	muslimah
wewenangnya	wewenang nya
bersamanya	ber sama nya
kulkas	kulkas
dominan	dominan
menjulang	men julang
dilayani	di layan i
karier	karier
hamil	hamil
mirip	mirip
tumpang	tumpang
berwenang	ber wenang
batang	batang
berdana	ber dana
antarklub	antar klub
ambruknya	ambruk nya
membikin	men bikin
alamiah	alamiah
menggantinya	men ganti nya
tembaga	tembaga
mengunci	men kunci
mengalirnya	men alir nya
abu	abu
sosis	sosis
ketidakseimbangan	ke tidak seimbang an
berminat	ber minat
palsu	palsu
penggenapan	pen genap an
otaknya	otak nya
penderitaan	pen derita an
depanmu	depan mu
hibur	hibur
khawatir	khawatir
peminjam	pen pinjam
berlomba	ber lomba
pemerasan	pen peras an
bell	bell
bubar	bubar
pendiri	pen diri
tiang	tiang
penyimpangan	pen simpang an
kairo	kairo
salju	salju
guru	guru
diaudit	di audit
gelarnya	gelar nya
menukar	men tukar
buku	buku
dikembalikannya	di kembali kan nya
bertumbuh	ber tumbuh
remajanya	remaja nya
diharuskan	di harus kan
adanya	ada nya
faktanya	fakta nya
beratnya	berat nya
jasad	jasad
terdekat	ter dekat
rupiah	rupiah
membelikan	men beli kan
pelat	pelat
menuangkan	men tuang kan
diredakan	di reda kan
laptop	laptop
mengurutkan	men urut kan
menoleh	men toleh
penayangan	pen tayang an
mengurai	men urai
padang	padang
doa	doa
biasa	biasa
menguasainya	men kuasa i nya
memperkecil	men kecil
berkeadilan	ber ke adil an
berarti	ber arti
ditampar	di tampar
pemalsuan	pen palsu an
terpukau	ter pukau
lompatan	lompat an
rangkuman	rangkum an
pelayaran	pen layar an
berkenalan	ber kenal an
militernya	militer nya
fisiknya	fisik nya
dilekatkan	di lekat kan
terealisasikan	ter realisasi kan
perhitungan	per hitung an
didapat	di dapat
balai	bala i
transportasinya	transportasi nya
komentarnya	komentar nya
langkahku	langkah ku
mahasiswa	mahasiswa
antusias	antusias
dikonfirmasikan	di konfirmasi kan
sahabat	sahabat
efisiensi	efisiensi
voltase	voltase
bertanggung	ber tanggung
melobi	men lobi
matang	matang
diterimanya	di terima nya
memberontak	men berontak
bapak	bapak
imbalan	imbalan
dianjurkan	di anjur kan
rumusan	rumus an
berdusta	ber dusta
pangsa	pangsa
utara	utara
strategis	strategis
membiayainya	men biaya i nya
pergerakan	per gerak an
tajam	tajam
dijelang	di jelang
sawah	sawah
antargenerasi	antar generasi
menyeret	men seret
diusung	di usung
tipe	tipe
pembuat	pen buat
dibawah	di bawah
mengintegrasikan	men integrasi kan
menyajikan	men saji kan
diuruskan	di urus kan
membuatku	men buat ku
diganti	di ganti
dimobilisasi	di mobilisasi
bangkit	bangkit
kitabnya	kitab nya
antariksa	antariksa
keturunannya	ke turun an nya
adik	adik
menyatu	men satu
tuliskan	tulis kan
langsing	langsing
memperoleh	men peroleh
modifikasi	modifikasi
berhubungan	ber hubung an
pengerukan	pen keruk an
versi	versi
renungan	renung an
mengijinkan	men ijin kan
tulangku	tulang ku
punyai	punya i
hambatan	hambat an
samudera	samudera
kelasnya	kelas nya
kasihi	kasih i
anggukan	angguk an
burung	burung
tetangga	tetangga
mekanik	mekanik
kelimpahan	ke limpah an
karibia	karibia
takarannya	takar an nya
menguras	men kuras
menegur	men tegur
pempublikasian	pen publikasi an
dijabarkan	di jabar kan
mengandalkan	men andal kan
memediasi	men mediasi
mengendarainya	men kendara i nya
bereaksi	ber reaksi
pewawancara	pen wawancara
penyamaran	pen samar an
teliti	teliti
diperolehnya	di peroleh nya
bumbu	bumbu
panjangnya	panjang nya
kutukan	kutuk an
norma	norma
menyingkir	men singkir
bakat	bakat
dimusyawarahkan	di musyawarah kan
sisiku	sisi ku
pelengkap	pen lengkap
asian	asian
tanggapan	tanggap an
terendah	ter rendah
ketidakberhasilan	ke tidak berhasil an
produksi	produksi
ditendang	di tendang
lingkungannya	lingkung an nya
coba	coba
bantalan	bantal an
didiskusikan	di diskusi kan
terindah	ter indah
asa	asa
merekonstruksi	men rekonstruksi
prakarsa	prakarsa
ajuan	aju an
dimotivasi	di motivasi
operatornya	operator nya
anggota	anggota
dihitung	di hitung
saingan	saing an
purnama	purnama
bijaksana	bijaksana
pembuatnya	pen buat nya
tanam	tanam
ditolak	di tolak
berkemungkinan	ber kemungkinan
antarresponden	antar responden
lerengan	lereng an
adakan	ada kan
termasuk	ter masuk
fokusnya	fokus nya
mengikutsertakan	men ikutserta kan
perlombaan	per lomba an
seberat	se berat
pengupahan	pen upah an
relasinya	relasi nya
langkahnya	langkah nya
didapatkan	di dapat kan
alunan	alun an
stasiun	stasiun
dijatuhkan	di jatuh kan
perumusan	pen rumus an
parsial	parsial
dipublikasikan	di publikasi kan
majelis	majelis
mengkoordinir	men koordinir
berduka	ber duka
menyingkapkan	men singkap kan
doanya	doa nya
melaju	men laju
muslim	muslim
bertetanggaan	ber tetangga an
terhampar	ter hampar
benak	benak
kompilasi	kompilasi
diskusi	diskusi
kalender	kalender
berlalu	ber lalu
macam	macam
krim	krim
ketelanjangan	ke telanjang an
perdamaian	per damai an
seakurat	se akurat
diremajakan	di remaja kan
dendam	dendam
dikapalkan	di kapal kan
batin	batin
jangkau	jangkau
mendasar	men dasar
juli	juli
kuadratnya	kuadrat nya
siswanya	siswa nya
meracuni	men racun i
terlipat	ter lipat
perekonomiannya	per ekonomi an nya
nafsumu	nafsu mu
gemuruh	gemuruh
kepercayaannya	ke percaya an nya
menjangkau	men jangkau
mengklasifikasikan	men klasifikasi kan
tercakup	ter cakup
subjek	subjek
sana	sana
wortel	wortel
mogok	mogok
penggilingan	pen giling an
max	max
memperlengkapi	men lengkap i
dibaca	di baca
alkitab	alkitab
kehendaknya	kehendak nya
penyambutan	pen sambut an
riil	riil
takaran	takar an
gol	gol
merpati	merpati
dimata	di mata
didiami	di diam i
yakini	yakin i
kaget	kaget
busuk	busuk
personel	personel
memasuki	men masuk i
diinspirasikan	di inspirasi kan
wabah	wabah
dikoreksi	di koreksi
tradisionalnya	tradisional nya
perdananya	perdana nya
perancang	pen rancang
marak	marak
tumpuan	tumpu an
mengagumi	men kagum i
menantu	menantu
sukar	sukar
kolonel	kolonel
liberalisasi	liberalisasi
afiliasi	afiliasi
penunggakan	pen tunggak an
manfaat	manfaat
skala	skala
tergabung	ter gabung
penerjemahan	pen terjemah an
didengar	di dengar
girang	girang
disediakan	di sedia kan
balita	balita
dipukul	di pukul
lapaknya	lapak nya
kala	kala
kampusnya	kampus nya
besi	besi
antarvariabel	antar variabel
pembimbing	pen bimbing
dikeringkan	di kering kan
warisannya	waris an nya
seindah	se indah
diakui	di aku i
asalnya	asal nya
buatan	buat an
dilupakannya	di lupa kan nya
serumit	se rumit
penjatahan	pen jatah an
terserak	ter serak
huni	huni
berdaulat	ber daulat
obsesi	obsesi
mengenang	men kenang
hinaan	hina an
kitab	kitab
memperberat	men berat
email	email
pemicu	pen picu
didukungnya	di dukung nya
meredam	men redam
penyaringan	pen saring an
dagingku	daging ku
penegasan	pen tegas an
tertampung	ter tampung
terpadu	ter padu
melemparkan	men lempar kan
catatannya	catat an nya
tertancap	ter tancap
pengasuhan	pen asuh an
ceritakan	cerita kan
bersedia	ber sedia
pembenaran	pen benar an
sekadar	se kadar
berkelimpahan	ber ke limpah an
pengamatannya	pengamat an nya
diagendakan	di agenda kan
tersisa	ter sisa
kunjungannya	kunjung an nya
dipraktekkan	di praktek kan
matematika	matematika
min	min
dikalahkan	di kalah kan
terdesak	ter desak
mengutamakan	men utama kan
marinir	marinir
memberitakan	men berita kan
cerminan	cermin an
juni	juni
dihentikan	di henti kan
berlangsung	ber langsung
penginjilannya	pen injil an nya
tenun	tenun
menyelam	men selam
merdeka	merdeka
terbukti	ter bukti
menyikat	men sikat
kompetitif	kompetitif
membimbingnya	men bimbing nya
restoran	restoran
semburan	sembur an
duniawi	duniawi
meninggalkannya	men tinggal kan nya
jijik	jijik
pasiennya	pasien nya
memikulnya	men pikul nya
diketahuinya	di ketahui nya
pariwisata	pariwisata
dihafalkan	di hafal kan
pengepakan	pen kepak an
pengarahan	pen arah an
mengarahkan	men arah kan
terkorup	ter korup
maut	maut
tersirat	ter sirat
menggugahnya	men gugah nya
bantu	bantu
bunyinya	bunyi nya
tingkah	tingkah
klub	klub
dikagumi	di kagum i
mengakibatkan	men akibat kan
semangat	semangat
imajinasi	imajinasi
kejadian	ke jadi an
wilayahnya	wilayah nya
mengalokasi	men alokasi
rute	rute
merehabilitasi	men rehabilitasi
lampu	lampu
simpang	simpang
menganalisis	men analisis
mengusahakan	men usaha kan
survey	survey
diawasi	di awas i
kerabat	kerabat
tertuju	ter tuju
menginterupsi	men interupsi
pudar	pudar
penguatan	pen kuat an
adiknya	adik nya
bersiul	ber siul
aspek	aspek
lesu	lesu
perahu	perahu
relatif	relatif
sasarannya	sasar an nya
ketidakefisienan	ke tidak efisien an
diminatinya	di minat i nya
riang	riang
disipliner	disipliner
tunduk	tunduk
susukan	susu kan
diubah	di ubah
mengerikan	men ngeri kan
dominannya	dominan nya
membersihkan	men bersih kan
sukarela	sukarela
pelabuhan	pen labuh an
diteliti	di teliti
legitimasi	legitimasi
persekutuan	per sekutu an
ketidakselarasan	ke tidak selaras an
ekspresi	ekspresi
penyalur	pen salur
seadanya	se ada nya
menakar	men takar
penunjukan	pen tunjuk an
mempermasalahkan	men masalah kan
yunani	yunani
grosir	grosir
mengasingkan	men asing kan
perdarahan	per darah an
pengaruh	pengaruh
deretan	deret an
janda	janda
gunung	gunung
regulasi	regulasi
tahunnya	tahun nya
pasar	pasar
cengkeraman	cengkeram an
makmur	makmur
bertempur	ber tempur
tulus	tulus
peniru	pen tiru
beliau	beliau
demam	demam
menyinergikan	men sinergi kan
dimonitor	di monitor
peristiwa	peristiwa
payah	payah
terbangnya	terbang nya
kiri	kiri
perjuangannya	per juang an nya
profesinya	profesi nya
tagihan	tagih an
menggolkan	men gol kan
berandil	ber andil
undi	undi
pembekalan	pen bekal an
ternama	ter nama
tegak	tegak
geram	geram
menantangnya	men tantang nya
pemasoknya	pen pasok nya
musim	musim
sumberdaya	sumberdaya
merekrut	men rekrut
menjangkiti	men jangkit i
lautan	laut an
akurat	akurat
wawancarai	wawancara i
mengapit	men apit
berserikat	ber serikat
bayangannya	bayang an nya
truk	truk
pembantu	pen bantu
seriusnya	serius nya
profesionalismenya	profesionalisme nya
menteri	menteri
menilik	men tilik
isterimu	isteri mu
siklus	siklus
dicukur	di cukur
penembakan	pen tembak an
kampanyenya	kampanye nya
keturunanmu	ke turun an mu
sajian	saji an
rekreasi	rekreasi
dimutakhirkan	di mutakhir kan
mulut	mulut
mengaksesnya	men akses nya
kumulatif	kumulatif
digunakan	di guna kan
setujui	setuju i
tertolak	ter tolak
seabad	se abad
rintisan	rintis an
muliakan	mulia kan
dipilihnya	di pilih nya
cacat	cacat
pemberitaan	pen berita an
dituntaskan	di tuntas kan
mengkaji	men kaji
sebaran	sebar an
dampak	dampak
terpelihara	ter pelihara
permanennya	permanen nya
melanda	men landa
penghargaan	pen harga an
konvensi	konvensi
politis	politis
sekantung	se kantung
kamu	kamu
sedekah	sedekah
proteinnya	protein nya
mengangsur	men angsur
kukatakan	ku kata kan
gizinya	gizi nya
mencarinya	men cari nya
terapkan	terap kan
taninya	tani nya
acara	acara
diserap	di serap
ditimbang	di timbang
menggandeng	men gandeng
sekerjanya	se kerja nya
ubin	ubin
gulung	gulung
pintas	pintas
menyinergikannya	men sinergi kan nya
suaraku	suara aku
paruhnya	paruh nya
ibu	ibu
turun	turun
racun	racun
mereda	men reda
ketetapan	ke tetap an
insiden	insiden
mewakilkan	men wakil kan
sebetulnya	se betul nya
pengecualiannya	pengecualian nya
mempertahankan	men tahan kan
godaan	goda an
perluasan	per luas an
kontak	kontak
penekanannya	pen tekan an nya
fasilitator	fasilitator
tuanya	tua nya
allah	allah
urus	urus
melapor	men lapor
menghantam	men hantam
golongan	golong an
administrator	administrator
antarbadan	antar badan
dirampungkan	di rampung kan
diperberat	di per berat
bau	bau
terdokumentasi	ter dokumentasi
sangkakala	sangkakala
pengukur	pen ukur
pujikan	puji kan
menghadirkan	men hadir kan
jakarta	jakarta
pendistribusiannya	pen distribusi an nya
beralih	ber alih
merebak	men rebak
dipraktikkan	di praktik kan
mengedarkan	men edar kan
umur	umur
terobosan	terobos an
jemaatnya	jemaat nya
pengganggu	pen ganggu
tuan	tuan
berfokus	ber fokus
pemurah	pen murah
lumpuh	lumpuh
berkelanjutan	ber ke lanjut an
optimis	optimis
aksara	aksara
ambruk	ambruk
melatih	men latih
meriamnya	meriam nya
gemilang	gemilang
identitasnya	identitas nya
foto	foto
mendisiplinkan	men disiplin kan
dermaganya	dermaga nya
lanjutnya	lanjut nya
dibawanya	di bawa nya
empuk	empuk
panitia	panitia
sungai	sungai
dililiti	di lilit i
bisnisnya	bisnis nya
menarifkan	men tarif kan
pelayananku	pen layan an ku
walikota	walikota
seiman	se iman
mendermakan	men derma kan
peri	pen ri
tercabut	ter cabut
seikhlasnya	se ikhlas nya
bayar	bayar
antardusun	antar dusun
penderita	pen derita
berkesusahan	ber ke susah an
bungsu	bungsu
keliling	keliling
penguasanya	pen kuasa nya
spesifik	spesifik
santunan	santun an
pemulihan	pen pulih an
demo	demo
noninfrastruktur	non infrastruktur
mengusung	men usung
sedih	sedih
penempelan	pen tempel an
kekasihnya	kekasih nya
mendesentralisasikannya	men desentralisasi kan nya
peninjauan	pen tinjau an
populer	populer
kakiku	kaki ku
dimensi	dimensi
sahabatku	sahabat ku
tepuk	tepuk
almamater	almamater
tambal	tambal
selebar	se lebar
melayu	melayu
rapat	rapat
disucikan	di suci kan
mengamanatkan	men amanat kan
melaut	men laut
terang	terang
dihormati	di hormat i
dibahas	di bahas
fitur	fitur
pendelegasian	pen delegasi an
bahkan	bah kan
menjauhkan	men jauh kan
berkerabat	ber kerabat
menikahinya	men nikah i nya
mentransfer	men transfer
diterbangkan	di terbang kan
satelit	satelit
pemilikan	pen milik an
bertengger	bertengger
menopang	men topang
kompetensi	kompetensi
menyuntikkan	men suntik kan
separuhnya	se paruh nya
menyebarluaskan	men sebarluas kan
penampilannya	pen tampil an nya
terjal	terjal
evakuasi	evakuasi
bising	bising
bertakhta	ber takhta
bertekad	ber tekad
partai	partai
bobot	bobot
kosmetik	kosmetik
cangkang	cangkang
menguatkan	men kuat kan
penuaan	pen tua an
pahatan	pahat an
sejelas	se jelas
mengimbangi	men imbang i
salam	salam
ban	ban
sepedanya	sepeda nya
migrasi	migrasi
pengurus	pen urus
ciptanya	cipta nya
didambakannya	di damba kan nya
disadarkan	di sadar kan
mempersiapkannya	men siap kan nya
pembangunan	pen bangun an
dipersatukan	di per satu kan
investasi	investasi
menghampiri	men hampiri
penghambat	pen hambat
letusan	letus an
menitipkan	men titip kan
pengusung	pen usung
khazanah	khazanah
berpengetahuan	ber pengetahuan
remeh	remeh
luangkan	luang kan
bebanmu	beban mu
penjajahan	pen jajah an
tukang	tukang
bulannya	bulan nya
menjawab	men jawab
perhiasan	per hias an
ditembus	di tembus
milik	milik
selamat	selamat
pahamnya	paham nya
diterjunkan	di terjun kan
menyeleksi	men seleksi
pemanfaatannya	pen manfaat an nya
aniaya	aniaya
curian	curi an
dijejali	di jejal i
seintensif	se intensif
memangkas	men pangkas
kasar	kasar
tempatkan	tempat kan
menerima	men terima
aduk	aduk
peritel	pen ritel
omzet	omzet
disesatkan	di sesat kan
dipasang	di pasang
kategori	kategori
merapi	men rapi
tingginya	tinggi nya
perhentian	per henti an
sayang	sayang
menjabarkan	men jabar kan
lihat	lihat
ditelepon	di telepon
teduh	teduh
mencipratkan	men ciprat kan
ginjal	ginjal
pengekspor	pen ekspor
pengadaan	pen ada an
sembunyikan	sembunyi kan
mantap	mantap
langgengnya	langgeng nya
polusi	polusi
berinovasi	ber inovasi
diarahkan	di arah kan
ganda	ganda
antarstatus	antar status
drama	drama
rata	rata
sekunder	sekunder
cina	cina
dilanda	di landa
mengharmoniskan	men harmonis kan
angkutan	angkut an
tubuhnya	tubuh nya
ditebang	di tebang
sensasi	sensasi
berharganya	ber harga nya
tukar	tukar
dinyatakan	di nyata kan
nonpersonel	non personel
rapuh	rapuh
berlebih	ber lebih
napas	napas
pembawa	pen bawa
sesamanya	se sama nya
memonopoli	men monopoli
mendistorsi	men distorsi
merealokasi	men realokasi
penunjang	pen tunjang
belajarnya	belajar nya
rela	rela
berserakan	ber serak an
menaklukkan	men takluk kan
berkata	ber kata
absen	absen
hiasan	hias an
minatnya	minat nya
saleh	saleh
sarangnya	sarang nya
bertujuan	ber tuju an
membatasi	men batas i
kehendakku	kehendak ku
mata	mata
menangisi	men tangis i
surutnya	surut nya
berkurangnya	ber kurang nya
kabur	kabur
ibaratnya	ibarat nya
pendapatnya	pen dapat nya
searah	se arah
paparan	papar an
separah	se parah
kecenderungan	kecenderungan
pelanggar	pen langgar
perbaikannya	per baik an nya
berbicara	ber bicara
format	format
pembengkakan	pen bengkak an
penyusun	pen susun
anggaran	anggar an
bersih	bersih
menyegarkan	men segar kan
berpacaran	ber pacar an
penyetoran	pen setor an
resmi	resmi
manajer	manajer
prosedurnya	prosedur nya
subjektivitasnya	subjektivitas nya
terkurung	ter kurung
lonjakan	lonjak an
ketidakaktifan	ke tidak aktif an
membidik	men bidik
afrika	afrika
berpindah	ber pindah
tariknya	tarik nya
bapa	bapa
pandangan	pandang an
jalur	jalur
penyegaran	pen segar an
pemakaman	pen makam an
menyesatkan	men sesat kan
terpanjang	ter panjang
praktis	praktis
semasa	se masa
menyalami	men salam i
berjangka	ber jangka
terdiam	ter diam
teh	teh
dirusak	di rusak
berwujud	ber wujud
cincin	cincin
indeks	indeks
pembacaan	pen baca an
gangguan	ganggu an
serbuan	serbu an
dilema	dilema
kabar	kabar
menyambutnya	men sambut nya
sepele	sepele
mencampuri	men campur i
pengingat	pen ingat
diberitakan	di berita kan
tetes	tetes
konkrit	konkrit
diseret	di seret
anggarannya	anggar an nya
ongkosnya	ongkos nya
penyusutan	pen susut an
bersumber	ber sumber
nutrisi	nutrisi
pemberitahuan	pen beritahu an
tersentuh	ter sentuh
bruto	bruto
melestarikan	men lestari kan
bernyanyi	ber nyanyi
pengadministrasiannya	pen administrasi an nya
memulihkan	men pulih kan
mencatat	men catat
mempercepat	men cepat
memerlukannya	men perlu kan nya
teraniaya	ter aniaya
kritis	kritis
melantik	men lantik
ditembak	di tembak
pembeliannya	pen beli an nya
intens	intens
beroperasinya	ber operasi nya
misi	misi
bola	bola
pita	pita
diindonesiakan	di indonesia kan
baju	baju
diprotes	di protes
penimbangan	pen timbang an
memuncak	men puncak
mayat	mayat
mencolok	men colok
memfoto	men foto
tanda	tanda
mengutip	men kutip
panah	panah
menyemangati	men semangat i
melihatnya	men lihat nya
pelayannya	pen layan nya
tarifnya	tarif nya
aceh	aceh
mencocokkannya	men cocok kan nya
pemain	pen main
munafik	munafik
semaksimal	se maksimal
mempererat	men erat
sifat	sifat
bungkusnya	bungkus nya
diminimalkan	di minimal kan
terserap	ter serap
sendirian	sendiri an
elektronik	elektronik
singkat	singkat
membetulkan	men betul kan
pengaduan	pen adu an
polisi	polisi
terjepit	ter jepit
memimpikan	men mimpi kan
bertambah	ber tambah
dilumpuhkan	di lumpuh kan
memproses	men proses
produsen	produsen
barangnya	barang nya
dataran	datar an
membongkar	men bongkar
memperluas	men luas
penghematan	pen hemat an
berpawai	ber pawai
merenovasi	men renovasi
pantai	pantai
elemen	elemen
merambat	men rambat
mengeram	men eram
penertiban	pen tertib an
dibawahinya	di bawah i nya
putri	putri
mengkonfirmasikan	men konfirmasi kan
reguler	reguler
terindikasi	ter indikasi
menghafal	men hafal
mengasuransi	men asuransi
berhentinya	ber henti nya
menyuap	men suap
lipatan	lipat an
memburuknya	men buruk nya
rombongan	rombong an
bahasanya	bahasa nya
terintimidasi	ter intimidasi
buta	buta
melarang	men larang
ditangan	di tangan
bekasi	bekas i
sekelilingnya	se keliling nya
status	status
perhutanan	per hutan an
ikan	ikan
menyebutnya	men sebut nya
mendistribusikan	men distribusi kan
terbalik	ter balik
peraturan	per atur an
penjualannya	pen jual an nya
tidurnya	tidur nya
menantikan	menanti kan
nasibnya	nasib nya
program	program
kerah	kerah
gantungan	gantung an
ditebus	di tebus
urutan	urut an
dikte	dikte
camat	camat
membujuknya	men bujuk nya
firaun	firaun
waris	waris
melemparkannya	men lempar kan nya
pasifik	pasifik
berpenumpang	ber pen tumpang
penyeludupan	pen seludup an
penyeludup	pen seludup
membengkak	men bengkak
kebohongan	ke bohong an
terjangan	terjang an
pihak	pihak
mekanismenya	mekanisme nya
komunis	komunis
rotasi	rotasi
potensial	potensial
memerintahkannya	men perintah kan nya
meyakini	men yakin i
kebalikan	ke balik an
iman	iman
jabodetabek	jabodetabek
teladannya	teladan nya
diklasifikasi	di klasifikasi
telaah	telaah
kupercaya	ku percaya
memanjang	men panjang
mutasi	mutasi
menjaga	men jaga
pengangkatan	pen angkat an
tangki	tangki
diputus	di putus
