bermimpi	ber mimpi
bernada	ber nada
akui	aku i
mencatatkan	men catat kan
bertarung	ber tarung
menunjuk	men tunjuk
meringkas	men ringkas
eternit	eternit
balas	balas
peternakan	peternakan
lomba	lomba
maksimal	maksimal
berkewajiban	ber ke wajib an
hilangnya	hilang nya
jarimu	jari mu
dibukanya	di buka nya
mesin	mesin
diharapkannya	di harap kan nya
penjumlahan	pen jumlah an
diceritakan	di cerita kan
terparkir	ter parkir
penyempitan	pen sempit an
berpikir	ber pikir
mengisolasi	men isolasi
antarindustri	antar industri
caranya	cara nya
duga	duga
pembeliannya	pen beli an nya
kutempuh	ku tempuh
prestise	prestise
kesudahan	ke sudah an
selektifnya	selektif nya
persidangan	per sidang an
rekrut	rekrut
peringkat	peringkat
implikasinya	implikasi nya
inovatif	inovatif
asal	asal
dikendorkan	di kendor kan
monumennya	monumen nya
meringankan	men ringan kan
kisarannya	kisar an nya
paparan	papar an
tuntunan	tuntun an
mulutnya	mulut nya
risikonya	risiko nya
risiko	risiko
kitab	kitab
tengkorak	tengkorak
berobat	ber obat
sesuai	sesuai
traktornya	traktor nya
adanya	ada nya
ikutan	ikut an
terpajangnya	ter pajang nya
panahnya	panah nya
sidang	sidang
meriamnya	meriam nya
buah	buah
tersedot	ter sedot
pegangan	pegang an
gejala	gejala
cucunya	cucu nya
pengharapan	pen harap an
mendetail	men detail
darah	darah
diberitakan	di berita kan
menggoyahkan	men goyah kan
jijik	jijik
kapasitas	kapasitas
bersemangat	ber semangat
berdampingan	ber damping an
rupanya	rupa nya
peninjau	pen tinjau
menghubungkannya	men hubung kan nya
dini	din i
figurnya	figur nya
asramanya	asrama nya
batang	batang
rusaknya	rusak nya
bobroknya	bobrok nya
mendukung	men dukung
penyemprot	pen semprot
afrika	afrika
jaminannya	jamin an nya
menghalangimu	men halang i mu
ramai	ramai
permohonan	per mohon an
memburuk	men buruk
memperbudak	men budak
kontrakan	kontrak an
antarkeluarga	antar keluarga
lembaran	lembar an
buahnya	buah nya
imannya	iman nya
ilahinya	ilahi nya
perkataanku	per kata an ku
semusim	se musim
berlomba	ber lomba
nonusaha	non usaha
diperbesar	di per besar
melenceng	men lenceng
insiden	insiden
memberinya	men beri nya
pendapatannya	pen dapat an nya
persembahan	per sembah an
presentasi	presentasi
simpatinya	simpati nya
pengguliran	pen gulir an
tenggelam	tenggelam
kental	kental
beranggotakan	ber anggota kan
fasih	fasih
dilembagakan	di lembaga kan
batas	batas
koperasinya	koperasi nya
jadi	jadi
perairan	per air an
penilik	pen tilik
berdinding	ber dinding
truknya	truk nya
hotel	hotel
tulus	tulus
pengaman	pen aman
menyelami	men selam i
pencucian	pen cuci an
strata	strata
meramaikan	men ramai kan
bervariasinya	ber variasi nya
bimbingan	bimbing an
review	review
bersandarkan	ber sandar kan
pengorbanannya	pen korban an nya
menyamakan	men sama kan
mencoba	men coba
penumpangan	pen tumpang an
genggam	genggam
tawa	tawa
hiasan	hias an
kontroversi	kontroversi
jauhkan	jauh kan
tertatanya	ter tata nya
berfungsinya	ber fungsi nya
baru	baru
menghilangkan	men hilang kan
diingatkan	di ingat kan
panglima	panglima
diinvestasikan	di investasi kan
disetujui	di setuju i
yayasan	yayasan
ketidakpatuhan	ke tidak patuh an
menghabiskan	men habis kan
cap	cap
martabat	martabat
pertanahan	per tanah an
jambu	jambu
diangsur	di angsur
mulia	mulia
berteduh	ber teduh
hak	hak
mengharuskan	men harus kan
pendetanya	pendeta nya
penunjukkan	penunjukkan
kasih	kasih
jahit	jahit
tertekan	ter tekan
gaul	gaul
terutang	ter utang
menyemprotkan	men semprot kan
bikin	bikin
menjagaku	men jaga aku
dimata	di mata
perbedaan	per beda an
penyerang	pen serang
didapati	di dapat i
pembahasannya	pen bahas an nya
juang	juang
uluran	ulur an
cipta	cipta
santun	santun
disinggung	di singgung
rambutnya	rambut nya
memandu	men pandu
dijatuhkan	di jatuh kan
ketidaktaatan	ke tidak taat an
formasi	formasi
memberitakan	men berita kan
institusional	institusional
dipenjarakan	di penjara kan
beragama	ber agama
antarpulau	antar pulau
penggusuran	pen gusur an
mengoptimalkan	men optimal kan
keras	keras
urutan	urut an
menyembunyikan	men sembunyi kan
pertaniannya	per tani an nya
terjangan	terjang an
berkeadilan	ber ke adil an
berlumpur	ber lumpur
babakan	babak an
naturnya	natur nya
penopang	pen topang
permintaannya	per minta an nya
menjamurnya	men jamur nya
bergaul	ber gaul
mobil	mobil
antardaerah	antar daerah
gosip	gosip
sinar	sinar
penjahit	pen jahit
pembasmi	pen basmi
penambangan	pen tambang an
memperhadapkan	men hadap kan
pribadi	pribadi
berkeluh	ber keluh
mengulang	men ulang
deskripsi	deskripsi
lenyap	lenyap
dinyatakannya	di nyata kan nya
mengasihinya	men kasih i nya
anak	anak
diikutkan	di ikut kan
telanjang	telanjang
memerangi	men perang i
tuan	tuan
berbahasa	ber bahasa
dibuatkan	di buat kan
cerminkan	cermin kan
populer	populer
terlindungi	ter lindung i
kalimat	kalimat
melanggar	men langgar
buyut	buyut
langsing	langsing
berfungsi	ber fungsi
menyiapkan	men siap kan
terprogram	ter program
menghargainya	men harga i nya
ketidakhadiran	ke tidak hadir an
1970an	1970 an
merinci	men rinci
inspirasi	inspirasi
mengganggu	men ganggu
terjauh	ter jauh
terpikat	ter pikat
tempatnya	tempat nya
revisi	revisi
antarpeserta	antar peserta
menggalang	men galang
keinginan	ke ingin an
perhambaan	per hamba an
menyinergikannya	men sinergi kan nya
komposisi	komposisi
memperkosa	men perkosa
pemegang	pen pegang
waktu	waktu
tunggangan	tunggang an
bercirikan	ber ciri kan
pukul	pukul
definisi	definisi
penyalahgunaan	pen salahguna an
rubuh	rubuh
penyeludupan	pen seludup an
mekanik	mekanik
tersempit	ter sempit
dasar	dasar
baku	baku
koleksinya	koleksi nya
minimal	minimal
antiseparatis	anti separatis
menceburkan	men cebur kan
relasinya	relasi nya
menggarisbawahi	men garisbawah i
perjanjian	per janji an
merencanakan	men rencana kan
musyawarah	musyawarah
diandalkan	di andal kan
berkeinginan	ber ke ingin an
gugup	gugup
antarkelompok	antar kelompok
seindah	se indah
romawi	romawi
asas	asas
menjadi	men jadi
dicanangkan	di canang kan
acara	acara
pengentasan	pen entas an
margasatwa	margasatwa
meletakkannya	men letak kan nya
membelakangi	men belakang i
menanyakan	men tanya kan
kekasih	kekasih
belakangan	belakang an
praktik	praktik
elpiji	elpiji
melukai	men luka i
mengkonsolidasikan	men konsolidasi kan
vonis	vonis
isapan	isap an
dititipkannya	di titip kan nya
sepatunya	sepatu nya
lembut	lembut
dihilangkan	di hilang kan
ajarkan	ajar kan
sekerjanya	se kerja nya
bersamaku	ber sama aku
melambat	men lambat
primer	primer
pajangan	pajang an
sukarelawan	sukarela wan
menduduki	men duduk i
mendatangi	men datang i
amanat	amanat
berdampak	ber dampak
penjara	penjara
geografis	geografis
tenar	tenar
seekor	se ekor
bandara	bandara
nonpenerima	non pen terima
gelar	gelar
diagnostik	diagnostik
pemandangan	pen pandang an
memperluas	men luas
korban	korban
komoditas	komoditas
konsistennya	konsisten nya
memperkirakan	men kira kan
tni	tn i
terpendam	ter pendam
yatim	yatim
kehendakku	kehendak ku
kurungan	kurung an
diperburuk	di per buruk
menyelenggarakannya	men selenggara kan nya
gua	gua
terbunuh	ter bunuh
mempermasalahkan	men masalah kan
rata	rata
bersandar	ber sandar
hektar	hektar
potensialnya	potensial nya
mengejek	men ejek
berputar	ber putar
diperdagangkan	di per dagang kan
perujukan	pen rujuk an
pertempuran	per tempur an
rekapitulasinya	rekapitulasi nya
sekolahan	sekolah an
dimandatkan	di mandat kan
mengosongkannya	men kosong kan nya
taksiran	taksir an
perguruan	per guru an
evaluasi	evaluasi
pelaksana	pen laksana
dibuang	di buang
orang	orang
pengadministrasiannya	pen administrasi an nya
arahnya	arah nya
menegur	men tegur
perluasan	per luas an
setara	setara
antarnegara	antar negara
pengembaliannya	pen kembali an nya
terpikir	ter pikir
tersesat	ter sesat
mengenalinya	men kenal i nya
membagi	men bagi
yupiter	yupiter
nomor	nomor
pengingat	pen ingat
menugaskan	men tugas kan
penyuling	pen suling
tujuan	tuju an
ditetapkannya	di tetap kan nya
pesatnya	pesat nya
ambruk	ambruk
sini	sini
adat	adat
melodi	melodi
momen	momen
pagar	pagar
penghubung	pen hubung
berbadan	ber badan
menegarkan	men tegar kan
ditingkatkan	di tingkat kan
berkolaborasi	ber kolaborasi
berunding	ber runding
ampuh	ampuh
integritas	integritas
memindai	men pindai
penghancuran	pen hancur an
petualangan	petualangan
lidah	lidah
merayakan	men raya kan
konsumsi	konsumsi
dolar	dolar
penjudi	pen judi
dikategorikan	di kategori kan
berumur	ber umur
diplomatik	diplomatik
terperosok	terperosok
perlengkapan	per lengkap an
dijuluki	di juluk i
kenal	kenal
perut	perut
dikasih	di kasih
menghafalkan	men hafal kan
penyerahannya	pen serah an nya
mencocokkan	men cocok kan
memasukan	men pasukan
dipecat	di pecat
pernikahannya	per nikah an nya
meminjam	men pinjam
diungsikan	di ungsi kan
pertengkaran	per tengkar an
kuhadapi	ku hadap i
janji	janji
dibagikan	di bagi kan
reputasi	reputasi
talenta	talenta
pahamnya	paham nya
dipatok	di patok
dianugerahi	di anugerah i
peninggalan	pen tinggal an
botol	botol
pendesentralisasian	pen desentralisasi an
berorganisasi	ber organisasi
sisiku	sisi ku
serumit	se rumit
menebarkan	men tebar kan
kudengar	ku dengar
menumpuk	men tumpuk
merombak	men rombak
nonharga	non harga
dijabat	di jabat
ditulisnya	di tulis nya
diimunisasi	di imunisasi
athena	athena
diwakilkan	di wakil kan
cara	cara
konseptual	konseptual
terbantu	ter bantu
oknum	oknum
jarangnya	jarang nya
ditawan	di tawan
dinamis	dinamis
dimakamkan	di makam kan
memperkuat	men kuat
wakilnya	wakil nya
bermoral	ber moral
antarrumah	antar rumah
dirinci	di rinci
harap	harap
memisahkan	men pisah kan
piring	piring
cocok	cocok
sejauh	se jauh
layanan	layan an
separuh	se paruh
terletak	ter letak
ayatnya	ayat nya
strukturnya	struktur nya
memudar	men pudar
bertunangan	ber tunang an
balau	balau
niatan	niat an
tampilan	tampil an
terpelajar	ter pelajar
berperilaku	ber perilaku
ikan	ikan
pemblokiran	pen blokir an
putaran	putar an
pemukiman	pen mukim an
pendorong	pen dorong
menyediakan	men sedia kan
editorialnya	editorial nya
mentari	mentari
pengeringan	pen kering an
berpraktik	ber praktik
medan	medan
bunganya	bunga nya
membahu	men bahu
bersinar	ber sinar
diperbuat	di per buat
dibabat	di babat
ditumpuk	di tumpuk
membela	men bela
solo	solo
giliran	gilir an
memancar	men pancar
perkotaan	per kota an
penghapusan	pen hapus an
mayoritas	mayoritas
massal	massal
termiskin	ter miskin
menakutkan	men takut kan
dimengerti	di mengerti
urut	urut
memperolehnya	men peroleh nya
diangkat	di angkat
diunggah	di unggah
mencatat	men catat
peminjam	pen pinjam
rasi	ras i
model	model
seru	seru
kelanjutannya	ke lanjut an nya
berenang	ber renang
merujuk	men rujuk
menampung	men tampung
perajin	pen rajin
memenuhinya	men penuh i nya
kreditnya	kredit nya
regenerasi	regenerasi
agunan	agun an
dikhawatirkannya	di khawatir kan nya
menyuguhkan	men suguh kan
pengangkatan	pen angkat an
hurufnya	huruf nya
dirawat	di rawat
dititipi	di titip i
moral	moral
kokoh	kokoh
terjerat	ter jerat
ketetapan	ke tetap an
warna	warna
susun	susun
pemda	pemda
tasnya	tas nya
ismail	ismail
persaudaraannya	per saudara an nya
peranan	peran an
dibelenggu	di belenggu
mendengar	men dengar
lemahnya	lemah nya
dihafalkan	di hafal kan
fitnah	fitnah
tujukan	tuju kan
bersantai	ber santai
dijaga	di jaga
administratif	administratif
korupsi	korupsi
prosedurnya	prosedur nya
koleksi	koleksi
astronom	astronom
pertumbuhannya	per tumbuh an nya
sangkut	sangkut
panitia	panitia
berargumen	ber argumen
menikahi	men nikah i
lereng	lereng
pelengkap	pen lengkap
iklannya	iklan nya
leganya	lega nya
unit	unit
pendaftar	pen daftar
kelam	kelam
juli	juli
reguler	reguler
adam	adam
paus	paus
mengajukannya	men aju kan nya
identitas	identitas
mengganggunya	men ganggu nya
penipu	pen tipu
teologiku	teologi ku
mengokohkan	men kokoh kan
lapangan	lapang an
berkesimpulan	ber ke simpul an
mengasuh	men asuh
pajaknya	pajak nya
berdarah	ber darah
unggun	unggun
memindahkan	men pindah kan
karbon	karbon
merapat	men rapat
cerai	cerai
keeratan	ke erat an
ditangan	di tangan
warganegara	warganegara
mengenal	men kenal
mengemuka	men kemuka
merealokasi	men realokasi
diatasi	di atas i
didesain	di desain
menekan	men tekan
berhembus	ber hembus
perundingan	pen runding an
truk	truk
sesak	sesak
palang	palang
mobilisasi	mobilisasi
tokoh	tokoh
mempersempit	men sempit
mencermati	men cermat i
alamat	alamat
kimia	kimia
bahan	bah an
tetesan	tetes an
menyeringai	men seringai
penengah	pen tengah
sebotol	se botol
mengkonsultasikannya	men konsultasi kan nya
pemalsu	pen palsu
politik	politik
sepanjang	se panjang
mengawasi	men awas i
berkurang	ber kurang
paten	paten
dianggarkan	di anggar kan
rajin	rajin
spontan	spontan
dicegat	di cegat
mendefinisikan	men definisi kan
tersinggung	ter singgung
sekuler	sekuler
berbelok	ber belok
beraturan	ber atur an
ketua	ketua
suasana	suasana
melintas	men lintas
sukacita	sukacita
dikontraknya	di kontrak nya
pengorbanan	pen korban an
drastis	drastis
pemasarannya	pen pasar an nya
berpemerintahan	ber pen perintah an
pemeliharaan	pen pelihara an
pemuridan	pen murid an
tebusannya	tebus an nya
pengarah	pen arah
tayangan	tayang an
aparatnya	aparat nya
disuruh	di suruh
mengantar	men antar
matiku	mati ku
terjual	ter jual
pembuat	pen buat
latihannya	latih an nya
ragu	ragu
sejelas	se jelas
dikutip	di kutip
dampingannya	damping an nya
memerdekakan	men merdeka kan
mengejutkan	men kejut kan
saksi	saksi
terpikirkan	ter pikir kan
tertutupi	ter tutup i
doktrin	doktrin
tegak	tegak
etnik	etnik
tertempel	ter tempel
berternak	ber ternak
berjauhan	ber jauh an
terdapatnya	ter dapat nya
isterimu	isteri mu
ditempuhnya	di tempuh nya
nakal	nakal
detak	detak
filipina	filipina
memfotonya	men foto nya
gangguan	ganggu an
matematikanya	matematika nya
diskriminasi	diskriminasi
sarapan	sarapan
besar	besar
sebut	sebut
berlimpahnya	ber limpah nya
membunuhnya	men bunuh nya
memanjang	men panjang
berumput	ber rumput
murah	murah
sumur	sumur
mungil	mungil
mengontrak	men kontrak
melaksanakannya	men laksana kan nya
beranggapan	ber anggap an
berkeyakinan	ber ke yakin an
ramah	ramah
agamanya	agama nya
dihormatinya	di hormat i nya
memodifikasi	men modifikasi
ayahnya	ayah nya
vakum	vakum
ciuman	cium an
mengingini	men ingin i
diklasifikasikan	di klasifikasi kan
menggembirakan	men gembira kan
gerbang	gerbang
meluncurkan	men luncur kan
dipakai	di pakai
penegak	pen tegak
membetulkan	men betul kan
didarati	di darat i
diindikasikan	di indikasi kan
ditabungkan	di tabung kan
diselamatkannya	di selamat kan nya
penelitinya	pen teliti nya
diajar	di ajar
karakteristiknya	karakteristik nya
monopoli	monopoli
berinovasi	ber inovasi
baterai	baterai
mengutusnya	men utus nya
gulungan	gulung an
intensifnya	intensif nya
penguasa	pen kuasa
meninggikan	men tinggi kan
sedangkan	sedang kan
berprofesi	ber profesi
menyadarkan	men sadar kan
asap	asap
tragis	tragis
masyarakatnya	masyarakat nya
intimidasi	intimidasi
pembaruan	pen baru an
bungkusan	bungkus an
merasuk	men rasuk
berseru	ber seru
silakan	silakan
komponen	komponen
bersekolah	ber sekolah
cari	cari
bergulat	ber gulat
nyonya	nyonya
sd	sd
mengiklankan	men iklan kan
ratusan	ratus an
nasional	nasional
dihimpun	di himpun
berkemampuan	ber ke mampu an
dianggapnya	di anggap nya
berlahan	ber lahan
antartempat	antar tempat
sipil	sipil
dikumpulkan	di kumpul kan
denyut	denyut
elektronik	elektronik
merampok	men rampok
penambang	pen tambang
negosiasi	negosiasi
ham	ham
penipuan	pen tipu an
berkedudukan	ber ke duduk an
memikirkannya	men pikir kan nya
negaranya	negara nya
menetapkan	men tetap kan
diajarnya	di ajar nya
pai	pai
cemerlang	cemerlang
ceritakan	cerita kan
dicengkeram	di cengkeram
kesan	kesan
brutonya	bruto nya
sampingan	samping an
mendirikannya	men diri kan nya
amal	amal
meluap	men luap
melewati	men lewat i
marah	marah
pencapaiannya	pen capai an nya
pertaruhan	per taruh an
dana	dana
goncangan	goncang an
berkelanjutan	ber ke lanjut an
dikompensasi	di kompensasi
penyuluh	pen suluh
berfluktuasi	ber fluktuasi
ruangnya	ruang nya
sembuh	sembuh
menangnya	menang nya
gelap	gelap
ditujukan	di tuju kan
rute	rute
nonpungutan	non pungut an
diapit	di apit
memodernisasi	men modernisasi
makmur	makmur
teroris	teroris
wasit	wasit
penggugat	pen gugat
penebus	pen tebus
mewariskan	men waris kan
dibakar	di bakar
paksaan	paksa an
mengasah	men asah
didera	di dera
antarguru	antar guru
dipinjami	di pinjam i
lontar	lontar
menumpang	men tumpang
menyimpan	men simpan
wol	wol
atlet	atlet
berimbas	ber imbas
hubunganku	hubung an ku
kuperintahkan	ku perintah kan
memikat	men pikat
memihak	men pihak
larangan	larang an
selembar	se lembar
kisah	kisah
saksama	saksama
dilihatnya	di lihat nya
mengakumulasi	men akumulasi
memarkir	men parkir
memerintahkan	men perintah kan
natur	natur
memilihkan	men pilih kan
tercermin	ter cermin
belanja	belanja
imunisasinya	imunisasi nya
seramai	se ramai
resepnya	resep nya
bersoal	ber soal
jualbeli	jualbeli
penyortiran	pen sortir an
naskah	naskah
semampu	se mampu
natal	natal
mempublikasikan	men publikasi kan
tunduk	tunduk
merekam	men rekam
ragukan	ragu kan
mendukakan	men duka kan
irigasi	irigasi
purbakala	purbakala
berlainan	ber lain an
belahan	belah an
penggalangan	pen galang an
tuanya	tua nya
sentuh	sentuh
goreng	goreng
pengaruhi	pengaruh i
penyebab	pen sebab
meletihkan	men letih kan
merajut	men rajut
pakar	pakar
diluluskan	di lulus kan
rangkap	rangkap
terjerumus	ter jerumus
perbuatannya	per buat an nya
mayat	mayat
pelatih	pen latih
tobat	tobat
pendistribusi	pen distribusi
bermata	ber mata
pengetahuannya	pengetahuan nya
nonmakanan	non makan an
mengaplikasikan	men aplikasi kan
pengadilan	pen adil an
membalas	men balas
menapaki	men tapak i
takjub	takjub
terurai	ter urai
mengutuknya	men kutuk nya
mekanismenya	mekanisme nya
perekrutan	pen rekrut an
diserang	di serang
sikapnya	sikap nya
fisik	fisik
peminat	pen minat
menganjurkan	men anjur kan
beririgasi	ber irigasi
kostum	kostum
penghitungan	pen hitung an
mengherankan	men heran kan
eksploitasi	eksploitasi
aktual	aktual
abdikan	abdi kan
tekstil	tekstil
merisaukan	men risau kan
terjadi	ter jadi
diketahuinya	di ketahui nya
menghangatkan	men hangat kan
interpretasi	interpretasi
menyetujuinya	men setuju i nya
kala	kala
pembicaranya	pen bicara nya
debutnya	debut nya
menyokong	men sokong
memveto	men veto
arahan	arah an
norma	norma
terpetakan	ter peta kan
mahal	mahal
pengabdiannya	pen abdi an nya
meliputi	men liput i
ketidakmampuan	ke tidak mampu an
saraf	saraf
disiarkan	di siar kan
ganti	ganti
memulangkan	men pulang kan
kepingan	keping an
asuh	asuh
antardepartemen	antar departemen
penyegaran	pen segar an
berdasarkan	ber dasar kan
estimasi	estimasi
melaluinya	men lalu i nya
realisasinya	realisasi nya
menggadai	men gadai
program	program
fasilitator	fasilitator
paku	paku
terlantar	terlantar
capaiannya	capai an nya
berpindah	ber pindah
mengandalkan	men andal kan
gelora	gelora
kritikus	kritikus
lampu	lampu
penanda	pen tanda
skeptis	skeptis
pemelihara	pen pelihara
dihindarinya	di hindar i nya
dominan	dominan
menebusnya	men tebus nya
membendung	men bendung
menyeleksi	men seleksi
memberkati	men berkat i
pengenalan	pen kenal an
nonpeserta	non peserta
barunya	baru nya
menjagamu	men jaga mu
diktenya	dikte nya
menyenangkan	men senang kan
berdebar	ber debar
emosional	emosional
dilibatkannya	di libat kan nya
dialog	dialog
kasusnya	kasus nya
didukungnya	di dukung nya
menyusun	men susun
chevy	chevy
unta	unta
pengetatan	pen ketat an
disucikan	di suci kan
berkomitmen	ber komitmen
dekat	dekat
terkecil	ter kecil
berpenumpang	ber pen tumpang
pelihara	pelihara
membagikannya	men bagi kan nya
pembiayaannya	pen biaya an nya
dipulau	di pulau
canggih	canggih
mundur	mundur
absen	absen
renungan	renung an
dimerdekakan	di merdeka kan
gugus	gugus
dikoordinir	di koordinir
proporsinya	proporsi nya
memainkannya	men main kan nya
sejawatnya	se jawat nya
jiwamu	jiwa mu
penyelidikan	pen selidik an
jarak	jarak
ditunjukkan	di tunjuk kan
kanker	kanker
pembimbingan	pen bimbing an
mengeluarkan	men keluar kan
bertepuk	ber tepuk
mengenalkan	men kenal kan
ditimpa	di timpa
dipraktekkan	di praktek kan
konotasi	konotasi
dukungannya	dukung an nya
bidang	bidang
persekolahan	per sekolah an
pencalonan	pen calon an
menunggang	men tunggang
diasingkan	di asing kan
hakim	hakim
lurahnya	lurah nya
lanjutnya	lanjut nya
langka	langka
sejawat	se jawat
dikonsolidasi	di konsolidasi
alkohol	alkohol
multinasional	multinasional
kapal	kapal
inisiatifnya	inisiatif nya
karet	karet
komoditi	komoditi
stabil	stabil
mengimbangi	men imbang i
mingguan	minggu an
bercukur	ber cukur
gerai	gerai
pemilihan	pen pilih an
kananmu	kanan mu
menaati	men taat i
jenderal	jenderal
mengestimasi	men estimasi
prakteknya	praktek nya
taksi	taksi
operasional	operasional
menjemput	men jemput
jumlah	jumlah
disiapkan	di siap kan
diadili	di adil i
bermigrasi	ber migrasi
membatasi	men batas i
gitarnya	gitar nya
merawat	men rawat
turunnya	turun nya
bakteri	bakteri
dirobohkan	di roboh kan
manipulasi	manipulasi
berkeluarga	ber keluarga
eksekusinya	eksekusi nya
umumkan	umum kan
pengamatan	pengamat an
turunkan	turun kan
tingginya	tinggi nya
memamerkannya	men pamer kan nya
miskinnya	miskin nya
melibatkan	men libat kan
pohon	pohon
residual	residual
mengaruniakan	men karunia kan
penumpukan	pen tumpuk an
terdepan	ter depan
akibat	akibat
ditagih	di tagih
belanjanya	belanja nya
politikus	politikus
perombakan	pen rombak an
memvonis	men vonis
menandai	men tanda i
cabang	cabang
membencinya	men benci nya
dinginnya	dingin nya
dirapatkan	di rapat kan
pengarung	pen karung
berwenang	ber wenang
berpisah	ber pisah
kajian	kaji an
bongkar	bongkar
dikawal	di kawal
diserahkan	di serah kan
pembekalan	pen bekal an
dituduh	di tuduh
bisbol	bisbol
membangun	men bangun
merintangi	men rintang i
artistik	artistik
realitasnya	realitas nya
kebalikannya	ke balik an nya
diprakarsai	di prakarsa i
bersenjata	ber senjata
mendukungnya	men dukung nya
alergi	alergi
mandatnya	mandat nya
panel	panel
lupakan	lupa kan
integritasnya	integritas nya
ketidaktepatan	ke tidak tepat an
pembaharuan	pen baharu an
direnovasinya	di renovasi nya
tamu	tamu
terpahat	ter pahat
dibiarkan	di biar kan
berdaya	ber daya
jalur	jalur
dikembalikan	di kembali kan
bernama	ber nama
asam	asam
puding	puding
sarana	sarana
sayur	sayur
diverifikasinya	di verifikasi nya
persepsinya	persepsi nya
terkuat	ter kuat
lokali	lokal i
penampilannya	pen tampil an nya
terbayar	ter bayar
mengalirkan	men alir kan
optimal	optimal
terganggu	ter ganggu
penegakan	pen tegak an
waspada	waspada
menyerah	men serah
mendengarkan	men dengar kan
pasangannya	pasang an nya
terberatnya	ter berat nya
pengurusannya	pen urus an nya
daur	daur
menciprat	men ciprat
diperbolehkan	di per boleh kan
eksklusif	eksklusif
diterima	di terima
ketidaksesuaian	ke tidak sesuai an
menuangkan	men tuang kan
mencabutnya	men cabut nya
dilihat	di lihat
digital	digital
perpisahan	per pisah an
bertanah	ber tanah
mengatakannya	men kata kan nya
persebaran	per sebar an
diwarisinya	di waris i nya
nyawa	nyawa
menggoyang	men goyang
dibiasakan	di biasa kan
pemenang	pen menang
payahmu	payah mu
menjerat	men jerat
dipertahankan	di per tahan kan
dengar	dengar
landai	landa i
diimplementasikan	di implementasi kan
peran	peran
tunggu	tunggu
menanami	men tanam i
pers	pers
menjalin	men jalin
tampilkan	tampil kan
tepi	tepi
pencinta	pen cinta
menghamparkan	men hampar kan
pengurangan	pen kurang an
indikasi	indikasi
asin	asin
mengurusnya	men urus nya
mengosongkan	men kosong kan
bau	bau
berkonsultasi	ber konsultasi
ironisnya	ironis nya
memanggil	men panggil
jam	jam
pelabuh	pen labuh
memancingnya	men pancing nya
samudera	samudera
analisis	analisis
prakarsa	prakarsa
terpenuhinya	men penuh i nya
sesuatu	sesuatu
tungkunya	tungku nya
stadion	stadion
bertugas	ber tugas
dijual	di jual
dipanggang	di panggang
pengamanan	pen aman an
juruselamat	juruselamat
signifikan	signifikan
dibesarkan	di besar kan
bangun	bangun
refleksi	refleksi
kronis	kronis
pemainnya	pen main nya
menggetarkan	men getar kan
dielaborasi	di elaborasi
tangguh	tangguh
penetrasi	penetrasi
disampaikannya	di sampai kan nya
pengukur	pen ukur
memutar	men putar
coba	coba
dilacak	di lacak
bebuyutan	bebuyutan
merealisasikannya	men realisasi kan nya
pembatalan	pen batal an
ajak	ajak
pengelola	pen kelola
akuntabilitas	akuntabilitas
mengurusi	men urus i
rekan	rekan
terintegrasi	ter integrasi
pinggang	pinggang
tambahan	tambah an
terbukti	ter bukti
diutus	di utus
moto	moto
sukses	sukses
menirukan	men tiru kan
riang	riang
sebetulnya	se betul nya
menyangka	men sangka
peletakan	pen letak an
berproduksi	ber produksi
darahku	darah ku
dekatnya	dekat nya
melampaui	men lampau i
pepohonan	pepohonan
pergeseran	per geser an
penggagas	pen gagas
indeks	indeks
perdamaian	per damai an
lazimnya	lazim nya
federasi	federasi
memukulnya	men pukul nya
pakai	pakai
pulih	pulih
gencar	gencar
impor	impor
direkonstruksi	di rekonstruksi
menepis	men tepis
roti	roti
jarang	jarang
keberadaan	keberadaan
parlemen	parlemen
situ	situ
serakah	serakah
gunakan	guna kan
dimaksudkannya	di maksud kan nya
prosedural	prosedural
dibakukan	di baku kan
pandai	pandai
menahun	men tahun
server	server
kancing	kancing
dipersoalkan	di per soal kan
berkabungnya	berkabung nya
ubin	ubin
ditembus	di tembus
membukakan	men buka kan
dihibur	di hibur
luang	luang
antusiasme	antusiasme
personelnya	personel nya
mati	mati
peledak	pen ledak
perannya	peran nya
terungkapkan	ter ungkap kan
diturunkan	di turun kan
donasi	donasi
jatahnya	jatah nya
bersedih	ber sedih
pemeriksaan	pen periksa an
berminat	ber minat
makhluk	makhluk
berbau	ber bau
memulihkannya	men pulih kan nya
bertanggung	ber tanggung
menyedihkan	men sedih kan
tema	tema
aktivis	aktivis
pujikan	puji kan
relawan	rela wan
peraturannya	per atur an nya
membenci	men benci
pembelajaran	pen belajar an
kehadirannya	ke hadir an nya
merindukan	men rindu kan
tersingkir	ter singkir
merambat	men rambat
omongan	omong an
rendahkan	rendah kan
debiturnya	debitur nya
berasal	ber asal
kristen	kristen
dipamerkan	di pamer kan
teologi	teologi
getah	getah
praktiknya	praktik nya
pendefinisian	pen definisi an
postingan	posting an
ditimbang	di timbang
ngomongnya	ngomong nya
dipermainkan	di per main kan
menyayangi	men sayang i
tebusan	tebus an
secepatnya	se cepat nya
terkasih	ter kasih
lantunan	lantun an
melonjak	men lonjak
berkenalan	ber kenal an
utusan	utus an
lompatan	lompat an
penganyam	pen anyam
diketuai	di ketua i
mencermatinya	men cermat i nya
menyingsingkan	men singsing kan
janggal	janggal
pelibatan	pen libat an
pemerasan	pen peras an
lagunya	lagu nya
melimpah	men limpah
