halnya	hal nya
terpuruk	ter puruk
bentukan	bentuk an
menyiramnya	men siram nya
bebuyutan	bebuyutan
mengabaikannya	men abai kan nya
peminatnya	pen minat nya
tergantung	ter gantung
kelola	kelola
kuingin	ku ingin
merenung	men renung
memperpanjang	men panjang
lumpuh	lumpuh
kepalanya	kepala nya
dewa	dewa
lapaknya	lapak nya
mengguncangkan	men guncang kan
wakilnya	wakil nya
tepi	tepi
berkumandang	ber kumandang
lanjutnya	lanjut nya
kiranya	kira nya
makmur	makmur
berkeluarga	ber keluarga
digenapi	di genap i
halal	halal
penajaman	pen tajam an
penjangkauan	pen jangkau an
ancaman	ancam an
diincar	di incar
sekiranya	sekira nya
beralkohol	ber alkohol
kanan	kanan
skandal	skandal
menangisi	men tangis i
sahabat	sahabat
dipersalahkan	di per salah kan
merumput	men rumput
kukatakan	ku kata kan
jemaat	jemaat
pekerjanya	pekerja nya
intervensi	intervensi
birokrasi	birokrasi
kamera	kamera
penciumannya	pen cium an nya
putranya	putra nya
berjumpa	ber jumpa
bantuannya	bantu an nya
mendamaikan	men damai kan
mendekatkan	men dekat kan
didera	di dera
terpinggirkan	ter pinggir kan
kunjungannya	kunjung an nya
keping	keping
menyembuhkan	men sembuh kan
samping	samping
mengumpulkannya	men kumpul kan nya
membingungkan	men bingung kan
adil	adil
nonperbankan	non per bank an
pendengar	pen dengar
nonpersonel	non personel
iseng	iseng
tergolong	ter golong
dimuliakan	di mulia kan
ditambahkannya	di tambah kan nya
kendali	kendali
ekspansi	ekspansi
aduannya	adu an nya
artis	artis
menjengkelkan	men jengkel kan
terdampak	ter dampak
sekadarnya	se kadar nya
pemekaran	pen mekar an
menunjukkan	men tunjuk kan
tertunda	ter tunda
kuda	kuda
periksa	periksa
berat	berat
disuntik	di suntik
perabotan	perabot an
merangkap	men rangkap
konkrit	konkrit
ishak	ishak
kufirmankan	ku firman kan
ucapannya	ucap an nya
pergumulan	per gumul an
akbar	akbar
tersedot	ter sedot
cintanya	cinta nya
jebol	jebol
mengantri	men antri
kriminal	kriminal
bergelar	ber gelar
ditabrak	di tabrak
terbuang	ter buang
praktis	praktis
saksikan	saksi kan
berkeadilan	ber ke adil an
dilukis	di lukis
motor	motor
fajar	fajar
memperoleh	men peroleh
gelarnya	gelar nya
bertanggungjawab	ber tanggungjawab
depresi	depresi
taksi	taksi
berkinerja	ber kinerja
suruh	suruh
mempersoalkan	men soal kan
dijumpai	di jumpa i
pengentasan	pen entas an
berakal	ber akal
injeksikan	injeksi kan
muliakan	mulia kan
mawarnya	mawar nya
berkilauan	ber kilau an
menekuni	men tekun i
ongkos	ongkos
penghasilannya	pen hasil an nya
dikompilasi	di kompilasi
mereproduksinya	men reproduksi nya
lurahnya	lurah nya
menyeleksi	men seleksi
kandang	kandang
sobekan	sobek an
tertekan	ter tekan
perpanjangan	per panjang an
mingguan	minggu an
gelar	gelar
penguburan	pen kubur an
terbayangkan	ter bayang kan
menggeluti	men gelut i
ubah	ubah
berlimpah	ber limpah
keraskan	keras kan
komoditas	komoditas
manis	manis
membelakangi	men belakang i
berlanjutnya	ber lanjut nya
tegar	tegar
merekam	men rekam
turunnya	turun nya
mengalirkan	men alir kan
dimilikinya	di milik i nya
komersial	komersial
kendaraan	kendara an
berkeberatan	ber ke berat an
kedudukannya	ke duduk an nya
meluas	men luas
ditaruhnya	di taruh nya
seikhlasnya	se ikhlas nya
jeruk	jeruk
dibangun	di bangun
karunnya	karun nya
pengganggu	pen ganggu
berlantai	ber lantai
sejenis	se jenis
intensif	intensif
penggolongan	pen golong an
terekam	ter rekam
memperberat	men berat
sampul	sampul
deras	deras
dipanen	di panen
bensin	bensin
terkendala	ter kendala
dermaganya	dermaga nya
diagnosa	diagnosa
relevannya	relevan nya
dipenuhi	di penuh i
diserahkan	di serah kan
rayakan	raya kan
penyebutan	pen sebut an
menggantungkan	men gantung kan
dibutuhkannya	di butuh kan nya
diperlukan	di perlu kan
subkontrak	subkontrak
sederhana	sederhana
hiburan	hibur an
email	email
mengedipkan	men kedip kan
diperpanjang	di per panjang
aksesnya	akses nya
merenungkan	men renung kan
berandil	ber andil
manufaktur	manufaktur
digodok	di godok
konvensional	konvensional
dilukai	di luka i
mencukur	men cukur
ditarik	di tarik
dicairkan	di cair kan
menyejukkan	men sejuk kan
top	top
disamping	di samping
penyerangan	pen serang an
perencanaan	pen rencana an
jajarannya	jajar an nya
pendirian	pen diri an
asi	as i
berpengaruh	ber pengaruh
dihadapi	di hadap i
jasad	jasad
alatnya	alat nya
mengkomunikasikannya	men komunikasi kan nya
tekstil	tekstil
diumpankan	di umpan kan
menyederhanakannya	men sederhana kan nya
monopoli	monopoli
seiring	seiring
dikoordinasi	di koordinasi
pendaratan	pen darat an
fakta	fakta
sendiri	sendiri
stempel	stempel
pemungutan	pen pungut an
pautnya	paut nya
dihiasi	di hias i
alumni	alumni
sidik	sidik
bermaksud	ber maksud
fleksibel	fleksibel
hemat	hemat
pengembara	pen kembara
direspon	di respon
dimenangkan	di menang kan
diperebutkan	di per rebut kan
terbaring	ter baring
dipenjarakan	di penjara kan
meneg	meneg
menentu	men tentu
kompleksnya	kompleks nya
menggosok	men gosok
pemilih	pen pilih
pandu	pandu
terungkap	ter ungkap
nasionalnya	nasional nya
sejawat	se jawat
tunjangan	tunjang an
hamba	hamba
pembangunannya	pen bangun an nya
berpalang	ber palang
melaporkannya	men lapor kan nya
bersalju	ber salju
wasit	wasit
karyawannya	karya wan nya
wangi	wangi
disiasati	di siasat i
pemberdayaan	pemberdayaan
mengunjunginya	men kunjung i nya
bersintesis	ber sintesis
capaian	capai an
sorotan	sorot an
menumbuhkan	men tumbuh kan
berutang	ber utang
lerengan	lereng an
membekukan	men beku kan
cangkul	cangkul
pameran	pamer an
kapas	kapas
roti	roti
kehinaan	ke hina an
dirumahmu	di rumah mu
berinvestasi	ber investasi
misteri	misteri
kecenderungan	kecenderungan
ketidaksetiaan	ke tidak setia an
zamannya	zaman nya
terbelah	ter belah
melanggar	men langgar
inisiatifnya	inisiatif nya
renungan	renung an
menyambutnya	men sambut nya
membusuk	men busuk
tatap	tatap
mukjizat	mukjizat
ilustrasi	ilustrasi
kepemimpinannya	kepemimpinan nya
bergerak	ber gerak
perjumpaan	per jumpa an
memotret	men potret
ambilkan	ambil kan
maksimum	maksimum
menyadarinya	men sadar i nya
pertanaman	per tanam an
mendapatinya	men dapat i nya
bertanda	ber tanda
menyadari	men sadar i
areal	areal
berdaulat	ber daulat
dimarahi	di marah i
mempersembahkan	men sembah kan
mendeskripsikan	men deskripsi kan
dominasi	dominasi
umpan	umpan
diapit	di apit
rangkap	rangkap
resah	resah
lomba	lomba
budaya	budaya
terjangkaunya	ter jangkau nya
profesi	profesi
digolongkan	di golong kan
desain	desain
profesor	profesor
menyeberanginya	men seberang i nya
pelaksana	pen laksana
ganti	ganti
menyingkapkan	men singkap kan
ketidaksanggupan	ke tidak sanggup an
alunan	alun an
doktor	doktor
kemas	kemas
koreksi	koreksi
mengenalinya	men kenal i nya
menyelamatkan	men selamat kan
diuraikan	di urai kan
medali	medali
percekcokan	per cekcok an
terparkir	ter parkir
menggarap	men garap
protes	protes
dihibur	di hibur
pigmen	pigmen
terurus	ter urus
berniat	ber niat
perawat	pen rawat
contoh	contoh
tinggal	tinggal
antarpengurus	antar pen urus
tentaranya	tentara nya
berbuat	ber buat
berjabat	ber jabat
arena	arena
memetik	men petik
pencegah	pen cegah
gandum	gandum
lega	lega
memperdulikan	men perduli kan
mendengarkan	men dengar kan
dikompromikan	di kompromi kan
presiden	presiden
orbit	orbit
asistennya	asisten nya
mengevaluasi	men evaluasi
terdapatnya	ter dapat nya
imunisasi	imunisasi
sumbernya	sumber nya
rakyatnya	rakyat nya
menjabat	men jabat
pengaudit	pen audit
privat	privat
perduli	perduli
direncanakan	di rencana kan
melanjutkannya	men lanjut kan nya
berupaya	ber upaya
sistemnya	sistem nya
mengkhianati	men khianat i
pengasingan	pen asing an
belajarnya	belajar nya
langkahnya	langkah nya
diterapkan	di terap kan
mengatakan	men kata kan
mengoyakkan	men koyak kan
isu	isu
peredaran	per edar an
mendapatkan	men dapat kan
dihanguskan	di hangus kan
telingamu	telinga mu
bernaung	ber naung
kilang	kilang
penentuan	pen tentu an
dekonsentrasi	dekonsentrasi
dilahirkan	di lahir kan
menyamarkannya	men samar kan nya
menyanggupi	men sanggup i
arisan	arisan
penggajian	pen gaji an
mengasihimu	men kasih i mu
menghormati	men hormat i
girangnya	girang nya
menopang	men topang
dikupas	di kupas
marinir	marinir
dananya	dana nya
penyebabnya	pen sebab nya
pesona	pesona
perpisahannya	per pisah an nya
perang	perang
gerak	gerak
kalah	kalah
efeknya	efek nya
diperkenankan	di per kenan kan
dikucilkan	di kucil kan
makanan	makan an
memboikotnya	men boikot nya
bernoda	ber noda
izinnya	izin nya
tahunannya	tahun an nya
serius	serius
beraninya	berani nya
relokasi	relokasi
pemeriksa	pen periksa
bulannya	bulan nya
dibimbing	di bimbing
mengarahkannya	men arah kan nya
dikhususkan	di khusus kan
purba	purba
mendirikannya	men diri kan nya
dipajang	di pajang
dikunjunginya	di kunjung i nya
lulus	lulus
artinya	arti nya
mengantar	men antar
teologiku	teologi ku
pedagang	pedagang
menyentak	men sentak
bergembira	ber gembira
menyiarkan	men siar kan
diunduh	di unduh
membasuh	men basuh
kukira	ku kira
dipikirnya	di pikir nya
sepihak	se pihak
menyemprotkan	men semprot kan
premi	premi
hamparan	hampar an
pendamping	pen damping
diciptakannya	di cipta kan nya
absah	absah
geluti	gelut i
perempuannya	perempuan nya
relevansinya	relevansi nya
ambivalen	ambivalen
pandangan	pandang an
pelik	pelik
pelajarannya	pelajar an nya
diterlantarkan	di terlantar kan
harapan	harap an
jenisnya	jenis nya
cercaan	cerca an
induk	induk
dianggapnya	di anggap nya
prosesi	proses i
juruselamat	juruselamat
mahabintang	mahabintang
arahan	arah an
dipeluk	di peluk
sadari	sadar i
ditumbuk	di tumbuk
imigrasi	imigrasi
membaca	men baca
memerdekakan	men merdeka kan
perkawinannya	per kawin an nya
dinikahi	di nikah i
tersesat	ter sesat
kreatif	kreatif
mengenai	men kena i
aniaya	aniaya
lingkaran	lingkar an
beranggotakan	ber anggota kan
kualitasnya	kualitas nya
lawatan	lawatan
jambangan	jambang an
berkontribusi	ber kontribusi
mendiskusikan	men diskusi kan
mentransfer	men transfer
khasiatnya	khasiat nya
dijelang	di jelang
dipecat	di pecat
memberkatinya	men berkat i nya
pengurus	pen urus
selesaikan	selesai kan
penerimaannya	pen terima an nya
perluasan	per luas an
hadapan	hadap an
mewarnai	men warna i
harum	harum
penerangan	pen terang an
tersaji	ter saji
kemajuannya	ke maju an nya
kunjungan	kunjung an
resolusi	resolusi
dijadikannya	di jadi kan nya
bergengsi	ber gengsi
tuntunan	tuntun an
pegang	pegang
waktuku	waktu ku
gadis	gadis
kliping	kliping
multinasional	multinasional
mengotori	men kotor i
kaleng	kaleng
menonjol	men tonjol
kalifornia	kalifornia
disibukkan	di sibuk kan
lintas	lintas
singkat	singkat
dipergunakan	di per guna kan
gunanya	guna nya
dikecewakan	di kecewa kan
buaian	buai an
pengambil	pen ambil
pengumuman	pen umum an
menghentikannya	men henti kan nya
membereskan	men beres kan
lantunan	lantun an
berprasangka	ber prasangka
pemutakhiran	pen mutakhir an
pernikahan	per nikah an
menyetujuinya	men setuju i nya
mendekatinya	men dekat i nya
tersungkur	ter sungkur
suci	suci
ventilasi	ventilasi
kabinet	kabinet
gigi	gigi
serangkaian	se rangkaian
berganti	ber ganti
berterima	ber terima
tujukan	tuju kan
bernomor	ber nomor
pemilahan	pen pilah an
max	max
mendiskusikannya	men diskusi kan nya
menyelam	men selam
negatif	negatif
muluk	muluk
tebalnya	tebal nya
tertib	tertib
matahari	matahari
pembukuannya	pen buku an nya
penting	penting
bertambahnya	ber tambah nya
menopangnya	men topang nya
tangga	tangga
ramalan	ramal an
penjelasan	pen jelas an
nafsu	nafsu
berlipat	ber lipat
triwulanan	triwulan an
menggenapi	men genap i
perampingan	pen ramping an
makannya	makan nya
penasehat	pen nasehat
timbul	timbul
babak	babak
eternit	eternit
merealokasikan	men realokasi kan
menerbangkan	men terbang kan
menyebabkannya	men sebab kan nya
peritel	pen ritel
mengangsur	men angsur
survei	survei
sertifikat	sertifikat
memainkan	men main kan
meminjamnya	men pinjam nya
diserang	di serang
monumennya	monumen nya
penutupnya	pen tutup nya
terpadat	ter padat
memindai	men pindai
agen	agen
merevisi	men revisi
terhilang	ter hilang
prestise	prestise
mendominasinya	men dominasi nya
mangsa	mangsa
israel	israel
ditafsirkan	di tafsir kan
tersembunyi	ter sembunyi
terompet	terompet
sumatera	sumatera
penyuluhan	pen suluh an
sahnya	sah nya
jurus	jurus
program	program
skemanya	skema nya
sedihan	sedih an
mendinginkan	men dingin kan
nonteknis	nonteknis
besarannya	besar an nya
bicaranya	bicara nya
diteruskan	di terus kan
gugat	gugat
prihatin	prihatin
inovatif	inovatif
benda	benda
menggiring	men giring
santunan	santun an
berlindung	ber lindung
memandu	men pandu
mengelolanya	men kelola nya
ditulisnya	di tulis nya
saudaraku	saudara aku
barat	barat
giat	giat
ribuan	ribu an
mengajarkan	men ajar kan
semalam	se malam
pembantu	pen bantu
mengisyaratkan	men isyarat kan
lobi	lobi
pukulan	pukul an
bapak	bapak
tergantikan	ter ganti kan
menuntaskan	men tuntas kan
meluluskan	men lulus kan
penengah	pen tengah
meracuni	men racun i
bahtera	bahtera
paman	paman
mengemudikan	men kemudi kan
kebutuhanmu	ke butuh an mu
pendistribusi	pen distribusi
mengorganisasi	men organisasi
karet	karet
menggelikan	men geli kan
volume	volume
mengelola	men kelola
terlama	ter lama
dijerumuskan	di jerumus kan
mengurusi	men urus i
pelat	pelat
kuburan	kubur an
geografi	geografi
pemberkatan	pen berkat an
sengit	sengit
tahun	tahun
mencukupinya	men cukup i nya
berdirinya	ber diri nya
otonomi	otonomi
pelimpahan	pen limpah an
teleskop	teleskop
menekankan	men tekan kan
melumpuhkannya	men lumpuh kan nya
hobi	hobi
registrasi	registrasi
pendiri	pen diri
kokoh	kokoh
menandakan	men tanda kan
reka	reka
jumlahnya	jumlah nya
berputar	ber putar
reputasinya	reputasi nya
rasional	rasional
terik	terik
berkeramik	ber keramik
mengumpulkan	men kumpul kan
rendahan	rendah an
penahanan	pen tahan an
mengikut	men ikut
ham	ham
isapan	isap an
berdaya	ber daya
mengasingkan	men asing kan
tas	tas
menulari	men tular i
tugasku	tugas ku
mengaktifkan	men aktif kan
eropa	eropa
ruangnya	ruang nya
reproduksi	reproduksi
tatapannya	tatap an nya
lembaga	lembaga
jahitan	jahit an
mahasiswa	mahasiswa
gurunya	guru nya
dialokasikan	di alokasi kan
terhindar	ter hindar
menghindarinya	men hindar i nya
melibatkan	men libat kan
memproduksi	men produksi
pengrajin	pen rajin
pembuatannya	pen buat an nya
nakal	nakal
polandia	polandia
akuntabilitasnya	akuntabilitas nya
dicerminkan	di cermin kan
dimasukkannya	di masuk kan nya
mengusahakan	men usaha kan
enggannya	enggan nya
lilin	lilin
sukar	sukar
terdefinisi	ter definisi
meringkas	men ringkas
semeriah	se meriah
mengenyahkan	men enyah kan
tampilan	tampil an
tercium	ter cium
malapetaka	malapetaka
cepatnya	cepat nya
efek	efek
sejahtera	sejahtera
pemilihnya	pen pilih nya
membungkam	men bungkam
nonpemerintah	non pen perintah
melekatnya	men lekat nya
sejalan	se jalan
koordinasinya	koordinasi nya
vaksin	vaksin
mengedit	men edit
terpenting	ter penting
melanggengkannya	men langgeng kan nya
karat	karat
jatuh	jatuh
peringkat	peringkat
memunculkan	men muncul kan
diasumsikan	di asumsi kan
musuhnya	musuh nya
terkepung	ter kepung
berkeinginan	ber ke ingin an
membayarnya	men bayar nya
acak	acak
kulkas	kulkas
disatukan	di satu kan
ditunjukkannya	di tunjuk kan nya
otoritasnya	otoritas nya
angkat	angkat
belanda	belanda
ambisius	ambisius
mengangkatnya	men angkat nya
alkitabnya	alkitab nya
isterinya	isteri nya
pemuatan	pen muat an
dimainkan	di main kan
merekomendasi	men rekomendasi
seleksi	seleksi
konsep	konsep
persis	persis
ditelaah	di telaah
terburuk	ter buruk
cacat	cacat
menjadikan	men jadi kan
putus	putus
mungilnya	mungil nya
dimodifikasi	di modifikasi
penyampaian	pen sampai an
pengenaan	pen kena an
disingkat	di singkat
sebaik	se baik
sebaran	sebar an
diletakkan	di letak kan
digunakan	di guna kan
faktor	faktor
kuman	kuman
negatifnya	negatif nya
unggun	unggun
timbal	timbal
melaksanakannya	men laksana kan nya
prinsipnya	prinsip nya
sisa	sisa
mengakhiri	men akhir i
tersalurkan	ter salur kan
terlarut	ter larut
dipetakan	di peta kan
berseberangan	ber seberang an
selai	sela i
advokat	advokat
terpengaruh	ter pengaruh
komite	komite
prevalensinya	prevalensi nya
belasan	belas an
bingung	bingung
pemberontakan	pen berontak an
melemah	men lemah
penyelamat	pen selamat
bobrok	bobrok
dimanfaatkan	di manfaat kan
diberikannya	di beri kan nya
prasarananya	prasarana nya
legal	legal
tahanan	tahan an
menetapkan	men tetap kan
takluk	takluk
melangkah	men langkah
sekehendaknya	se kehendak nya
pengambilannya	pen ambil an nya
seusia	se usia
menggagas	men gagas
blok	blok
pengaruhnya	pengaruh nya
melukai	men luka i
omzet	omzet
tembak	tembak
pendatang	pen datang
mengakumulasi	men akumulasi
salahnya	salah nya
fragmen	fragmen
nonpertaniannya	non per tani an nya
tersingkat	ter singkat
terhutang	ter hutang
diperburuk	di per buruk
mulus	mulus
mengganti	men ganti
beroperasinya	ber operasi nya
menyusu	men susu
pesanan	pesan an
dikorbankan	di korban kan
berprofesi	ber profesi
penyanyi	pen nyanyi
diamanatkan	di amanat kan
dirahasiakan	di rahasia kan
bayangan	bayang an
sehari	se hari
dijaminkan	di jamin kan
kesalnya	kesal nya
dia	dia
penelitiannya	pen teliti an nya
seterusnya	se terus nya
didatangi	di datang i
operasi	operasi
rata	rata
menghalangimu	men halang i mu
penyortiran	pen sortir an
pasukan	pasukan
membayang	men bayang
pengurusannya	pen urus an nya
persendian	per sendi an
diajukannya	di aju kan nya
berujung	ber ujung
jembatan	jembatan
pengurusnya	pen urus nya
dihalangi	di halang i
memutakhirkan	men mutakhir kan
kuota	kuota
sana	sana
diidentifikasi	di identifikasi
sumber	sumber
bertiup	ber tiup
mengecewakan	men kecewa kan
bermukim	ber mukim
naskah	naskah
mendiktekan	men dikte kan
menempelkan	men tempel kan
terpilihnya	ter pilih nya
peredam	pen redam
dikeraskan	di keras kan
metode	metode
potret	potret
merepresentasikan	men representasi kan
menggoncangkan	men goncang kan
desanya	desa nya
aneka	aneka
instansi	instansi
siswa	siswa
dilindungi	di lindung i
mangkuk	mangkuk
warisan	waris an
dicalonkan	di calon kan
datang	datang
pencegahan	pen cegah an
calon	calon
kesudahan	ke sudah an
ajarkan	ajar kan
diancam	di ancam
lalai	lalai
perjuangan	per juang an
pelita	pelita
alas	alas
hatimu	hati mu
ayat	ayat
mengikutinya	men ikut i nya
tempo	tempo
membuka	men buka
siap	siap
bersih	bersih
pengurusan	pen urus an
reksa	reksa
memutuskan	men putus kan
mengundurkan	men undur kan
menunjang	men tunjang
bidan	bidan
emisi	emisi
berkendaraan	ber kendara an
musuhmu	musuh mu
pelaksanaannya	pen laksana an nya
bercukur	ber cukur
cerminkan	cermin kan
perumusan	pen rumus an
pengangkat	pen angkat
dianalisis	di analisis
perenang	pen renang
kehadirannya	ke hadir an nya
surgawi	surgawi
identifikasi	identifikasi
pacu	pacu
barisan	baris an
menjauh	men jauh
jalurnya	jalur nya
pertukaran	per tukar an
bank	bank
bawah	bawah
menggema	men gema
ketidaklayakan	ke tidak layak an
menyeragamkan	men seragam kan
mengakses	men akses
digerakkan	di gerak kan
berlandaskan	ber landas kan
donasi	donasi
antarpengukuran	antar pen ukur an
melampaui	men lampau i
pandai	pandai
terbenamnya	ter benam nya
daud	daud
perguruan	per guru an
bermain	ber main
perbuatan	per buat an
pemajuan	pen maju an
konsekuensinya	konsekuensi nya
meratapinya	men ratap i nya
jaga	jaga
diakomodasikan	di akomodasi kan
bersangkutan	ber sangkut an
menyimaknya	men simak nya
berbeda	ber beda
menghubungkan	men hubung kan
penyiangan	pen siang an
kakiku	kaki ku
kepercayaannya	ke percaya an nya
pejuang	pejuang
nyanyiannya	nyanyi an nya
diagnostik	diagnostik
dirusak	di rusak
meredakan	men reda kan
zaman	zaman
semasa	se masa
soalnya	soal nya
memblok	men blok
menyuruhnya	men suruh nya
menyatu	men satu
mengambilnya	men ambil nya
tenda	tenda
dinasehati	di nasehat i
pegolf	pen golf
kebalikannya	ke balik an nya
skor	skor
lanjuti	lanjut i
bangun	bangun
nota	nota
dilemparkan	di lempar kan
berbagi	ber bagi
mengandung	men kandung
disumbang	di sumbang
tertahankan	ter tahan kan
direlokasi	di relokasi
tercapainya	ter capai nya
alokasi	alokasi
diasosiasikan	di asosiasi kan
realistis	realistis
rencana	rencana
terorganisir	ter organisir
mencocokkan	men cocok kan
merefleksikan	men refleksi kan
membuatmu	men buat mu
pengorganisasian	pen organisasi an
ramping	ramping
pengasuhan	pen asuh an
pra	pra
kartun	kartun
dihafalkan	di hafal kan
diakuinya	di aku i nya
berumur	ber umur
persaingan	per saing an
diundur	di undur
terorganisasi	ter organisasi
mencabuti	men cabut i
pembicara	pen bicara
sensasi	sensasi
pembimbing	pen bimbing
kehendakku	kehendak ku
pendahulu	pendahulu
botol	botol
ditanam	di tanam
komersil	komersil
galak	galak
memeliharaku	men pelihara aku
sukacitamu	sukacita mu
pemutar	pen putar
penyambutan	pen sambut an
dilatarbelakangi	di latarbelakang i
hantu	hantu
kereta	kereta
pemisahan	pen pisah an
beroperasi	ber operasi
pungutannya	pungut an nya
tips	tips
ragu	ragu
fasilitasi	fasilitas i
fitnah	fitnah
pengorbanannya	pen korban an nya
persimpangan	per simpang an
paragraf	paragraf
bahkan	bah kan
berpenghasilan	ber pen hasil an
disucikan	di suci kan
bertahan	ber tahan
dicermati	di cermat i
pembangkit	pen bangkit
terciptanya	ter cipta nya
jantung	jantung
mengartikannya	men arti kan nya
penampilan	pen tampil an
dihidangkan	di hidang kan
korelasinya	korelasi nya
pandangannya	pandang an nya
menyamakan	men sama kan
penolong	pen tolong
pacuan	pacu an
kenalannya	kenal an nya
pengangkatannya	pen angkat an nya
pengirim	pen kirim
istilah	istilah
masjid	masjid
ajaibnya	ajaib nya
kekal	kekal
lorong	lorong
menikahinya	men nikah i nya
didelegasikan	di delegasi kan
bulat	bulat
suami	suami
terinfeksi	ter infeksi
diembankan	di emban kan
setangkai	se tangkai
letak	letak
beliau	beliau
profesinya	profesi nya
dewasa	dewasa
mengingatmu	men ingat mu
taburkan	tabur kan
landai	landa i
enumerasi	enumerasi
udara	udara
dianugerahi	di anugerah i
menyedihkannya	men sedih kan nya
penabung	pen tabung
mengeksploitasi	men eksploitasi
pulih	pulih
pelataran	pen latar an
pembekalan	pen bekal an
dikonsolidasi	di konsolidasi
mengupas	men kupas
pengairan	pen air an
tiang	tiang
jakarta	jakarta
bertuliskan	ber tulis kan
sebulir	se bulir
februari	februari
ajuan	aju an
karir	karir
haluan	halu an
memberinya	men beri nya
manisnya	manis nya
pasaran	pasar an
adidaya	adidaya
tabah	tabah
dibatalkan	di batal kan
sup	sup
menyatakannya	men nyata kan nya
melonjak	men lonjak
merahasiakan	men rahasia kan
antarruangan	antar ruang an
memveto	men veto
muridnya	murid nya
ditandatangani	di tandatangan i
mengagunkan	men agun kan
jadinya	jadi nya
percobaan	per coba an
bisnis	bisnis
kesehariannya	keseharian nya
berpikiran	ber pikir an
tepatnya	tepat nya
hasil	hasil
seenaknya	se enak nya
sensor	sensor
bernuansa	ber nuansa
mengulang	men ulang
sinerginya	sinergi nya
dilewati	di lewat i
berduri	ber duri
nonpeserta	non peserta
junjunganku	junjung an ku
dihadirkan	di hadir kan
lawannya	lawan nya
menangkapnya	men tangkap nya
diproses	di proses
adegan	adegan
dengarkan	dengar kan
budi	budi
kandungmu	kandung mu
disepakati	di sepakat i
cengkeraman	cengkeram an
belakangmu	belakang mu
ketidaksetaraan	ke tidak setara an
penderitaannya	pen derita an nya
pengekspor	pen ekspor
rekening	rekening
membebaskannya	men bebas kan nya
sarangnya	sarang nya
budayanya	budaya nya
iris	iris
memeluknya	men peluk nya
reguler	reguler
diajak	di ajak
struktural	struktural
mengubur	men kubur
populasinya	populasi nya
sedunia	se dunia
melenceng	men lenceng
menindaklanjutinya	men tindaklanjut i nya
ayu	ayu
ajalnya	ajal nya
kitabnya	kitab nya
menginginkanmu	men ingin kan mu
disana	di sana
memaksa	men paksa
usaha	usaha
perwakilannya	per wakil an nya
terakhir	ter akhir
perhatikan	perhatikan
sibuk	sibuk
dagangannya	dagang an nya
pembicaraan	pen bicara an
didominasi	di dominasi
dakwaan	dakwa an
mengusulkan	men usul kan
sukacitanya	sukacita nya
dirinci	di rinci
stabil	stabil
medan	medan
injil	injil
semesta	semesta
menyelenggarakan	men selenggara kan
dibangunkan	di bangun kan
pendetanya	pendeta nya
modal	modal
asas	asas
kanker	kanker
menghilangkannya	men hilang kan nya
dijadikan	di jadi kan
perseroan	perseroan
duga	duga
mengabdikan	men abdi kan
sayur	sayur
terbayar	ter bayar
menekan	men tekan
orangtuanya	orangtua nya
bersesuaian	ber sesuai an
angkutan	angkut an
bruto	bruto
ditekel	di tekel
manajerial	manajerial
diagnosis	diagnosis
menantikan	menanti kan
gejalanya	gejala nya
dianjurkan	di anjur kan
menegur	men tegur
pengimplementasian	pen implementasi an
belakangan	belakang an
mencair	men cair
lobang	lobang
tolong	tolong
fluktuasi	fluktuasi
pikirannya	pikir an nya
penetapan	pen tetap an
membanting	men banting
tersier	tersier
jarimu	jari mu
pemanah	pen panah
menyebutkan	men sebut kan
beragamnya	ber ragam nya
dibengkokkan	di bengkok kan
pencemaran	pen cemar an
stempelnya	stempel nya
pemicu	pen picu
kebungkaman	ke bungkam an
campuran	campur an
dalih	dalih
sayang	sayang
membuktikan	men bukti kan
didambakannya	di damba kan nya
cara	cara
memindahkan	men pindah kan
pembobotan	pen bobot an
basi	bas i
sepatunya	sepatu nya
berimbang	ber imbang
mencoreng	men coreng
biolanya	biola nya
dikaruniai	di karunia i
tertimpa	ter timpa
didokumentasikan	di dokumentasi kan
ketidaksepakatan	ke tidak sepakat an
beda	beda
dipersepsikan	di persepsi kan
anonim	anonim
ramalannya	ramal an nya
mengulangi	men ulang i
diterbangkan	di terbang kan
pengajarannya	pen ajar an nya
bekerja	bekerja
peluru	peluru
kencang	kencang
tulangku	tulang ku
terjalin	ter jalin
sebesar	se besar
masanya	masa nya
menulisnya	men tulis nya
dieliminasi	di eliminasi
tua	tua
tertutup	ter tutup
pengecualiannya	pengecualian nya
handal	handal
pengirimannya	pen kirim an nya
sesi	sesi
penggelembungan	pen gelembung an
dijembatani	di jembatan i
pengiriman	pen kirim an
penebangan	pen tebang an
diputuskan	di putus kan
ketidakstabilan	ke tidak stabil an
curang	curang
buyut	buyut
patah	patah
maraton	maraton
direhabilitasi	di rehabilitasi
terowongan	terowongan
permainan	per main an
peti	peti
unggulannya	unggul an nya
modern	modern
kubu	kubu
perbintangan	per bintang an
pendistribusian	pen distribusi an
sulitnya	sulit nya
penciuman	pen cium an
pendukung	pen dukung
terkelola	ter kelola
jahit	jahit
agungnya	agung nya
berkerabat	ber kerabat
mengorelasikan	men korelasi kan
alternatifnya	alternatif nya
efisiensi	efisiensi
pandangnya	pandang nya
memujikan	men puji kan
barunya	baru nya
dendam	dendam
melawannya	men lawan nya
penyemprotan	pen semprot an
imbalan	imbalan
kokpitnya	kokpit nya
disangkal	di sangkal
