mengganggu	men ganggu
wanita	wanita
mengharmoniskan	men harmonis kan
mengurusi	men urus i
tujuannya	tuju an nya
dipergunakan	di per guna kan
cek	cek
wacana	wacana
didengungkan	di dengung kan
wangi	wangi
berdiri	ber diri
longgarnya	longgar nya
berbukit	ber bukit
mulut	mulut
karibia	karibia
pasangan	pasang an
badan	badan
didiskusikan	di diskusi kan
menuangkan	men tuang kan
tertib	tertib
pergantian	per ganti an
tepatnya	tepat nya
dikapalkan	di kapal kan
dihina	di hina
penggajian	pen gaji an
domba	domba
mengabdi	men abdi
penuntut	pen tuntut
sulam	sulam
tandatangani	tandatangan i
memprihatinkan	men prihatin kan
tenaga	tenaga
muram	muram
kuharap	ku harap
penciuman	pen cium an
menempatkan	men tempat kan
ditulis	di tulis
serap	serap
wajan	wajan
disetujuinya	di setuju i nya
disampaikannya	di sampai kan nya
berkemungkinan	ber kemungkinan
tomat	tomat
pendatang	pen datang
santunan	santun an
diceritakan	di cerita kan
omong	omong
dinginnya	dingin nya
diterimanya	di terima nya
memberinya	men beri nya
automotif	automotif
bekasi	bekas i
pabrik	pabrik
mengetahui	men ketahui
dipatok	di patok
sekrup	sekrup
ditutup	di tutup
beternak	beternak
nikel	nikel
berdaulat	ber daulat
majalah	majalah
disidang	di sidang
diasosiasikan	di asosiasi kan
tenar	tenar
penebal	pen tebal
pemasoknya	pen pasok nya
depresiasi	depresiasi
dibabat	di babat
menyadarkan	men sadar kan
pakan	pakan
senasib	se nasib
diantisipasi	di antisipasi
mengabari	men kabar i
mensahkan	men sah kan
menggoda	men goda
dirujuk	di rujuk
mulutnya	mulut nya
iris	iris
tuanya	tua nya
terkoordinasi	ter koordinasi
seimannya	se iman nya
dicurahkannya	di curah kan nya
mencemarkan	men cemar kan
diadaptasi	di adaptasi
tampak	tampak
produktif	produktif
membolos	men bolos
sekutunya	sekutu nya
pendamping	pen damping
sedekah	sedekah
kupikir	ku pikir
versi	versi
pendendam	pen dendam
membungkamkan	men bungkam kan
meraih	men raih
ikan	ikan
terperangkap	ter pen rangkap
realisasinya	realisasi nya
memeriksa	men periksa
menjunjung	men junjung
restorasi	restorasi
membebankan	men beban kan
diapit	di apit
hasilkan	hasil kan
capaian	capai an
memotret	men potret
merogoh	men rogoh
meninjau	men tinjau
pembunuh	pen bunuh
berimbas	ber imbas
namanya	nama nya
dicetuskan	di cetus kan
lagu	lagu
terdiam	ter diam
pendataan	pen data an
dijejali	di jejal i
penyegaran	pen segar an
memperbudak	men budak
dihargai	di harga i
sesuai	sesuai
unik	unik
demonstran	demonstran
pembukuan	pen buku an
mahasiswanya	mahasiswa nya
huni	huni
skotlandia	skotlandia
berganti	ber ganti
diprediksikan	di prediksi kan
kulit	kulit
menghakimi	men hakim i
duta	duta
membalas	men balas
rakyat	rakyat
benci	benci
pastikan	pasti kan
diperolehnya	di peroleh nya
jawaban	jawab an
merindukan	men rindu kan
afiliasi	afiliasi
proses	proses
pertempuran	per tempur an
pelecehan	pen leceh an
jerman	jerman
truk	truk
nyaris	nyaris
spekulasi	spekulasi
mengesahkan	men sah kan
menyentuhnya	men sentuh nya
terlipat	ter lipat
melingkupi	men lingkup i
dosanya	dosa nya
peran	peran
tanah	tanah
bidikannya	bidik an nya
berupaya	ber upaya
penggodokan	pen godok an
bis	bis
sekolahan	sekolah an
merangkum	men rangkum
kelas	kelas
tanya	tanya
mendesaknya	men desak nya
pembatalan	pen batal an
cacat	cacat
ekstrim	ekstrim
pemborosan	pen boros an
kutempatkan	ku tempat kan
pematang	pen matang
tumbuh	tumbuh
debu	debu
istana	istana
termutakhir	ter mutakhir
transparannya	transparan nya
penghasilannya	pen hasil an nya
sukarelawan	sukarela wan
disertifikasi	di sertifikasi
jaga	jaga
dihalangi	di halang i
diblokir	di blokir
menghalangi	men halang i
ragam	ragam
pengikatan	pen ikat an
membasuh	men basuh
nafsumu	nafsu mu
memuliakan	men mulia kan
web	web
mengklasifikasikan	men klasifikasi kan
menggantung	men gantung
pemerintahan	pen perintah an
mengacuhkan	men acuh kan
pesan	pesan
sepihak	se pihak
triwulanannya	triwulan an nya
menyingkapkan	men singkap kan
menjatuhi	men jatuh i
ditabur	di tabur
konteksnya	konteks nya
berpaling	ber paling
persegi	persegi
impor	impor
urusan	urus an
disucikan	di suci kan
bergereja	ber gereja
ban	ban
kaos	kaos
membentang	men bentang
dipercayai	di percaya i
dorongan	dorong an
sayapnya	sayap nya
musyawarah	musyawarah
berdasar	ber dasar
karier	karier
karir	karir
kudus	kudus
diminum	di minum
meningkat	men tingkat
reaktif	reaktif
gigitannya	gigit an nya
substansinya	substansi nya
diseberangi	di seberang i
kebutuhanku	ke butuh an ku
menyerukan	men seru kan
kuasa	kuasa
seadat	se adat
harapan	harap an
strata	strata
didiagnosis	di diagnosis
retribusi	retribusi
menyembunyikan	men sembunyi kan
penolong	pen tolong
hutang	hutang
pemikiran	pen pikir an
dimengerti	di mengerti
suaranya	suara nya
selebar	se lebar
tari	tari
penghasilan	pen hasil an
penganiayaan	pen aniaya an
antarkepala	antar kepala
kualifikasi	kualifikasi
menyetor	men setor
tuaku	tua aku
berkebun	ber kebun
bertetanggaan	ber tetangga an
diberitakannya	di berita kan nya
persnelingnya	persneling nya
melacak	men lacak
penuntutan	pen tuntut an
menaklukkan	men takluk kan
entrinya	entri nya
melenceng	men lenceng
penjamin	pen jamin
keandalan	ke andal an
terpajang	ter pajang
berinteraksi	ber interaksi
juang	juang
menurunkannya	men turun kan nya
mengunggah	men unggah
bantuan	bantu an
diangkutnya	di angkut nya
gizi	gizi
dibenarkan	di benar kan
kain	kain
membaik	men baik
disaat	di saat
mengelola	men kelola
profesionalnya	profesional nya
sekerja	se kerja
hariannya	hari an nya
cukupi	cukup i
layani	layan i
musuh	musuh
jinak	jinak
serapan	serap an
sabotase	sabotase
memanennya	men panen nya
diterapkan	di terap kan
dibatasi	di batas i
ramai	ramai
berpisah	ber pisah
memanggil	men panggil
kejadianku	ke jadi an ku
fasilitasi	fasilitas i
penggusuran	pen gusur an
penghibur	pen hibur
sebanyak	se banyak
logika	logika
semusim	se musim
tercapainya	ter capai nya
ranting	ranting
mengalah	men kalah
mendampinginya	men damping i nya
mencetak	men cetak
bercirikan	ber ciri kan
meluasnya	men luas nya
reka	reka
sebal	sebal
tamunya	tamu nya
kabur	kabur
mengagumi	men kagum i
realis	realis
sekeping	se keping
sederhanakan	sederhana kan
mirip	mirip
dibangku	di bangku
karakternya	karakteri nya
pusing	pusing
perusahaan	per usaha an
melukainya	men luka i nya
menanami	men tanam i
mendatangkan	men datang kan
liter	liter
dimusyawarahkan	di musyawarah kan
tertutupi	ter tutup i
peroksida	peroksida
rukun	rukun
benarnya	benar nya
ternaknya	ternak nya
komprehensif	komprehensif
wortel	wortel
terdidik	ter didik
terpilihnya	ter pilih nya
berartinya	ber arti nya
suksesnya	sukses nya
demonstrasi	demonstrasi
bersorak	ber sorak
deputi	deputi
truknya	truk nya
mimpinya	mimpi nya
integritas	integritas
membolehkan	men boleh kan
penyerbuan	pen serbu an
berjualan	ber jual an
roti	roti
pantai	pantai
meracuni	men racun i
melontarkan	men lontar kan
ajaranmu	ajar an mu
perencanaan	pen rencana an
menggaji	men gaji
orientasi	orientasi
insya	insya
lobang	lobang
memicu	men picu
simak	simak
mengkonfirmasikan	men konfirmasi kan
ditempati	di tempat i
sucikan	suci kan
umatnya	umat nya
membutuhkannya	men butuh kan nya
penyesuaian	pen sesuai an
tenaganya	tenaga nya
tercanggih	ter canggih
jagung	jagung
kumuhnya	kumuh nya
merampingkan	men ramping kan
bebas	bebas
dihapuskan	di hapus kan
berburu	ber buru
penggemukan	pen gemuk an
otoritasnya	otoritas nya
pakaiannya	pakai an nya
persen	persen
sekelilingnya	se keliling nya
penanggungjawab	pen tanggungjawab
naikkan	naik kan
dituduh	di tuduh
pembeda	pen beda
beralkohol	ber alkohol
pengikat	pen ikat
sesuatu	sesuatu
berdoa	ber doa
terbebas	ter bebas
sekecil	se kecil
serumah	se rumah
relatifnya	relatif nya
meluruskannya	men lurus kan nya
hakekat	hakekat
melambung	men lambung
padi	padi
bertanding	ber tanding
penetrasi	penetrasi
firman	firman
perhotelan	per hotel an
kontribusinya	kontribusi nya
penciumannya	pen cium an nya
sinarnya	sinar nya
terpelihara	ter pelihara
koleksinya	koleksi nya
dihimbau	di himbau
dikemas	di kemas
perpaduan	per padu an
terorganisir	ter organisir
sepengetahuan	se pengetahuan
egois	egois
disuruh	di suruh
riba	riba
berliku	ber liku
robek	robek
pola	pola
aib	aib
memakai	men pakai
mengurusnya	men urus nya
saingan	saing an
memeluk	men peluk
nyawanya	nyawa nya
liburan	libur an
mengajukannya	men aju kan nya
amanat	amanat
kaya	kaya
perabotan	perabot an
nyanyian	nyanyi an
matriks	matriks
referensi	referensi
obyeknya	obyek nya
cina	cina
menyertifikasi	men sertifikasi
gelandangan	gelandang an
terbayang	ter bayang
menakjubkan	men takjub kan
amarahnya	amarah nya
menyelidiki	men selidik i
dijadikan	di jadi kan
gawangnya	gawang nya
diharapkannya	di harap kan nya
perhitungannya	per hitung an nya
pengirim	pen kirim
penanda	pen tanda
dilampirkan	di lampir kan
digandakan	di ganda kan
membongkar	men bongkar
total	total
donasi	donasi
pendapatnya	pen dapat nya
belajar	belajar
dianggapnya	di anggap nya
penginjilan	pen injil an
pasaran	pasar an
berfirman	ber firman
skandalnya	skandal nya
vertikal	vertikal
delima	delima
les	les
dimediasi	di mediasi
pengajuannya	pen aju an nya
selain	se lain
menghalau	men halau
dibubarkannya	di bubar kan nya
korban	korban
dilanjutkannya	di lanjut kan nya
pandangnya	pandang nya
diperkuat	di per kuat
kanan	kanan
taman	taman
kirimu	kiri mu
hati	hati
ditambahkan	di tambah kan
seismik	seismik
vonis	vonis
jeratan	jerat an
simpulkan	simpul kan
disinggung	di singgung
licin	licin
pemberkasan	pen berkas an
ditargetkan	di target kan
pembahas	pen bahas
menggosok	men gosok
diberkati	di berkat i
mendetil	men detil
jenazah	jenazah
penggunaan	pen guna an
dianiaya	di aniaya
suaraku	suara aku
pemburu	pen buru
diungkapkan	di ungkap kan
zat	zat
bayar	bayar
simpulan	simpul an
situs	situs
ironis	ironis
pelanggannya	pen langgan nya
desentralisasi	desentralisasi
turun	turun
menindak	men tindak
bernalar	ber nalar
pelajari	pelajar i
mengalahkan	men kalah kan
persalinannya	per salin an nya
dibangunnya	di bangun nya
diraih	di raih
pariwisata	pariwisata
puskesmas	puskesmas
terbawa	ter bawa
terhisap	ter hisap
pegawainya	pegawai nya
dievaluasi	di evaluasi
perampokan	pen rampok an
dilantik	di lantik
frekuensinya	frekuensi nya
ciptanya	cipta nya
pintas	pintas
banknya	bank nya
barunya	baru nya
isolasi	isolasi
pengikut	pen ikut
kudanya	kuda nya
mengenalnya	men kenal nya
tersebarnya	ter sebar nya
perpisahannya	per pisah an nya
jubahnya	jubah nya
menaatinya	men taat i nya
pelukan	peluk an
antarkomunitas	antar komunitas
miliknya	milik nya
kuliah	kuliah
ketidakberhasilan	ke tidak berhasil an
rakyatnya	rakyat nya
perceraian	per cerai an
finansial	finansial
lewatkan	lewat kan
solidaritas	solidaritas
menginstruksikan	men instruksi kan
pulangnya	pulang nya
aktual	aktual
diatur	di atur
ikut	ikut
ujung	ujung
buruh	buruh
baitul	baitul
pemanah	pen panah
bertumbuh	ber tumbuh
mengaliri	men alir i
mendinginkan	men dingin kan
yakub	yakub
obyek	obyek
lambang	lambang
pendangkalan	pen dangkal an
sabtu	sabtu
menghabiskan	men habis kan
selengkap	se lengkap
teriakku	teriak ku
nelayan	nelayan
membatalkan	men batal kan
mencelakakan	men celaka kan
sekiranya	sekira nya
diketik	di ketik
diperpanjang	di per panjang
pertanggungan	per tanggung an
saing	saing
bermainnya	ber main nya
membatasinya	men batas i nya
halangan	halang an
pelengkap	pen lengkap
pantauan	pantau an
digendong	di gendong
berperang	ber perang
berakhir	ber akhir
sma	sma
kakeknya	kakek nya
ditabrakkan	di tabrak kan
klip	klip
wakil	wakil
terlembagakan	ter lembaga kan
tercemar	ter cemar
magnetis	magnetis
medalinya	medali nya
margasatwa	margasatwa
gencar	gencar
perwakilan	per wakil an
perguliran	per gulir an
berumur	ber umur
memancarkan	men pancar kan
pemantapan	pen mantap an
buruknya	buruk nya
diselesaikan	di selesai kan
berlalu	ber lalu
komisaris	komisaris
diwakilinya	di wakil i nya
menggelitik	men gelitik
bahu	bahu
mengkonsultasikan	men konsultasi kan
dewasanya	dewasa nya
regenerasi	regenerasi
pertambangan	per tambang an
produktifitas	produktifitas
memprakarsai	men prakarsa i
kami	kami
secepat	se cepat
bebuyutan	bebuyutan
terdepan	ter depan
kanker	kanker
penyatuan	pen satu an
ketat	ketat
santri	santri
peralatan	per alat an
berjaga	ber jaga
tinggalnya	tinggal nya
topinya	top i nya
konsentrasi	konsentrasi
kepergianku	ke pergi an ku
katalog	katalog
menyelenggarakannya	men selenggara kan nya
kaku	kaku
tabungan	tabung an
kampusnya	kampus nya
permasyarakatan	per masyarakat an
gandum	gandum
bertentangan	ber tentang an
mainnya	main nya
membobol	men bobol
efisiensinya	efisiensi nya
menusuk	men tusuk
belasan	belas an
memperbesar	men besar
pemangkasan	pen pangkas an
menggigiti	men gigit i
peduli	peduli
dihimpun	di himpun
mengkhianati	men khianat i
diperingan	di per ringan
khawatirkan	khawatir kan
menyeragamkan	men seragam kan
terlampau	ter lampau
melaporkan	men lapor kan
pendamaian	pen damai an
pengajarannya	pen ajar an nya
netral	netral
mengering	men kering
mempersiapkan	men siap kan
rate	rate
mempercayainya	men percaya i nya
terlewatkan	ter lewat kan
menggandeng	men gandeng
dilantunkan	di lantun kan
sadari	sadar i
diredakan	di reda kan
dimonitor	di monitor
disebutkan	di sebut kan
operator	operator
memproteksi	men proteksi
perantaraan	perantara an
ternyata	ter nyata
izin	izin
antarresponden	antar responden
disumbang	di sumbang
ubin	ubin
memberhentikan	men ber henti kan
muatan	muat an
terguncang	ter guncang
romantis	romantis
didefinisikan	di definisi kan
transaksinya	transaksi nya
keseharian	keseharian
setimpal	setimpal
membenahi	men benah i
terinfeksi	ter infeksi
majikan	majikan
pacuan	pacu an
menyinggung	men singgung
dicoret	di coret
lokalnya	lokal nya
singapura	singapura
korelasi	korelasi
merawati	men rawat i
dilacak	di lacak
murah	murah
luangkan	luang kan
intim	intim
pakai	pakai
pengamatannya	pengamat an nya
binasa	binasa
lesu	lesu
penebangan	pen tebang an
penekan	pen tekan
diutus	di utus
mengaduk	men aduk
hakim	hakim
berhadapan	ber hadap an
terang	terang
keju	keju
mencetuskan	men cetus kan
buntu	buntu
kalangan	kalangan
azas	azas
salinannya	salin an nya
lebat	lebat
berteduh	ber teduh
mengeruk	men keruk
pengesahan	pen sah an
brasil	brasil
melanggankan	men langgan kan
unggas	unggas
barisan	baris an
dipermasalahkan	di per masalah kan
membayang	men bayang
memerintah	men perintah
kepemimpinan	kepemimpinan
mengutip	men kutip
dibuktikan	di bukti kan
keikutsertaannya	ke ikutserta an nya
antargereja	antar gereja
mengubahkan	men ubah kan
sisa	sisa
berbatasan	ber batas an
pemberitaannya	pen berita an nya
menyederhanakan	men sederhana kan
luwes	luwes
memenangkan	men menang kan
dugaan	duga an
sinergi	sinergi
angka	angka
pengecualiannya	pengecualian nya
kananmu	kanan mu
kecolongan	kecolongan
tektonik	tektonik
empunya	empunya
hadapanku	hadap an ku
kredibilitas	kredibilitas
antarteman	antar teman
pengunjung	pen kunjung
paksa	paksa
kupas	kupas
mengizinkannya	men izin kan nya
kualitas	kualitas
dikaruniakan	di karunia kan
tambang	tambang
diutamakan	di utama kan
sukar	sukar
meja	meja
merayakan	men raya kan
direkomendasikan	di rekomendasi kan
kerinduan	ke rindu an
berkinerja	ber kinerja
menuntut	men tuntut
modern	modern
jarahan	jarah an
retak	retak
pengkaji	pen kaji
memilah	men pilah
anjuran	anjur an
perjanjian	per janji an
tempatkan	tempat kan
hebat	hebat
beradaptasi	ber adaptasi
menyambutnya	men sambut nya
faktanya	fakta nya
rohani	rohani
praktik	praktik
pemimpinnya	pen pimpin nya
neneknya	nenek nya
menghafalkan	men hafal kan
dipeluk	di peluk
hotel	hotel
tersulut	ter sulut
pelanggaran	pen langgar an
menyelamatkan	men selamat kan
ekspansi	ekspansi
sanjungan	sanjung an
ratifikasi	ratifikasi
hina	hina
kronis	kronis
sindikat	sindikat
milyaran	milyar an
mengkreditnya	men kredit nya
membedakan	men beda kan
menyanggupi	men sanggup i
diingatkan	di ingat kan
dusun	dusun
rawa	rawa
merancang	men rancang
mendekatinya	men dekat i nya
diyakininya	di yakin i nya
terlaksana	ter laksana
sebanding	se banding
primer	primer
mengakhiri	men akhir i
definisi	definisi
tiket	tiket
diambilnya	di ambil nya
bergulir	ber gulir
majelis	majelis
disalib	di salib
efisien	efisien
lesunya	lesu nya
tetap	tetap
menghubungkan	men hubung kan
diteliti	di teliti
semang	semang
oktober	oktober
pencegahan	pen cegah an
pengobatannya	pen obat an nya
terdalam	ter dalam
semangatnya	semangat nya
perbaikan	per baik an
langit	langit
liputan	liput an
penempatan	pen tempat an
ganti	ganti
ditata	di tata
latihannya	latih an nya
memperlengkapi	men lengkap i
bersintesis	ber sintesis
jadikan	jadi kan
pidatonya	pidato nya
tembak	tembak
keterlibatan	ke terlibat an
malaikat	malaikat
kosong	kosong
hari	hari
caranya	cara nya
variasinya	variasi nya
adil	adil
mengharapkan	men harap kan
1970an	1970 an
kambing	kambing
mengkampanyekan	men kampanye kan
berkilau	ber kilau
penyamaran	pen samar an
mengubah	men ubah
formasi	formasi
menghantarkan	men hantar kan
dihilangkan	di hilang kan
aktris	aktris
internal	internal
mendapati	men dapat i
kesempatannya	kesempatan nya
cinta	cinta
berpandangan	ber pandang an
mengenang	men kenang
siang	siang
paus	paus
memfasilitas	men fasilitas
diintegrasikan	di integrasi kan
terpercaya	ter percaya
jangkau	jangkau
rupa	rupa
dipublikasikan	di publikasi kan
gelar	gelar
kukasihi	ku kasih i
diasuransikan	di asuransi kan
memastikan	men pasti kan
diagnosis	diagnosis
berlayar	ber layar
harap	harap
peregangan	pen regang an
tumpangi	tumpang i
kemunduran	ke mundur an
bandara	bandara
hilang	hilang
meragukan	men ragu kan
rabu	rabu
kenal	kenal
barat	barat
pengantin	pengantin
mengomentari	men komentar i
relasinya	relasi nya
sapu	sapu
mulutku	mulut ku
ditepatinya	di tepat i nya
tercepat	ter cepat
teologi	teologi
mengikut	men ikut
motornya	motor nya
terpinggirkan	ter pinggir kan
mendistribusikan	men distribusi kan
teringat	ter ingat
karirnya	karir nya
bicarakan	bicara kan
pengikutnya	pen ikut nya
menyanyikan	men nyanyi kan
liga	liga
diusung	di usung
melapor	men lapor
wisatawan	wisata wan
parameter	parameter
mengotori	men kotor i
mendapatinya	men dapat i nya
secanggih	se canggih
diungsikan	di ungsi kan
sholat	sholat
pembayar	pen bayar
cadangan	cadang an
pemberitahuan	pen beritahu an
melupakannya	men lupa kan nya
merenung	men renung
kemajuan	ke maju an
mengemudikan	men kemudi kan
dialiri	di alir i
penyedia	pen sedia
membantunya	men bantu nya
menjiwai	men jiwa i
cuma	cuma
berhentinya	ber henti nya
terpenjara	ter penjara
terpentingnya	ter penting nya
parahnya	parah nya
diindonesiakan	di indonesia kan
membaiknya	men baik nya
latar	latar
sarana	sarana
penuhi	penuh i
cakupannya	cakup an nya
dewa	dewa
pindah	pindah
meminimalisasi	men minimalisasi
bi	bi
menyuguhkan	men suguh kan
berkawan	ber kawan
jawab	jawab
dipresentasikan	di presentasi kan
tersesat	ter sesat
menghindar	men hindar
keluhan	keluh an
pembersihan	pen bersih an
digerakkan	di gerak kan
takutnya	takut nya
menyiarkannya	men siar kan nya
berbuah	ber buah
merelakan	men rela kan
melewatkan	men lewat kan
mentah	mentah
pekerjaannya	pekerja an nya
perputaran	per putar an
mengirimnya	men kirim nya
membenci	men benci
dasar	dasar
bersembunyi	ber sembunyi
percaya	percaya
dipacu	di pacu
khawatir	khawatir
retribusinya	retribusi nya
seumur	se umur
mempekerjakannya	men pekerja kan nya
efisiensi	efisiensi
pedang	pedang
rw	rw
diadukan	di adu kan
menjaganya	men jaga nya
memahaminya	men paham i nya
diidentifikasi	di identifikasi
dibohongi	di bohong i
kuantitas	kuantitas
grosir	grosir
percayanya	percaya nya
meminum	men minum
solo	solo
dimaksimalkan	di maksimal kan
wabah	wabah
penggelapan	pen gelap an
mensyukuri	men syukuri
pakunya	paku nya
penolakan	pen tolak an
penulis	pen tulis
menyaingi	men saing i
menyangkal	men sangkal
berendam	ber rendam
plastik	plastik
satker	satker
memberitahu	men beritahu
disederhanakan	di sederhana kan
perampingan	pen ramping an
ruangan	ruang an
produksi	produksi
pendidikannya	pen didik an nya
mendaftar	men daftar
terikatnya	ter ikat nya
tunjangan	tunjang an
disita	di sita
kendalanya	kendala nya
menggratiskan	men gratis kan
mengaruniakan	men karunia kan
termotivasi	ter motivasi
pelindungnya	pen lindung nya
dielaborasi	di elaborasi
pertunjukan	per tunjuk an
berpalang	ber palang
tegas	tegas
kompleksnya	kompleks nya
bersihkan	bersih kan
sekurangnya	se kurang nya
simpanan	simpan an
ditekankan	di tekan kan
bersaksi	ber saksi
terelakkan	ter elak kan
sinyal	sinyal
saus	saus
persembahan	per sembah an
kirinya	kiri nya
penerbit	pen terbit
nakal	nakal
dayanya	daya nya
berselang	ber selang
kekasihnya	kekasih nya
antarkegiatan	antar ke giat an
penilik	pen tilik
ingatan	ingat an
tersirat	ter sirat
perhatiannya	per hati an nya
wajib	wajib
kesediaannya	ke senya an nya
rp	rp
lezatnya	lezat nya
nonpemerintah	non pen perintah
pembelanjaan	pen belanja an
membungkam	men bungkam
dituliskan	di tulis kan
inspirasi	inspirasi
tangkapannya	tangkap an nya
pegangannya	pegang an nya
serangan	serang an
mengherankan	men heran kan
ratusan	ratus an
sisinya	sisi nya
menguntungkan	men untung kan
tanganmu	tangan mu
kasih	kasih
ditegaskan	di tegas kan
buyut	buyut
perampok	pen rampok
tentu	tentu
spesial	spesial
pancing	pancing
menjualnya	men jual nya
pestanya	pesta nya
dibelenggu	di belenggu
mempererat	men erat
mutu	mutu
memperhadapkan	men hadap kan
atmosfir	atmosfir
kena	kena
terkuat	ter kuat
disenangi	di senang i
memulihkannya	men pulih kan nya
tangkai	tangkai
mengkhawatirkan	men khawatir kan
reaktor	reaktor
bayangannya	bayang an nya
kebunnya	kebun nya
manfaatnya	manfaat nya
berkuda	ber kuda
imunisasinya	imunisasi nya
dikompilasi	di kompilasi
menghanguskan	men hangus kan
pertanaman	per tanam an
semula	se mula
alur	alur
mei	mei
digolongkan	di golong kan
direalisasikan	di realisasi kan
mengkoordinasikannya	men koordinasi kan nya
menantu	menantu
kamus	kamus
diubah	di ubah
efektivitasnya	efektivitas nya
mengandalkan	men andal kan
suntik	suntik
nuansa	nuansa
berjumlah	ber jumlah
manufaktur	manufaktur
gembalakan	gembala kan
klasik	klasik
tekad	tekad
menyeret	men seret
saksikan	saksi kan
perairan	per air an
merumput	men rumput
membelikan	men beli kan
relokasi	relokasi
topik	topik
hapus	hapus
mampukan	mampu kan
sederhana	sederhana
ironisnya	ironis nya
dibungakan	di bunga kan
bekas	bekas
blok	blok
sedih	sedih
mengajarku	men ajar ku
penanganan	pen tangan an
jahitan	jahit an
gereja	gereja
detail	detail
simbol	simbol
materi	materi
dipraktikkan	di praktik kan
berderit	ber derit
anjingnya	anjing nya
mempertegas	men tegas
departemen	departemen
mengkonfirmasi	men konfirmasi
diterbitkan	di terbit kan
perbaikannya	per baik an nya
asas	asas
dicantumkan	di cantum kan
gas	gas
inisiatif	inisiatif
kalori	kalori
harga	harga
kotak	kotak
pengemudi	pen kemudi
digabung	di gabung
ditugaskan	di tugas kan
kutinggalkan	ku tinggal kan
dilatih	di latih
pengayaan	pen kaya an
ditempel	di tempel
kupenuhi	ku penuh i
angkasa	angkasa
didiagnosa	di diagnosa
antikekerasan	anti ke keras an
terorisme	terorisme
aslinya	asli nya
properti	properti
berkilauan	ber kilau an
pengorganisasian	pen organisasi an
diledakkan	di ledak kan
ide	ide
terusir	ter usir
mengusik	men usik
tentara	tentara
kuduskan	kudus kan
telingamu	telinga mu
mengusahakan	men usaha kan
tipis	tipis
rendahkan	rendah kan
navigasi	navigasi
perdagangannya	per dagang an nya
tebusan	tebus an
derita	derita
menyemprotkan	men semprot kan
pernyataan	per nyata an
cangkir	cangkir
tarik	tarik
lensa	lensa
mengunjunginya	men kunjung i nya
dampaknya	dampak nya
dini	din i
pemerintahnya	pen perintah nya
timnya	tim nya
mesjid	mesjid
persampahan	per sampah an
bergulingan	ber guling an
menikahi	men nikah i
pengusahaan	pen usaha an
pemurah	pen murah
mengarahkanku	men arah kan ku
adanya	ada nya
penjatahan	pen jatah an
bisnis	bisnis
drastis	drastis
mengatakannya	men kata kan nya
hasil	hasil
gusar	gusar
mempersoalkannya	men soal kan nya
bergema	ber gema
ayat	ayat
memanen	men panen
melumpuhkannya	men lumpuh kan nya
membasahi	men basah i
bahasan	bahas an
internasional	internasional
menindaklanjuti	men tindaklanjut i
berterimakasih	ber terimakasih
ambruknya	ambruk nya
diizinkan	di izin kan
permasalahannya	per masalah an nya
mendirikannya	men diri kan nya
dirahasiakan	di rahasia kan
didapatkan	di dapat kan
menyelubungi	men selubung i
memboikotnya	men boikot nya
lamaran	lamar an
penunjukan	pen tunjuk an
mempertanggungjawabkannya	men tanggungjawab kan nya
sendiri	sendiri
kerasnya	keras nya
konkret	konkret
terhambatnya	ter hambat nya
hantu	hantu
ketahanan	ke tahan an
kendaraannya	kendara an nya
pulang	pulang
dimanipulasi	di manipulasi
teroris	teroris
keluarga	keluarga
kecenderungan	kecenderungan
galian	gali an
penyayang	pen sayang
komando	komando
penanggulangan	pen tanggulang an
klub	klub
diatasnya	di atas nya
biolanya	biola nya
pelajar	pelajar
berbekal	ber bekal
kuadratnya	kuadrat nya
mengabaikannya	men abai kan nya
olahragawan	olahraga wan
menyemburkan	men sembur kan
dikucilkan	di kucil kan
memeriksakan	men periksa kan
diuraikan	di urai kan
didelegasikan	di delegasi kan
katak	katak
istilahnya	istilah nya
bulu	bulu
ukuran	ukur an
pedesaan	pedesaan
kolega	kolega
menjadwal	men jadwal
jadwal	jadwal
isak	isak
gadai	gadai
set	set
seniman	seniman
menandatangani	men tandatangan i
tukang	tukang
pengelolanya	pen kelola nya
berdusta	ber dusta
haman	ham an
antarmitra	antar mitra
fotokopi	fotokopi
permainan	per main an
berpulang	ber pulang
memedomani	men pedoman i
persekolahan	per sekolah an
evaluasi	evaluasi
dermaganya	dermaga nya
bentukan	bentuk an
doa	doa
produsen	produsen
merehabilitasi	men rehabilitasi
dongeng	dongeng
rujukan	rujuk an
lumpur	lumpur
ditinggalkannya	di tinggal kan nya
rehabilitasinya	rehabilitasi nya
anggun	anggun
berkabungnya	berkabung nya
diputus	di putus
teori	teori
ditelusuri	di telusuri
bungsu	bungsu
sekretariat	sekretariat
dihentikan	di henti kan
dikhawatirkan	di khawatir kan
permodalan	per modal an
terburuk	ter buruk
beredar	ber edar
piring	piring
pengaruh	pengaruh
perpajakan	per pajak an
asteroid	asteroid
peraturan	per atur an
dicatatkan	di catat kan
lenyap	lenyap
datang	datang
pengembaraan	pen kembara an
ketidakakuratan	ke tidak akurat an
tunggakan	tunggak an
dikontrak	di kontrak
pemukimannya	pen mukim an nya
berkompeten	ber kompeten
perbatasan	per batas an
dijaga	di jaga
menyetujui	men setuju i
bersepeda	ber sepeda
tersisih	ter sisih
muda	muda
pelatih	pen latih
petanya	peta nya
perhubungan	per hubung an
memprioritaskan	men prioritas kan
mengulangnya	men ulang nya
berlokasi	ber lokasi
pundi	pundi
