sepedanya	sepeda nya
memuncak	men puncak
diprediksikan	di prediksi kan
pegunungan	pegunungan
peternakan	peternakan
subjek	subjek
teritorial	teritorial
terkini	terkini
terhambatnya	ter hambat nya
impor	impor
berpacu	ber pacu
siaga	siaga
memperparah	men parah
kunjungannya	kunjung an nya
cuci	cuci
gawat	gawat
minggunya	minggu nya
pengungsi	pen ungsi
memungkinkan	memungkinkan
dipahaminya	di paham i nya
menghancurkan	men hancur kan
ditingkatkan	di tingkat kan
menyisakan	men sisa kan
berbakat	ber bakat
diusahakannya	di usaha kan nya
mengurai	men urai
jual	jual
selesai	selesai
pendukung	pen dukung
memberdayakan	men ber daya kan
mengingatmu	men ingat mu
pengirim	pen kirim
efektivitasnya	efektivitas nya
membocorkan	men bocor kan
hamba	hamba
sayapnya	sayap nya
tersalib	ter salib
tajam	tajam
diminati	di minat i
mengemudikan	men kemudi kan
mendermakan	men derma kan
pemikirannya	pen pikir an nya
jaya	jaya
soal	soal
direkrut	di rekrut
kemunculan	ke muncul an
sedihan	sedih an
membina	men bina
lesu	lesu
sebidang	se bidang
tanggap	tanggap
bikin	bikin
sasarannya	sasar an nya
perjanjian	per janji an
memperketat	men ketat
iurannya	iuran nya
gizi	gizi
mencemari	men cemar i
penekanan	pen tekan an
seenaknya	se enak nya
pengambilalihan	pen ambilalih an
warganegaranya	warganegara nya
tertumpuk	ter tumpuk
ditabur	di tabur
merubah	men rubah
membagikan	men bagi kan
berputar	ber putar
upaya	upaya
arah	arah
cengkeraman	cengkeram an
versi	versi
pencegah	pen cegah
ditanyai	di tanya i
lubangnya	lubang nya
mekar	mekar
seterusnya	se terus nya
dibayarkan	di bayar kan
diarahkan	di arah kan
menamai	men nama i
penambahan	pen tambah an
diciptakannya	di cipta kan nya
berputus	ber putus
melanjutkannya	men lanjut kan nya
penafsir	pen tafsir
kenangan	kenang an
turnamen	turnamen
berbuntut	ber buntut
hungaria	hungaria
institusional	institusional
janin	janin
peti	peti
direncanakan	di rencana kan
meloloskan	men lolos kan
mencipratkan	men ciprat kan
menyelesaikannya	men selesai kan nya
mengelompok	men kelompok
ditata	di tata
dibebani	di beban i
emisi	emisi
antarbidang	antar bidang
sabar	sabar
penegasan	pen tegas an
mikro	mikro
jalur	jalur
rakyat	rakyat
renovasi	renovasi
petualangan	petualangan
alkitab	alkitab
sabuk	sabuk
berkulit	ber kulit
paskah	paskah
motornya	motor nya
kanwil	kanwil
menunggak	men tunggak
berpaling	ber paling
tertahan	ter tahan
pengatur	pen atur
menyuguhkan	men suguh kan
meminati	men minat i
menambahkan	men tambah kan
menyapanya	men sapa nya
diawasi	di awas i
peranan	peran an
tanamkan	tanam kan
serukan	seru kan
senang	senang
belakangmu	belakang mu
suriah	suriah
borong	borong
dedikasi	dedikasi
mencoba	men coba
merinci	men rinci
penanggulangannya	pen tanggulang an nya
keberangkatan	ke berangkat an
mengukur	men ukur
berpribadi	ber pribadi
esensi	esens i
indahnya	indah nya
kadonya	kado nya
dekan	dek an
timbulnya	timbul nya
mengaksesnya	men akses nya
jelek	jelek
memicu	men picu
tuna	tuna
berakhir	ber akhir
singkat	singkat
pengingat	pen ingat
jadwalku	jadwal ku
penyedot	pen sedot
mediasi	mediasi
agung	agung
tersentak	ter sentak
sapu	sapu
menjualnya	men jual nya
dicurahkan	di curah kan
mencetuskan	men cetus kan
kuajarkan	ku ajar kan
permukiman	per mukim an
dinaikkan	di naik kan
mm	mm
dipisah	di pisah
malas	malas
tandai	tanda i
etnis	etnis
acuan	acu an
nafsumu	nafsu mu
ditempelkan	di tempel kan
memampukan	men mampu kan
pencegahan	pen cegah an
terpadat	ter padat
benaknya	benak nya
diperlihatkan	di per lihat kan
metrologi	metrologi
antarkegiatan	antar ke giat an
anugerahkan	anugerah kan
optimisme	optimisme
dicoret	di coret
menugaskan	men tugas kan
hemat	hemat
bangku	bangku
dijejali	di jejal i
melalaikan	men lalai kan
bawahnya	bawah nya
penggorengan	pen goreng an
dirancang	di rancang
memverifikasi	men verifikasi
memulihkan	men pulih kan
talentanya	talenta nya
paragraf	paragraf
unggulannya	unggul an nya
intervensi	intervensi
peraturan	per atur an
paksaan	paksa an
digarisbawahi	di garisbawah i
mengagungkan	men agung kan
peroksida	peroksida
tambahkan	tambah kan
menghimbau	men himbau
tumbuh	tumbuh
ibunya	ibu nya
ranting	ranting
gejalanya	gejala nya
nonreguler	non reguler
dilanjutkannya	di lanjut kan nya
terungkapkan	ter ungkap kan
meteran	meter an
chevy	chevy
melipatgandakan	men lipatganda kan
wisata	wisata
lelang	lelang
pembukuannya	pen buku an nya
ketidaksabaran	ke tidak sabar an
tegas	tegas
personel	personel
penghitungan	pen hitung an
tuntutannya	tuntut an nya
peluru	peluru
ditimbulkannya	di timbul kan nya
berkerabat	ber kerabat
imigran	imigran
seabad	se abad
kota	kota
kalimat	kalimat
direndahkan	di rendah kan
dihitung	di hitung
bea	bea
memancar	men pancar
memimpikan	men mimpi kan
jantung	jantung
matriks	matriks
membungkamkan	men bungkam kan
pembobotan	pen bobot an
hikmat	hikmat
batinnya	batin nya
mengantri	men antri
diaksesnya	di akses nya
nonpenerima	non pen terima
diperlunak	di per lunak
bernalar	ber nalar
dicetak	di cetak
menyesatkan	men sesat kan
tahunannya	tahun an nya
esok	esok
tetapkan	tetap kan
mengelola	men kelola
menceritakannya	men cerita kan nya
transparan	transparan
universitas	universitas
sepucuk	se pucuk
membenahi	men benah i
pesannya	pesan nya
galian	gali an
liter	liter
fasilitator	fasilitator
menyerukan	men seru kan
melanjutkan	men lanjut kan
menginterpretasikannya	men interpretasi kan nya
baki	bak i
hunian	huni an
menyembunyikan	men sembunyi kan
for	for
kembalinya	kembali nya
berperan	ber peran
pasokan	pasok an
pendamaian	pen damai an
memastikan	men pasti kan
legislasi	legislasi
aroma	aroma
mengutip	men kutip
diurut	di urut
direstrukturisasi	di restrukturisasi
membuahkan	men buah kan
reka	reka
dituliskan	di tulis kan
terpajangnya	ter pajang nya
rela	rela
dibolehkan	di boleh kan
guna	guna
melayani	men layan i
berujung	ber ujung
tanggungjawab	tanggungjawab
antarpemerintahan	antar pen perintah an
kumuhnya	kumuh nya
bersedih	ber sedih
menyinergikan	men sinergi kan
dilumpuhkan	di lumpuh kan
diatas	di atas
lama	lama
penumpang	pen tumpang
permanen	permanen
dibalik	di balik
buyut	buyut
memuat	men muat
tim	tim
tokonya	toko nya
cela	cela
karakternya	karakteri nya
susu	susu
pasar	pasar
penuntut	pen tuntut
diantisipasi	di antisipasi
bendera	bendera
contoh	contoh
juri	juri
dagangan	dagang an
sebangsaku	se bangsa aku
menyadarinya	men sadar i nya
perhambaan	per hamba an
pengesahan	pen sah an
koordinator	koordinator
ditentukan	di tentu kan
perumpamaan	per umpama an
niat	niat
diwakilinya	di wakil i nya
menerbangkan	men terbang kan
dimakamkan	di makam kan
hilangnya	hilang nya
pemutusan	pen putus an
menegakkannya	men tegak kan nya
hubunganku	hubung an ku
cetakan	cetak an
berfikir	ber fikir
menggenangi	men genang i
menutupi	men tutup i
merebak	men rebak
mampu	mampu
penggabungan	pen gabung an
kebungkaman	ke bungkam an
disusul	di susul
dipasok	di pasok
khawatir	khawatir
penempelan	pen tempel an
separuhnya	se paruh nya
terpasang	ter pasang
kualifikasi	kualifikasi
penghubung	pen hubung
busana	busana
penghilang	pen hilang
merotasi	men rotasi
pengusiran	pen usir an
mencukupi	men cukup i
memperbudak	men budak
mati	mati
berkeadilan	ber ke adil an
campuran	campur an
bangkrut	bangkrut
dipersiapkan	di per siap kan
kriminal	kriminal
dengar	dengar
disertifikasi	di sertifikasi
pancaran	pancar an
penghibur	pen hibur
serumit	se rumit
menggunung	men gunung
tesisnya	tesis nya
persoalan	per soal an
berdana	ber dana
ditempati	di tempat i
mengacu	men acu
posko	posko
diperbolehkan	di per boleh kan
meracuni	men racun i
terpisah	ter pisah
sejumput	se jumput
efektifnya	efektif nya
lunak	lunak
terbaru	ter baru
gantinya	ganti nya
memantapkan	men mantap kan
pelayan	pen layan
pertikaian	pertikaian
menanggap	men tanggap
dipetakan	di peta kan
amarah	amarah
permohonannya	per mohon an nya
memberiku	men beri ku
terbesar	ter besar
kronis	kronis
terbantu	ter bantu
kakaknya	kakak nya
mencerminkan	men cermin kan
peralihan	per alih an
persegi	persegi
pelimpahan	pen limpah an
inisial	inisial
menggigiti	men gigit i
berbisnis	ber bisnis
bertumpu	ber tumpu
menangani	men tangan i
mengusung	men usung
mencelakakan	men celaka kan
terkepung	ter kepung
memusnahkan	men musnah kan
persalinan	per salin an
penggolongan	pen golong an
deras	deras
skeptis	skeptis
menghargainya	men harga i nya
menyekolahkan	men sekolah kan
gembalakan	gembala kan
diajarnya	di ajar nya
berpengaruh	ber pengaruh
pengambilan	pen ambil an
salinannya	salin an nya
melawan	men lawan
jasanya	jasa nya
ketidaksesuaian	ke tidak sesuai an
rapuhnya	rapuh nya
pelindungnya	pen lindung nya
sukacita	sukacita
didampinginya	di damping i nya
kandidat	kandidat
dangkal	dangkal
pelabuhannya	pen labuh an nya
debiturnya	debitur nya
menjejakkan	men jejak kan
dikalahkan	di kalah kan
menghapus	men hapus
berpenghuni	ber pen huni
tersier	tersier
membakarmu	men bakar mu
mengorelasikan	men korelasi kan
dikaruniai	di karunia i
mewawancarai	men wawancara i
berlawanan	ber lawan an
kekeliruan	ke keliru an
disejajarkan	di sejajar kan
ukur	ukur
merisaukan	men risau kan
kredibilitas	kredibilitas
pembaru	pen baru
termasuk	ter masuk
pengalokasiannya	pen alokasi an nya
negosiasi	negosiasi
pendapatnya	pen dapat nya
sekehendaknya	se kehendak nya
melangkahkan	men langkah kan
akui	aku i
ia	ia
imbalan	imbalan
satkernya	satker nya
peletakan	pen letak an
membolos	men bolos
pengalihan	pen alih an
pengembaliannya	pen kembali an nya
bertanding	ber tanding
penghapusan	pen hapus an
pas	pas
rawan	rawan
memuji	men puji
ditinggikan	di tinggi kan
digenapi	di genap i
bulan	bulan
pangeran	pangeran
struktural	struktural
penyidikan	pen sidik an
menengok	men tengok
satelit	satelit
gulung	gulung
melebihi	men lebih i
semacamnya	se macam nya
diakibatkannya	di akibat kan nya
penggoda	pen goda
usah	usah
manja	manja
tangguh	tangguh
skor	skor
mengungkap	men ungkap
menghafal	men hafal
menutup	men tutup
pelajari	pelajar i
pendisiplinan	pen disiplin an
seruan	seru an
batas	batas
perenungannya	pen renung an nya
detektif	detektif
informasi	informasi
penyegelan	pen segel an
dimaksimalkan	di maksimal kan
pergulatan	per gulat an
dikompensasi	di kompensasi
napas	napas
gengsi	gengsi
dikonsolidasi	di konsolidasi
penyusup	pen susup
atletik	atletik
mengijinkan	men ijin kan
menggesernya	men geser nya
mekanis	mekanis
pengajuannya	pen aju an nya
diberitahu	di beritahu
penderita	pen derita
disalibkan	di salib kan
bekas	bekas
menginterpretasikan	men interpretasi kan
integritasnya	integritas nya
efektivitas	efektivitas
dibutuhkan	di butuh kan
sama	sama
nuraninya	nurani nya
perencanaannya	pen rencana an nya
menyuruhnya	men suruh nya
angsa	angsa
sahnya	sah nya
dipikirnya	di pikir nya
relevansi	relevansi
sesempurna	se sempurna
loncatan	loncat an
basi	bas i
dibicarakan	di bicara kan
penyeludup	pen seludup
pendaftar	pen daftar
uskup	uskup
penulisan	pen tulis an
berjajar	ber jajar
diuraikan	di urai kan
bermaksud	ber maksud
penyiar	pen siar
hubungannya	hubung an nya
antarorangtua	antar orangtua
berakting	ber akting
membidangi	men bidang i
menyelamatkannya	men selamat kan nya
pengestimasian	pen estimasi an
pendahulu	pendahulu
mengutuknya	men kutuk nya
diperbaruinya	di per baru i nya
melarat	melarat
durhaka	durhaka
bayinya	bayi nya
jurusan	jurus an
andalkan	andal kan
gusar	gusar
dosa	dosa
pembayar	pen bayar
bersahabat	ber sahabat
telepon	telepon
mengefektifkan	men efektif kan
enumerasi	enumerasi
berorganisasi	ber organisasi
dicacah	di cacah
diolesi	di oles i
mengupayakan	men upaya kan
domba	domba
pertambahan	per tambah an
penerus	pen terus
terlantar	terlantar
pelarangan	pen larang an
cabai	cabai
perlukan	perlu kan
arif	arif
menciprat	men ciprat
mulut	mulut
ketidakhadiran	ke tidak hadir an
zona	zona
menantikan	menanti kan
perenang	pen renang
terjembatani	ter jembatan i
mendengarkan	men dengar kan
nomor	nomor
klarifikasi	klarifikasi
tanam	tanam
konsistennya	konsisten nya
tujuan	tuju an
membusukkan	men busuk kan
terbelah	ter belah
dikucilkan	di kucil kan
coba	coba
merelokasikan	men relokasi kan
kapten	kapten
ketua	ketua
suksesnya	sukses nya
semacam	se macam
diskriminasi	diskriminasi
menumpahkan	men tumpah kan
berkekurangan	ber ke kurang an
tahun	tahun
berobat	ber obat
berkendaraan	ber kendara an
terkoordinir	ter koordinir
melancarkan	men lancar kan
risiko	risiko
efisiensi	efisiensi
hotelnya	hotel nya
terkendala	ter kendala
mengering	men kering
dll	dll
telingamu	telinga mu
mendukungnya	men dukung nya
selamatkanku	selamat kan ku
menatapnya	men tatap nya
berjiwa	ber jiwa
pestanya	pesta nya
berbenah	ber benah
sanjungan	sanjung an
nafas	nafas
menimbun	men timbun
produktivitasnya	produktivitas nya
dijangkau	di jangkau
berkabut	ber kabut
berkenaan	ber kena an
hasil	hasil
bubungan	bubung an
memandangku	men pandang ku
pemilikan	pen milik an
filosofi	filosofi
menyingkirkan	men singkir kan
perbendaharaan	per bendahara an
dideskripsikan	di deskripsi kan
ditindaklanjuti	di tindaklanjut i
penjaga	pen jaga
dibekali	di bekal i
ironis	ironis
mirip	mirip
sekiranya	sekira nya
dicobai	di coba i
menanamkan	men tanam kan
tulus	tulus
pembengkakan	pen bengkak an
menolong	men tolong
ruu	ruu
pelanggannya	pen langgan nya
merelakan	men rela kan
biskuit	biskuit
dingin	dingin
demokrasi	demokrasi
pendarahan	pen darah an
pelemparan	pen lempar an
menerpa	men terpa
operatornya	operator nya
ditangkap	di tangkap
terkucil	ter kucil
menyerahkan	men serah kan
pemakaman	pen makam an
metodologi	metodologi
kuba	kuba
panggang	panggang
jerman	jerman
melukiskan	men lukis kan
prakteknya	praktek nya
merek	merek
resiko	resiko
perizinan	per izin an
berkenalan	ber kenal an
penyalahgunaan	pen salahguna an
perayaan	pen raya an
ras	ras
majikannya	majikan nya
perindustrian	per industri an
organisasinya	organisasi nya
menghabiskannya	men habis kan nya
asteroid	asteroid
penari	pen tari
dinasehati	di nasehat i
mengukir	men ukir
melunasinya	men lunas i nya
mengurutkan	men urut kan
memperkirakan	men kira kan
nonrumah	non rumah
barunya	baru nya
parahnya	parah nya
pelunasan	pen lunas an
sedia	sedia
kartu	kartu
dirapatkan	di rapat kan
ongkosnya	ongkos nya
dicarinya	di cari nya
berliku	ber liku
mil	mil
mengkonsolidasikan	men konsolidasi kan
akasia	akasia
tidurnya	tidur nya
lobang	lobang
menyeberanginya	men seberang i nya
minyak	minyak
kepemimpinan	kepemimpinan
produksinya	produksi nya
latar	latar
kameranya	kamera nya
layang	layang
merespons	men respons
purba	purba
menggaji	men gaji
pengambilannya	pen ambil an nya
anda	anda
titik	titik
membetulkan	men betul kan
penentu	pen tentu
berdekatan	ber dekat an
bertatap	ber tatap
memukuli	men pukul i
tercengang	ter cengang
perut	perut
menyusahkan	men susah kan
simpan	simpan
bergumul	ber gumul
rekornya	rekor nya
tertidur	ter tidur
geografi	geografi
rekrut	rekrut
produk	produk
dianugerahi	di anugerah i
penanam	pen tanam
membuatkan	men buat kan
menyuruh	men suruh
naturnya	natur nya
postingan	posting an
stratanya	strata nya
pesertanya	peserta nya
diprotes	di protes
cukupi	cukup i
istilahnya	istilah nya
kamarnya	kamar nya
rombongan	rombong an
memacu	men pacu
diplomasi	diplomasi
dituntaskan	di tuntas kan
bacaan	baca an
penindakan	pen tindak an
instan	instan
pemecatan	pen pecat an
tambak	tambak
properti	properti
lebaran	lebar an
selasa	selasa
hidung	hidung
alatnya	alat nya
bobotnya	bobot nya
dikumandangkan	di kumandang kan
pelanggar	pen langgar
dibuat	di buat
terbukti	ter bukti
memenuhi	men penuh i
kantor	kantor
pemekaran	pen mekar an
ragi	ragi
segi	segi
bersertifikat	ber sertifikat
pembunuh	pen bunuh
dimusnahkan	di musnah kan
gelas	gelas
berpesta	ber pesta
menggelora	men gelora
sesaat	se saat
terpahat	ter pahat
berdinas	ber dinas
memproses	men proses
diunggah	di unggah
lanjutannya	lanjut an nya
mayoritas	mayoritas
sentuh	sentuh
rasuli	rasul i
divonis	di vonis
disoroti	di sorot i
sekaleng	se kaleng
penanganan	pen tangan an
mimpi	mimpi
menjadikannya	men jadi kan nya
pastikan	pasti kan
kutuk	kutuk
perempuan	perempuan
penambangan	pen tambang an
diberi	di beri
keterampilan	keterampilan
terkagum	ter kagum
ngerinya	ngeri nya
simpulkan	simpul kan
berkesusahan	ber ke susah an
diakui	di aku i
menyuap	men suap
meletus	men letus
sekutu	sekutu
disingkat	di singkat
memposisikan	men posisi kan
disangkal	di sangkal
beroperasi	ber operasi
es	es
dicuci	di cuci
ayatnya	ayat nya
terimakasih	terimakasih
mencium	men cium
penyehatan	pen sehat an
bukunya	buku nya
pengurutan	pen urut an
terpolusi	ter polusi
mengaktifkan	men aktif kan
menyerang	men serang
nonpeserta	non peserta
sejam	se jam
melaporkan	men lapor kan
menghargai	men harga i
diagunkan	di agun kan
surabaya	surabaya
terdekat	ter dekat
arang	arang
diacuhkan	di acuh kan
menerapkannya	men terap kan nya
brutonya	bruto nya
aborsi	aborsi
berhemat	ber hemat
sepanjang	se panjang
kehadiran	ke hadir an
menghadapi	men hadap i
desentralisasi	desentralisasi
umumkan	umum kan
mencari	men cari
mendalami	men dalam i
terkuras	ter kuras
album	album
biasa	biasa
pembalasan	pen balas an
menusuk	men tusuk
ditekuni	di tekun i
laju	laju
berkecukupan	ber ke cukup an
daratannya	darat an nya
menimbang	men timbang
membelikan	men beli kan
makmur	makmur
unta	unta
ditantang	di tantang
berurutan	ber urut an
menebang	men tebang
terkalahkan	terkalahkan
tanahnya	tanah nya
menganut	men anut
laparnya	lapar nya
kosong	kosong
pelintasan	pen lintas an
mengikutsertakan	men ikutserta kan
menjabat	men jabat
gading	gading
kumpul	kumpul
asalan	asal an
masjid	masjid
seusai	se usai
liat	liat
peristiwa	peristiwa
pengertiannya	pengertian nya
neraka	neraka
semula	se mula
pencucian	pen cuci an
hati	hati
kebal	kebal
membingungkan	men bingung kan
mengancam	men ancam
biologi	biologi
bergantungnya	ber gantung nya
terenggut	ter renggut
kehendaki	kehendak i
pemalsuan	pen palsu an
diproduksi	di produksi
didalam	di dalam
mempersatukan	men satu kan
pasalnya	pasal nya
sabaran	sabar an
lantang	lantang
lapaknya	lapak nya
hambatan	hambat an
bungkusan	bungkus an
himbauan	himbau an
menggelisahkan	men gelisah kan
status	status
dadaku	dada aku
akibat	akibat
diuruskan	di urus kan
desa	desa
babakan	babak an
penerimaannya	pen terima an nya
terpenjara	ter penjara
pemilahan	pen pilah an
menjagamu	men jaga mu
pendamai	pen damai
diberkati	di berkat i
pemogokan	pen mogok an
masanya	masa nya
mengakses	men akses
merpati	merpati
bergulir	ber gulir
penajaman	pen tajam an
memihak	men pihak
dituju	di tuju
sedekah	sedekah
mundur	mundur
cairnya	cair nya
drastis	drastis
ala	ala
bell	bell
fotokopinya	fotokopi nya
mengantisipasi	men antisipasi
terhilang	ter hilang
kabar	kabar
dideklarasikan	di deklarasi kan
kuduskan	kudus kan
memperpendek	men pendek
ketidakwaspadaan	ke tidak waspada an
penyebab	pen sebab
licin	licin
parlemen	parlemen
ibu	ibu
menikah	men nikah
internasional	internasional
berselisih	ber selisih
pemilihan	pen pilih an
menangkal	men tangkal
sampaikan	sampai kan
ditanami	di tanam i
mampukan	mampu kan
balau	balau
bertukar	ber tukar
anjloknya	anjlok nya
sampan	sampan
dilahirkan	di lahir kan
umur	umur
belgia	belgia
alarm	alarm
menyerupai	men serupa i
dijualnya	di jual nya
membelokkan	men belok kan
mengklarifikasi	men klarifikasi
butuhkan	butuh kan
antarlingkungan	antar lingkung an
membendung	men bendung
mendesaknya	men desak nya
flanel	flanel
sebanding	se banding
menyikat	men sikat
perhentian	per henti an
pengaturan	pen atur an
diktenya	dikte nya
bulanannya	bulan an nya
depresi	depresi
berprasangka	ber prasangka
padinya	padi nya
dipenjarakan	di penjara kan
larangan	larang an
pendendam	pen dendam
memantau	men pantau
sungai	sungai
terintegrasi	ter integrasi
diperolehnya	di peroleh nya
semampu	se mampu
menghampiri	men hampiri
gugur	gugur
menanti	menanti
membolehkan	men boleh kan
terpana	terpana
menginterupsi	men interupsi
diasuransikan	di asuransi kan
bawahannya	bawah an nya
meyakinkan	men yakin kan
pertengkaran	per tengkar an
sifat	sifat
bir	bir
melandasi	men landas i
membawa	men bawa
bos	bos
mendokumentasikan	men dokumentasi kan
roh	roh
fleksibel	fleksibel
hasrat	hasrat
dianut	di anut
lusinan	lusin an
relokasi	relokasi
abu	abu
dioptimalkan	di optimal kan
erat	erat
borongan	borong an
percontohan	per contoh an
berkata	ber kata
rintangan	rintang an
terjepit	ter jepit
depannya	depan nya
menular	men tular
terjauh	ter jauh
bergabung	ber gabung
kembali	kembali
menangi	menang i
imunisasi	imunisasi
basah	basah
manis	manis
korban	korban
perbintangan	per bintang an
busuknya	busuk nya
dikhususkan	di khusus kan
diartikan	di arti kan
rute	rute
yahudi	yahudi
batang	batang
provinsinya	provinsi nya
susahnya	susah nya
membagi	men bagi
administrasinya	administrasi nya
kumulatif	kumulatif
riset	riset
solusinya	solusi nya
merumuskannya	men rumus kan nya
kendala	kendala
digadaikan	di gadai kan
antardusun	antar dusun
inginkan	ingin kan
sendirinya	sendiri nya
terserang	ter serang
jadwalnya	jadwal nya
mengizinkannya	men izin kan nya
cocok	cocok
segar	segar
pelaksana	pen laksana
produktifitas	produktifitas
pelan	pelan
penegak	pen tegak
sebarannya	sebar an nya
berkilau	ber kilau
kirinya	kiri nya
tungkunya	tungku nya
langgengnya	langgeng nya
ditularkan	di tular kan
minum	minum
mempertajam	men tajam
selandia	selandia
undi	undi
searah	se arah
antarwilayah	antar wilayah
kepalaku	kepala aku
rusaknya	rusak nya
akurasinya	akurasi nya
melewatkan	men lewat kan
argumentasi	argumentasi
diutarakan	di utara kan
pengangkat	pen angkat
pengumuman	pen umum an
diujicobakan	di ujicoba kan
lahirnya	lahir nya
dikendarainya	di kendara i nya
terurai	ter urai
mendekatkan	men dekat kan
menggema	men gema
meneguhkan	men teguh kan
terkenang	ter kenang
mobil	mobil
dipungut	di pungut
mengagumkan	men kagum kan
lubang	lubang
dibantu	di bantu
pasta	pasta
penyucian	pen suci an
banyaknya	banyak nya
dikompensasikan	di kompensasi kan
reformis	reformis
kaya	kaya
profesionalnya	profesional nya
bersabda	ber sabda
plastiknya	plastik nya
seleksi	seleksi
penggunaan	pen guna an
melayang	men layang
ukurannya	ukur an nya
tertua	ter tua
perannya	peran nya
menyelamatkan	men selamat kan
alkohol	alkohol
dipercayai	di percaya i
ukiran	ukir an
dasarnya	dasar nya
beranak	ber anak
periksa	periksa
berpacaran	ber pacar an
terlindungi	ter lindung i
lereng	lereng
mengkombinasikan	men kombinasi kan
melalui	men lalu i
senin	senin
tangis	tangis
cepatnya	cepat nya
melaluinya	men lalu i nya
polanya	pola nya
sumberdaya	sumberdaya
dikuburkan	di kubur kan
dicerai	di cerai
tuamu	tua mu
diidentifikasi	di identifikasi
truk	truk
ditagih	di tagih
terhampar	ter hampar
penyelang	pen selang
langkanya	langka nya
mempermasalahkannya	men masalah kan nya
dikesampingkan	di kesamping kan
antarpemilik	antar pen milik
berdampaknya	ber dampak nya
menggigitnya	men gigit nya
berkumpul	ber kumpul
keluarkan	keluar kan
kapasitas	kapasitas
disebar	di sebar
diinformasikan	di informasi kan
bergereja	ber gereja
diteladani	di teladan i
terukur	ter ukur
bermula	ber mula
dinikahinya	di nikah i nya
mulia	mulia
berseru	ber seru
permasalahannya	per masalah an nya
gantung	gantung
taruhan	taruh an
berpotensial	ber potensial
pemanis	pen manis
pribadi	pribadi
dilampiri	di lampir i
kutuju	ku tuju
pengupahan	pen upah an
menyeimbangkan	men seimbang kan
tabah	tabah
pemberitahuannya	pen beritahu an nya
menerkam	men terkam
diwujudkan	di wujud kan
percakapan	per cakap an
secepatnya	se cepat nya
ham	ham
penghalang	pen halang
muridnya	murid nya
bersama	ber sama
goreng	goreng
sembuh	sembuh
bibirnya	bibir nya
bruto	bruto
timbul	timbul
didapatkannya	di dapat kan nya
mimpinya	mimpi nya
menggandakan	men ganda kan
lulusan	lulus an
diketuai	di ketua i
bertani	ber tani
pelebaran	pen lebar an
berdurasi	ber durasi
pemandangannya	pen pandang an nya
gampang	gampang
pemanfaatannya	pen manfaat an nya
kategori	kategori
tertulis	ter tulis
dokumenter	dokumenter
menyuntikkan	men suntik kan
dioperasikan	di operasi kan
liberal	liberal
pengalokasian	pen alokasi an
jemu	jemu
dilelang	di lelang
sesali	sesal i
teori	teori
wawasan	wawasan
kitabnya	kitab nya
jurnalnya	jurnal nya
gedung	gedung
didiagnosis	di diagnosis
pahamnya	paham nya
mengintimidasi	men intimidasi
samping	samping
galak	galak
pengertian	pengertian
diindonesiakan	di indonesia kan
prakarsa	prakarsa
mendinginkan	men dingin kan
rokok	rokok
ketidaktaatan	ke tidak taat an
bersedia	ber sedia
beribadah	ber ibadah
tuli	tuli
berkeyakinan	ber ke yakin an
yakinkan	yakin kan
pengurusnya	pen urus nya
mempercayainya	men percaya i nya
penjabaran	pen jabar an
hafalan	hafal an
relevan	relevan
nampak	nampak
kristal	kristal
perjumpaan	per jumpa an
kertasnya	kertas nya
masukan	masuk an
olahannya	olah an nya
serigala	serigala
diselenggarakan	di selenggara kan
tangkap	tangkap
disiasati	di siasat i
berunding	ber runding
menang	menang
menegarkan	men tegar kan
pembuka	pen buka
prosesnya	proses nya
bola	bola
mengelompokkannya	men kelompok kan nya
berjabat	ber jabat
pelunak	pen lunak
ishak	ishak
harian	hari an
menghambat	men hambat
antargenerasi	antar generasi
menyepelekan	men sepele kan
smp	smp
rehabilitasinya	rehabilitasi nya
membosankan	men bosan kan
ilahinya	ilahi nya
pencuri	pen curi
kegemaran	ke gemar an
premi	premi
buku	buku
terberat	ter berat
mencemaskan	men cemas kan
solidaritas	solidaritas
wirausaha	wirausaha
cangkang	cangkang
orangtua	orangtua
dipelajarinya	di pelajar i nya
disebabkan	di sebab kan
pembimbingan	pen bimbing an
mencantumkan	men cantum kan
penipuan	pen tipu an
wibawa	wibawa
kupon	kupon
sediakan	sedia kan
arisan	arisan
mengaktifkannya	men aktif kan nya
karyawannya	karya wan nya
berkabung	berkabung
spesialis	spesialis
lucunya	lucu nya
aparatnya	aparat nya
pemberdayaannya	pemberdayaan nya
palsu	palsu
keluarnya	keluar nya
mengandalkan	men andal kan
digalakkan	di galak kan
membagikannya	men bagi kan nya
sistem	sistem
aktifnya	aktif nya
terselip	ter selip
ditanyakan	di tanya kan
piranti	piranti
jalinan	jalin an
mempublikasikan	men publikasi kan
berterima	ber terima
ganti	ganti
dipanggil	di panggil
membayarnya	men bayar nya
gagang	gagang
berkuda	ber kuda
barisan	baris an
as	as
dihalangi	di halang i
kental	kental
pengering	pen kering
usahanya	usaha nya
amanat	amanat
perakitan	pen rakit an
terbelenggu	ter belenggu
jangkauannya	jangkau an nya
mental	mental
september	september
petinju	pen tinju
tamu	tamu
pengemudi	pen kemudi
seiman	se iman
wawasannya	wawasan nya
perundingan	pen runding an
merekomendasikan	men rekomendasi kan
penganggur	pen anggur
mempelajari	men pelajar i
norma	norma
sukacitaku	sukacita aku
menerima	men terima
punglinya	pungli nya
pembuat	pen buat
adil	adil
terpendam	ter pendam
mengasihiku	men kasih i ku
