nontarif	non tarif
hasratnya	hasrat nya
pelaksananya	pen laksana nya
sebisa	se bisa
menghalangimu	men halang i mu
mengutusnya	men utus nya
dikembalikannya	di kembali kan nya
tersayat	ter sayat
berbagi	ber bagi
elemen	elemen
persalinan	per salin an
direktur	direktur
menggerebek	men gerebek
ditahun	di tahun
menguburkan	men kubur kan
mengikisnya	men kikis nya
sebulan	se bulan
bawah	bawah
terarah	ter arah
diiringi	di iring i
penyataan	pen nyata an
hatinya	hati nya
didanai	di dana i
depan	depan
rangkap	rangkap
salah	salah
pengkaji	pen kaji
goncangan	goncang an
sendirian	sendiri an
sisanya	sisa nya
pembacaan	pen baca an
diikuti	di ikut i
tetesan	tetes an
bangsa	bangsa
berbiaya	ber biaya
penyalur	pen salur
bumi	bumi
beragi	ber ragi
tertolak	ter tolak
barunya	baru nya
ramping	ramping
peranakan	per anak an
bumbu	bumbu
produksinya	produksi nya
ketidakpastian	ke tidak pasti an
komersil	komersil
takuti	takut i
panduan	pandu an
mengkonfirmasi	men konfirmasi
mengabaikannya	men abai kan nya
penggerak	pen gerak
klasiknya	klasik nya
tinjauan	tinjau an
terobsesi	ter obsesi
ragukan	ragu kan
posko	posko
pengusulan	pen usul an
capnya	cap nya
isak	isak
sejahtera	sejahtera
serakah	serakah
pertalian	per tali an
keguguran	ke gugur an
menyeret	men seret
saraf	saraf
terdiri	ter diri
bertumpu	ber tumpu
genetik	genetik
membuahkan	men buah kan
bersalah	ber salah
satker	satker
dikatakannya	di kata kan nya
sokongan	sokong an
pucuk	pucuk
mandi	mandi
keluarkan	keluar kan
keraskan	keras kan
peritel	pen ritel
ditutup	di tutup
astronot	astronot
simpulan	simpul an
demokrasi	demokrasi
negarawan	negara wan
baterai	baterai
persetujuan	per setuju an
penghargaan	pen harga an
materinya	materi nya
nasabahnya	nasabah nya
berlomba	ber lomba
resah	resah
perlengkapannya	per lengkap an nya
pegawainya	pegawai nya
benar	benar
melukai	men luka i
lazim	lazim
disertifikasi	di sertifikasi
perawat	pen rawat
diberikannya	di beri kan nya
rumput	rumput
mikrofon	mikrofon
diperebutkan	di per rebut kan
menggembala	men gembala
dokumen	dokumen
menggunting	men gunting
ditekankan	di tekan kan
ditandatangani	di tandatangan i
merebut	men rebut
serap	serap
kuku	kuku
hiasan	hias an
medalinya	medali nya
ampuh	ampuh
angin	angin
mentimun	mentimun
didengarkan	di dengar kan
diderita	di derita
perahunya	perahu nya
dilumpuhkan	di lumpuh kan
pencanangan	pen canang an
pendesentralisasian	pen desentralisasi an
dekat	dekat
pertikaian	pertikaian
terkagum	ter kagum
mencobanya	men coba nya
diledakkan	di ledak kan
otoritasnya	otoritas nya
taiwan	tai wan
mengirimkannya	men kirim kan nya
memukau	men pukau
tampak	tampak
dekan	dek an
lambannya	lamban nya
peminatnya	pen minat nya
dimaknai	di makna i
arkeologi	arkeologi
melukainya	men luka i nya
diacuhkan	di acuh kan
mengadukan	men adu kan
dipicu	di picu
ajaib	ajaib
depkes	depkes
pemilihannya	pen pilih an nya
cermat	cermat
menteri	menteri
tepung	tepung
bidangnya	bidang nya
dibawanya	di bawa nya
tersapu	ter sapu
mengulangnya	men ulang nya
diidentifikasikan	di identifikasi kan
sesignifikan	se signifikan
misi	misi
bergantungnya	ber gantung nya
kurasa	ku rasa
dikonfirmasi	di konfirmasi
simpan	simpan
potongan	potong an
mengadili	men adil i
hapuskan	hapus kan
muram	muram
sebijaksana	se bijaksana
dikhotbahkan	di khotbah kan
sekuler	sekuler
renangnya	renang nya
berkompromi	ber kompromi
gajinya	gaji nya
lompatan	lompat an
kejatuhannya	ke jatuh an nya
landas	landas
orangtuaku	orangtua aku
bersamanya	ber sama nya
praktik	praktik
menakutkan	men takut kan
sawit	sawit
paman	paman
manfaat	manfaat
merepresentasi	men representasi
menggembalakan	men gembala kan
bebasnya	bebas nya
tersajikan	ter saji kan
baki	bak i
berkenan	ber kenan
diasuransikan	di asuransi kan
resminya	resmi nya
sekurangnya	se kurang nya
jurnalnya	jurnal nya
mulut	mulut
takjub	takjub
pengobatannya	pen obat an nya
usul	usul
situasinya	situasi nya
intensitas	intensitas
suriah	suriah
menyeluruh	menyeluruh
berbisik	ber bisik
mengunci	men kunci
aktivitasnya	aktivitas nya
menyedot	men sedot
beracun	ber racun
benak	benak
tercengang	ter cengang
antarteman	antar teman
oknum	oknum
pemeliharaan	pen pelihara an
penggelembungan	pen gelembung an
menegarkan	men tegar kan
penjajahan	pen jajah an
akumulasi	akumulasi
iringan	iring an
identik	identik
penyusutan	pen susut an
sentuh	sentuh
jariku	jari ku
penagih	pen tagih
selebihnya	se lebih nya
tulus	tulus
latihannya	latih an nya
menghiburnya	men hibur nya
penahan	pen tahan
penggalian	pen gali an
berambisi	ber ambisi
melayu	melayu
antarkuota	antar kuota
kanan	kanan
memalsukan	men palsu kan
otomotif	otomotif
sepengetahuan	se pengetahuan
ringkas	ringkas
progresif	progresif
haknya	hak nya
segmen	segmen
kasihnya	kasih nya
ishak	ishak
pemeriksaan	pen periksa an
sehebat	se hebat
penghilangan	pen hilang an
laki	laki
didapat	di dapat
ditanamkan	di tanam kan
mendistribusikan	men distribusi kan
jenis	jenis
memukul	men pukul
terpikirkan	ter pikir kan
ceritanya	cerita nya
digulirkan	di gulir kan
distributor	distributor
dilembagakan	di lembaga kan
panah	panah
kupercaya	ku percaya
pengairan	pen air an
dilukis	di lukis
tersulit	ter sulit
kehadirannya	ke hadir an nya
gua	gua
diselamatkannya	di selamat kan nya
penekan	pen tekan
terpenuhi	men penuh i
ditulisnya	di tulis nya
pengalih	pen alih
meratifikasi	men ratifikasi
pengembara	pen kembara
tani	tani
pencairan	pen cair an
mengabaikan	men abai kan
menghabiskan	men habis kan
mengintai	men intai
menghantarkan	men hantar kan
sekeliling	se keliling
balap	balap
bendahara	bendahara
dipasang	di pasang
diperlihatkan	di per lihat kan
dihalangi	di halang i
dilibatkannya	di libat kan nya
seiring	seiring
dendam	dendam
melintasi	men lintas i
bola	bola
betina	betina
matang	matang
dikorbankan	di korban kan
koalisi	koalisi
penyaliban	pen salib an
duta	duta
hati	hati
raga	raga
komunitas	komunitas
kesenjangan	kesenjangan
sedahsyat	se dahsyat
semacam	se macam
mempekerjakan	men pekerja kan
basis	basis
dimakannya	di makan nya
roboh	roboh
liar	liar
fasilitator	fasilitator
timbulnya	timbul nya
ibuku	ibu ku
berkurang	ber kurang
tersendat	tersendat
membelakangi	men belakang i
sejarah	sejarah
penjualannya	pen jual an nya
liburan	libur an
sesaat	se saat
rontokan	rontok an
sesuatu	sesuatu
instansinya	instansi nya
terberat	ter berat
menetapkan	men tetap kan
pengelompokan	pen kelompok an
pembayaran	pen bayar an
apartemen	apartemen
damai	damai
mencocokkan	men cocok kan
terakhir	ter akhir
jawabku	jawab ku
menyusui	men susu i
peningkatannya	pen tingkat an nya
menerapkan	men terap kan
pencerahan	pen cerah an
kentang	kentang
memprediksikan	men prediksi kan
kelanjutan	ke lanjut an
menyingkir	men singkir
mimpinya	mimpi nya
diragukan	di ragu kan
kampanyenya	kampanye nya
proteinnya	protein nya
dipikat	di pikat
muara	muara
hayatnya	hayat nya
perawatannya	pen rawat an nya
pengeringan	pen kering an
wasit	wasit
sisa	sisa
umumnya	umum nya
tepukan	tepuk an
antarmasyarakat	antar masyarakat
disiapkan	di siap kan
sebut	sebut
perburuan	per buru an
pendorong	pen dorong
menjamin	men jamin
terselubung	ter selubung
membidangi	men bidang i
duduk	duduk
terjaminnya	ter jamin nya
dilandasi	di landas i
sebulir	se bulir
pembatasan	pen batas an
membunuh	men bunuh
penebangan	pen tebang an
bergilir	ber gilir
direkonstruksi	di rekonstruksi
pelajarannya	pelajar an nya
membakarmu	men bakar mu
bantuannya	bantu an nya
brutonya	bruto nya
poster	poster
penunjukkan	penunjukkan
dimuat	di muat
bermerk	ber merk
memilihkan	men pilih kan
menumpang	men tumpang
perencanaannya	pen rencana an nya
konkrit	konkrit
tuanya	tua nya
dibebaskan	di bebas kan
gencarnya	gencar nya
target	target
awalnya	awal nya
pendelegasian	pen delegasi an
mengantri	men antri
terdalam	ter dalam
enumerasinya	enumerasi nya
mula	mula
atap	atap
memasukan	men pasukan
muat	muat
kerinduannya	ke rindu an nya
vonis	vonis
berkenalan	ber kenal an
insinyur	insinyur
disarankan	di saran kan
junjunganku	junjung an ku
diperlunak	di per lunak
pakunya	paku nya
pemutakhiran	pen mutakhir an
merambah	men rambah
dikoreksi	di koreksi
memberitahunya	men beritahu nya
penyiangan	pen siang an
terakhirnya	ter akhir nya
mengering	men kering
kantornya	kantor nya
membatasinya	men batas i nya
memayungi	men payung i
berorang	ber orang
mendulang	men dulang
apresiasi	apresiasi
jerman	jerman
laporan	lapor an
pemenuhan	pen penuh an
terkucil	ter kucil
transportasi	transportasi
bertani	ber tani
lembab	lembab
pemusik	pen musik
ditampilkan	di tampil kan
pengikut	pen ikut
dipetakan	di peta kan
dibutuhkan	di butuh kan
menegur	men tegur
setuju	setuju
bangun	bangun
perjudian	per judi an
merayakannya	men raya kan nya
hariannya	hari an nya
tertular	ter tular
mewajibkan	men wajib kan
ketidakcocokan	ke tidak cocok an
terkena	ter kena
antarbadan	antar badan
kawin	kawin
penjala	pen jala
tokonya	toko nya
menyingkirkan	men singkir kan
balau	balau
mengingatkannya	men ingat kan nya
penampung	pen tampung
harapan	harap an
beraneka	ber aneka
perancang	pen rancang
memanggang	men panggang
tumpuan	tumpu an
usus	usus
sepupu	sepupu
bertekuk	ber tekuk
pendaftaran	pen daftar an
massal	massal
penyusun	pen susun
mengembalikan	men kembali kan
lunas	lunas
menceraikan	men cerai kan
antargenerasi	antar generasi
kuartal	kuartal
saji	saji
patung	patung
disodorkan	di sodor kan
pedih	pedih
dilukai	di luka i
dibaharui	di baharu i
pengasih	pen kasih
mewawancarai	men wawancara i
tim	tim
menegaskan	men tegas kan
menanyai	men tanya i
berunjuk	ber unjuk
pengerukan	pen keruk an
tertuang	ter tuang
dimintakan	di minta kan
teriakku	teriak ku
terjalinnya	ter jalin nya
sampah	sampah
pertambangan	per tambang an
kepemimpinannya	kepemimpinan nya
pengunduran	pen undur an
pertandingan	per tanding an
yatim	yatim
reaktif	reaktif
terlukiskan	ter lukis kan
konsultasi	konsultasi
ditanggung	di tanggung
tanya	tanya
memfotokopi	men fotokopi
cemar	cemar
diberlakukan	di ber laku kan
ternaknya	ternak nya
memberdayakan	men ber daya kan
menghilangnya	men hilang nya
institusional	institusional
condong	condong
mencoba	men coba
mencetuskan	men cetus kan
mendatangi	men datang i
ancaman	ancam an
pelayarannya	pen layar an nya
suku	suku
buku	buku
subjektivitasnya	subjektivitas nya
medisnya	medis nya
mogok	mogok
laporkan	lapor kan
disidangkan	di sidang kan
hartanya	harta nya
dicerai	di cerai
pelayan	pen layan
membimbingnya	men bimbing nya
didedikasikan	di dedikasi kan
bertanya	ber tanya
dicerminkan	di cermin kan
bubar	bubar
membahas	men bahas
membenahi	men benah i
sampan	sampan
tipu	tipu
gelas	gelas
klien	klien
ragam	ragam
perbukitan	per bukit an
dipandu	di pandu
tonton	tonton
menjala	men jala
disisi	di sisi
pendidikannya	pen didik an nya
membuktikannya	men bukti kan nya
berkonsentrasi	ber konsentrasi
api	api
pintas	pintas
mengubahkan	men ubah kan
memasang	men pasang
bodohnya	bodoh nya
komplain	komplain
keramik	keramik
berbelanja	ber belanja
penghuninya	pen huni nya
buruknya	buruk nya
peredaran	per edar an
kilang	kilang
berurusan	ber urus an
jubahnya	jubah nya
dipinjamkan	di pinjam kan
patokan	patok an
ekor	ekor
perbankan	per bank an
duga	duga
tersempit	ter sempit
cd	cd
mengenalinya	men kenal i nya
pengulangan	pen ulang an
ditetapkan	di tetap kan
detak	detak
penataan	pen tata an
pemeluk	pen peluk
cerminkan	cermin kan
retribusi	retribusi
mendakwa	men dakwa
dusunnya	dusun nya
mengatur	men atur
penyampaiannya	pen sampai an nya
perenang	pen renang
melatarbelakangi	men latarbelakang i
bergerak	ber gerak
ditentukan	di tentu kan
menjatuhi	men jatuh i
melintas	men lintas
total	total
ajang	ajang
antardepartemen	antar departemen
gaya	gaya
terhalang	ter halang
kontak	kontak
disadarkan	di sadar kan
sehari	se hari
kontes	kontes
efisiensi	efisiensi
disyukuri	di syukuri
surgawi	surgawi
perkawinannya	per kawin an nya
menuntutnya	men tuntut nya
terpuruk	ter puruk
biografi	biografi
tersembunyi	ter sembunyi
miliki	milik i
menyetorkan	men setor kan
bergulir	ber gulir
perenungannya	pen renung an nya
sebotol	se botol
menumpasnya	men tumpas nya
ganjil	ganjil
barisan	baris an
meracuni	men racun i
bulan	bulan
disisihkan	di sisih kan
kepala	kepala
gerakan	gerak an
berdosa	ber dosa
kuharap	ku harap
dibayangkan	di bayang kan
kalah	kalah
superior	superior
etis	etis
terpisahkan	ter pisah kan
profesionalismenya	profesionalisme nya
ketat	ketat
menyaksikannya	men saksi kan nya
perceraiannya	per cerai an nya
terpanggil	ter panggil
tiketnya	tiket nya
pengalengan	pen kaleng an
diluputkan	di luput kan
merealokasi	men realokasi
konsistennya	konsisten nya
garapan	garap an
rudal	rudal
satkernya	satker nya
komputerisasi	komputerisasi
dibakar	di bakar
perkataanku	per kata an ku
kecurigaan	ke curiga an
panahnya	panah nya
beliau	beliau
operasionalnya	operasional nya
mengantarkan	men antar kan
membina	men bina
mengeluarkan	men keluar kan
hantu	hantu
halal	halal
provinsinya	provinsi nya
banyaknya	banyak nya
seniman	seniman
alot	alot
tekun	tekun
geografi	geografi
sederajat	se derajat
inspektur	inspektur
efisiennya	efisien nya
layani	layan i
organisasinya	organisasi nya
bekas	bekas
mengakomodasi	men akomodasi
biskuit	biskuit
tarifnya	tarif nya
merekrut	men rekrut
air	air
sinkronisasi	sinkronisasi
membidik	men bidik
artistik	artistik
percayai	percaya i
peringkat	peringkat
terpikat	ter pikat
pengelolaannya	pen kelola an nya
merampok	men rampok
penginjilannya	pen injil an nya
tercabut	ter cabut
referensi	referensi
duri	duri
memfasilitasi	men fasilitas i
mengakibatkan	men akibat kan
penyelidikan	pen selidik an
bocor	bocor
nonmakanan	non makan an
permintaan	per minta an
dilahirkan	di lahir kan
terkendala	ter kendala
pungutnya	pungut nya
dijemput	di jemput
terjadi	ter jadi
memanah	men panah
tergoda	ter goda
memagari	men pagar i
dipinjami	di pinjam i
didokumentasikan	di dokumentasi kan
ketahanan	ke tahan an
gitar	gitar
selisih	selisih
ciptaan	cipta an
sini	sini
memetakan	men peta kan
dititipkannya	di titip kan nya
bibit	bibit
menandaskan	men tandas kan
menebus	men tebus
menanggulangi	men tanggulang i
hitung	hitung
berhentinya	ber henti nya
memainkannya	men main kan nya
makhluk	makhluk
didesentralisasikan	di desentralisasi kan
stakeholder	stakeholder
menjajaki	men jajak i
perpisahan	per pisah an
perkataanmu	per kata an mu
diluluskan	di lulus kan
sekunder	sekunder
lanjutannya	lanjut an nya
mendanai	men dana i
menakar	men takar
suruh	suruh
tahanan	tahan an
diukir	di ukir
tentunya	tentu nya
pemenang	pen menang
kunjungan	kunjung an
kagum	kagum
seyakin	se yakin
debitur	debitur
terlayani	ter layan i
merawat	men rawat
sejawatnya	se jawat nya
menyambut	men sambut
teladannya	teladan nya
keju	keju
pembaruan	pen baru an
minim	minim
tegas	tegas
pesanannya	pesan an nya
memandangnya	men pandang nya
pencairannya	pen cair an nya
bekasi	bekas i
menolong	men tolong
dianalisis	di analisis
tumbuhan	tumbuh an
pertanian	per tani an
menyusut	men susut
tempuran	tempur an
koordinasinya	koordinasi nya
membelenggu	men belenggu
proyeksi	proyeksi
lurah	lurah
cangkang	cangkang
statis	statis
merendahkan	men rendah kan
lolos	lolos
pulang	pulang
mengelak	men elak
baris	baris
penyalurannya	pen salur an nya
dikenali	di kenal i
diajar	di ajar
intensif	intensif
pelemparan	pen lempar an
diatasi	di atas i
kerah	kerah
muhammad	muhammad
terburuk	ter buruk
pembukaan	pen buka an
mati	mati
kartun	kartun
mengangkatnya	men angkat nya
terdampak	ter dampak
kontribusi	kontribusi
menerimanya	men terima nya
turbin	turbin
jurnalisme	jurnalisme
grup	grup
ukurannya	ukur an nya
canggung	canggung
transaksinya	transaksi nya
wakilnya	wakil nya
ayat	ayat
mengeluarkannya	men keluar kan nya
rumitnya	rumit nya
ditarik	di tarik
pemborosan	pen boros an
dimuntahkan	di muntah kan
tenaganya	tenaga nya
sedih	sedih
merintangi	men rintang i
petugas	petugas
berupaya	ber upaya
pemisahan	pen pisah an
dibengkokkan	di bengkok kan
film	film
pelaksanaan	pen laksana an
membolehkan	men boleh kan
sempit	sempit
sepoi	sepoi
berlumpur	ber lumpur
mengajarinya	men ajar i nya
dijatuhkan	di jatuh kan
nyanyiannya	nyanyi an nya
berencana	ber rencana
buah	buah
pulangnya	pulang nya
bagikan	bagi kan
berkunjung	ber kunjung
kerabat	kerabat
tercurah	ter curah
sesat	sesat
digarap	di garap
pizza	pizza
rasul	rasul
ubin	ubin
rumahan	rumah an
mahasiswa	mahasiswa
gali	gali
diwakilkan	di wakil kan
menyebalkan	men sebal kan
punggungnya	punggung nya
tembusan	tembus an
berkarat	ber karat
mendukungnya	men dukung nya
bernada	ber nada
paragraf	paragraf
durhaka	durhaka
nafas	nafas
unggas	unggas
berjuang	ber juang
diambang	di ambang
manusianya	manusia nya
menko	menko
curiga	curiga
terpadu	ter padu
dikupas	di kupas
menembakkan	men tembak kan
terulang	ter ulang
perwira	perwira
skornya	skor nya
contoh	contoh
padang	padang
projek	projek
memerintah	men perintah
esensi	esens i
melupakanku	men lupa kan ku
gelang	gelang
memindahkan	men pindah kan
bertengger	bertengger
permasalahan	per masalah an
mengirimnya	men kirim nya
terbelenggu	ter belenggu
ditambahkan	di tambah kan
perceraian	per cerai an
bertanggung	ber tanggung
prakarsa	prakarsa
memandang	men pandang
diteladankan	di teladan kan
kontribusinya	kontribusi nya
sabtu	sabtu
gawangnya	gawang nya
menewaskan	men tewas kan
kritik	kritik
menempel	men tempel
angkatan	angkat an
kandangnya	kandang nya
cuaca	cuaca
jam	jam
tercapai	ter capai
akses	akses
bermunculan	ber muncul an
dunianya	dunia nya
melingkupi	men lingkup i
menghindari	men hindar i
pegunungan	pegunungan
terurus	ter urus
dialokasikan	di alokasi kan
limbah	limbah
fakta	fakta
memperhadapkan	men hadap kan
kompromi	kompromi
penglihatan	penglihatan
ketidakjelasan	ke tidak jelas an
tumpang	tumpang
disiapkannya	di siap kan nya
gigitannya	gigit an nya
muslim	muslim
diwarisi	di waris i
seluas	se luas
kertasnya	kertas nya
dipinjam	di pinjam
gawat	gawat
terjamin	ter jamin
terseleksi	ter seleksi
setahap	se tahap
bercerai	ber cerai
mengandung	men kandung
deras	deras
maknanya	makna nya
pemungutannya	pen pungut an nya
pesona	pesona
pasang	pasang
pelajaran	pelajar an
merubuhkan	men rubuh kan
positif	positif
cipta	cipta
pemberkatan	pen berkat an
dihancurkan	di hancur kan
kecilnya	kecil nya
menghakimi	men hakim i
mengamanatkan	men amanat kan
arang	arang
manja	manja
ungkap	ungkap
transparannya	transparan nya
bertanggungjawab	ber tanggungjawab
relokasi	relokasi
mengurutkan	men urut kan
berulang	ber ulang
dimusnahkan	di musnah kan
kuil	kuil
dilucuti	di lucut i
setingkat	se tingkat
melambung	men lambung
menjanjikan	men janji kan
hawa	hawa
membawanya	men bawa nya
menyatu	men satu
terakumulasi	ter akumulasi
penjagaan	pen jaga an
membangkitkanku	men bangkit kan ku
tundukkan	tunduk kan
diambil	di ambil
keheranan	ke heran an
bawa	bawa
didiknya	didik nya
pengaruh	pengaruh
pengemudi	pen kemudi
kejadian	ke jadi an
dipasarkan	di pasar kan
mengakar	men akar
penjumlahan	pen jumlah an
dianggarkan	di anggar kan
kecolongan	kecolongan
tanggungjawab	tanggungjawab
diberitahu	di beritahu
diasosiasikan	di asosiasi kan
nota	nota
istana	istana
dikonfirmasikan	di konfirmasi kan
wajahnya	wajah nya
ditjen	ditjen
merelakan	men rela kan
chevy	chevy
terstruktur	ter struktur
membujuknya	men bujuk nya
larangan	larang an
rotasi	rotasi
ditanyai	di tanya i
menggerakkan	men gerak kan
berterus	ber terus
diairi	di air i
mandatnya	mandat nya
diusir	di usir
diperdagangkan	di per dagang kan
terperinci	ter pen rinci
diuruskan	di urus kan
dimasukkannya	di masuk kan nya
eropa	eropa
dialog	dialog
letusan	letus an
antarpasangan	antar pasang an
hancur	hancur
embun	embun
desember	desember
menimbun	men timbun
hadapannya	hadap an nya
dikurung	di kurung
ekspansi	ekspansi
sistem	sistem
menggoda	men goda
pemangku	pen pangku
bergegas	ber gegas
integrasi	integrasi
longgarnya	longgar nya
kelompok	kelompok
didera	di dera
iklan	iklan
dipulihkan	di pulih kan
meningkatkan	men tingkat kan
dinas	dinas
menyimpulkan	men simpul kan
antipesawat	anti pesawat
ketidakpatuhan	ke tidak patuh an
dididik	di didik
sumberdaya	sumberdaya
ditambah	di tambah
mewarnai	men warna i
pisau	pisau
berwujud	ber wujud
dikasihi	di kasih i
berjauhan	ber jauh an
merakit	men rakit
ditimpa	di timpa
dilema	dilema
persaingannya	per saing an nya
istri	istri
dibagi	di bagi
baca	baca
pembahasan	pen bahas an
dibolehkan	di boleh kan
mengunyah	men kunyah
keinginan	ke ingin an
bungkusnya	bungkus nya
kecap	kecap
membenarkan	men benar kan
kesal	kesal
berkompetisi	ber kompetisi
pastikan	pasti kan
menginginkanku	men ingin kan ku
dipublikasikan	di publikasi kan
ukiran	ukir an
konsorsium	konsorsium
diberi	di beri
terlempar	ter lempar
bapamu	bapa mu
diduga	di duga
pemalsu	pen palsu
ekstra	ekstra
distorsi	distorsi
dibagikan	di bagi kan
fotonya	foto nya
triwulanan	triwulan an
pemerintah	pen perintah
direnovasinya	di renovasi nya
kunyah	kunyah
menangkal	men tangkal
relasi	relasi
terisolasi	ter isolasi
serangga	serangga
terakreditasi	ter akreditasi
terangkum	ter rangkum
memperkaya	men kaya
tali	tali
birokrasi	birokrasi
patroli	patroli
menopangnya	men topang nya
mesra	mesra
membungkam	men bungkam
terdidik	ter didik
menyedihkannya	men sedih kan nya
klorofil	klorofil
hibur	hibur
disangkal	di sangkal
alamat	alamat
kemarau	kemarau
tubuh	tubuh
goyangkan	goyang kan
wasitnya	wasit nya
teroris	teroris
dimarahi	di marah i
putra	putra
implikasinya	implikasi nya
berkolaborasi	ber kolaborasi
penginjilan	pen injil an
meragukan	men ragu kan
favorit	favorit
bara	bara
dibungakan	di bunga kan
dikenang	di kenang
kering	kering
mesjid	mesjid
belanjanya	belanja nya
pelanggar	pen langgar
gurunya	guru nya
lehernya	leher nya
putuskan	putus kan
mengejar	men kejar
cantik	cantik
memfasilitas	men fasilitas
pola	pola
mencetak	men cetak
mengarah	men arah
mengabulkan	men kabul kan
merintis	men rintis
tergali	ter gali
terdekat	ter dekat
permasyarakatan	per masyarakat an
wasiat	wasiat
pesan	pesan
efektifnya	efektif nya
bell	bell
perbantahan	per bantah an
lereng	lereng
bruto	bruto
ketidaknyamanan	ke tidak nyaman an
etnik	etnik
potensialnya	potensial nya
pembacanya	pen baca nya
akuisisi	akuisisi
peminjamannya	pen pinjam an nya
catatan	catat an
tanyakan	tanya kan
nampaknya	nampak nya
mempertahankan	men tahan kan
andal	andal
akta	akta
niat	niat
tempati	tempat i
selaras	selaras
berarti	ber arti
penguburan	pen kubur an
dianggap	di anggap
food	food
berargumen	ber argumen
peternakan	peternakan
terbuat	ter buat
diterbitkan	di terbit kan
metode	metode
penguasanya	pen kuasa nya
dipisah	di pisah
mobilisasi	mobilisasi
disingkirkan	di singkir kan
pikirannya	pikir an nya
sumur	sumur
investigasinya	investigasi nya
dilupakan	di lupa kan
manajemen	manajemen
misalnya	misal nya
pemilik	pen milik
persen	persen
lontar	lontar
naiknya	naik nya
menjunjung	men junjung
diunduh	di unduh
hipotesis	hipotesis
khas	khas
antarinstansi	antar instansi
memusyawarahkannya	men musyawarah kan nya
ditusuk	di tusuk
gempa	gempa
pencatat	pen catat
balik	balik
pembantaian	pen bantai an
cengkeh	cengkeh
ajuan	aju an
membagikan	men bagi kan
melenyapkan	men lenyap kan
rahmat	rahmat
rancangan	rancang an
melawan	men lawan
penangkap	pen tangkap
rumusan	rumus an
aumannya	aum an nya
konservatif	konservatif
obligasi	obligasi
berakhir	ber akhir
memperoleh	men peroleh
bergeser	ber geser
tersedot	ter sedot
bentuk	bentuk
menyokong	men sokong
uang	uang
mengupas	men kupas
mengingat	men ingat
lagu	lagu
terserak	ter serak
penyerahan	pen serah an
mandiri	mandiri
terbiasa	ter biasa
bergemuruh	ber gemuruh
menahun	men tahun
menganan	men kanan
menginduk	men induk
minumannya	minum an nya
singapura	singapura
minimnya	minim nya
kualifikasi	kualifikasi
hapus	hapus
mengingatkan	men ingat kan
altar	altar
meringankan	men ringan kan
pekerjaanmu	pekerja an mu
dicerna	di cerna
menuntunnya	men tuntun nya
merelokasikan	men relokasi kan
pahamnya	paham nya
pengadministrasiannya	pen administrasi an nya
konvoi	konvoi
rupanya	rupa nya
dirampok	di rampok
memancingnya	men pancing nya
lamanya	lama nya
terperdaya	ter perdaya
manisnya	manis nya
diredakan	di reda kan
berkala	ber kala
mencekik	men cekik
setianya	setia nya
tergantikan	ter ganti kan
menyita	men sita
transaksi	transaksi
misterius	misterius
tukang	tukang
keberadaannya	keberadaan nya
kebutuhannya	ke butuh an nya
mendesak	men desak
moyang	moyang
gunakan	guna kan
kurs	kurs
polandia	polandia
kuperintahkan	ku perintah kan
saudara	saudara
terlembagakan	ter lembaga kan
merata	men rata
mendaratkan	men darat kan
menjual	men jual
impian	impian
penggagas	pen gagas
perkumpulan	per kumpul an
produktivitasnya	produktivitas nya
rincian	rinci an
diakumulasikannya	di akumulasi kan nya
sanksinya	sanksi nya
basi	bas i
antarkeluarga	antar keluarga
penyidikan	pen sidik an
melaksanakan	men laksana kan
menempuhnya	men tempuh nya
set	set
bersorak	ber sorak
pengubah	pen ubah
semasa	se masa
unta	unta
ras	ras
berfokus	ber fokus
menentangnya	men tentang nya
for	for
bukti	bukti
dibebankan	di beban kan
pembuatannya	pen buat an nya
menyebarluaskan	men sebarluas kan
dicari	di cari
menetes	men tetes
perbudakan	per budak an
menopang	men topang
robek	robek
girangnya	girang nya
favoritnya	favorit nya
diserap	di serap
mempercayai	men percaya i
mewarisi	men waris i
tuhanku	tuhan ku
aceh	aceh
dimapankan	di mapan kan
dihadiri	di hadir i
amati	amati
internal	internal
diobservasi	di observasi
ngengat	ngengat
disampaikannya	di sampai kan nya
penguasaan	pen kuasa an
besarannya	besar an nya
pergeseran	per geser an
memanipulasi	men manipulasi
keterlibatan	ke terlibat an
terkurung	ter kurung
puji	puji
daging	daging
gilirannya	gilir an nya
agustus	agustus
berkelahi	ber kelahi
persiapannya	per siap an nya
kabel	kabel
peralatan	per alat an
ditinjau	di tinjau
menyukseskan	men sukses kan
ciri	ciri
mengajaknya	men ajak nya
karyawannya	karya wan nya
permasalahannya	per masalah an nya
diikutsertakan	di ikutserta kan
terpopuler	ter populer
belakang	belakang
mempergunakan	men guna kan
sampaikan	sampai kan
jatuhkan	jatuh kan
konsepnya	konsep nya
ketidakpuasannya	ke tidak puas an nya
jebol	jebol
merek	merek
melebihkan	men lebih kan
kaleng	kaleng
dicantumkan	di cantum kan
dipikirkan	di pikir kan
sesuainya	sesuai nya
sejauh	se jauh
sumbernya	sumber nya
koneksi	koneksi
dituakan	di tua kan
kepercayaannya	ke percaya an nya
kutempuh	ku tempuh
mengkampanyekan	men kampanye kan
kongres	kongres
fasilitasnya	fasilitas nya
serendah	se rendah
diuntungkan	di untung kan
transparan	transparan
pinjam	pinjam
muslimah	muslimah
lemaknya	lemak nya
belanda	belanda
dicegat	di cegat
